Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	Tot
Addison, Dylan	-	-	-	2	-	2		-									-	-	1	-	1					6
Akermanis, Jason	-	-	-	-		1	-	-	4	1	1	-	-	2	2	2	2	-	-	-	1	1	1	-	-	18
Boyd, Matthew	-	4	4	3	2	2	-	1	3	1	-	1	2	1	-	2	2	2	2	1	4	2	1	2	2	44
Callan, Tim									-															2	1	3
Cooney, Adam	1	1	1			3	3	1	4	2	7	3	5	2	2	2	2	2	1	5	2	2	2	1	-	54
Cross, Daniel	-	2	-	1	1	2	1	-	2	-	-	-	1	1	3	1	4	1	1			-	-	4	1	26
Eagleton, Nathan	1	3	1	1	-	1	1	-	5	-	1	1	-	-	-	-	1	1	1	-	1	-	2	-	-	21
Everitt, Andrejs	1					1	-	1										2	2			1				8
Giansiracusa, Daniel	1	-	-	-	-	-	-	1	-	3	-	-	1								1	-	-	3	-	10
Gilbee, Lindsay	7	5	6	5	2	3	4	5	4	-	1	4	1	3	2	4		3	1	3	3	5	6	4	4	85
Grant, Jarrad					-																					
Griffen, Ryan	1	-	1	3	2	-	1	3	1	3	-	1	-	2	1	2	3	-	2				1	2	2	31
Hahn, Mitch	-	1	-	-	-	-	-	1	-	-	-	-	3	1	-	1	-	-	1	1	1	-	-	-	-	10
Harbrow, Jarrod		6		-	5	3	1	4	5	4	6	3	2	2	5	4	2	3	1	5	8	4	4	5	3	85
Hargrave, Ryan	7	3	3	7	5	9	6			3	3	2	7	6	4	3	10	3	5	4	2	5	4	6	2	109
Higgins, Shaun	1	-	3	-	5	2			1	1	1	3	2	-	-	1	-				1	3	2	-	2	28
Hill, Josh	-	1	1	-	2	1	-	3	-	2	1	-	-	-	-	-	1	1	-	1	-	1	-			15
Hudson, Ben	1	-	1	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-	-	-	1		-	1	1	7
Johnson, Brad	1	-	2	-	-	1	-	-	2	-	-	-	1	1	1	-	-	-	1	2	-	1	1	1	1	16
Lake, Brian	1	3	3	3	1	2	4	9	2	5	2	3	6	4	4	4	2	4	4	1	6	6	4	4	4	91
Minson, Will	-	2	1	-	-	1	-	2	-	-	-	1	-	1	-	1	1	-	1	1	-	-	-	-	2	14
Morris, Dale	2	2	1	5	-	5	2	-	1	2	-	1	-	2	1	4	2	2	-	-	1	1	2	-	3	39
Murphy, Robert					1	-	-	-				4	2	5	1	-	-			-	-	-	-	-	-	13
Picken, Liam		1	-	1	1	1	1	-	3	3	1	-	2	1	-	2	-	3		-	1	2	1	-	1	25
Reid, Sam														1						-	-	1				2
Stack, Brennan											-							-	-							
Tiller, Stephen	3		4	2						1	2															12
Ward, Callan	2	-	1	1	-				1	1	-	2	1	2	1	-	1	-	1	1	4	2	2	-	1	24
Welsh, Scott							-	-	-	-		1	1	-	-	-	-			1	-	-	-	2	1	6
Williams, Tom	2	4	2	3	1		2	-	2						-	3	1	3	1	2						26
Wood, Easton																			1	1						2
Totals	32	38	35	37	28	40	26	31	40	32	26	30	38	37	28	36	34	30	27	29	38	37	33	37	31	830
Opponent	FR	NM	RI	WC	CA	SK	AD	ME	GE	SY	RI	PA	NM	HW	CW	ES	SK	FR	WC	BL	GE	CW	GE	BL	SK	
