Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	Tot
Brown, Leigh		3	2	2	5		2				3	3						1		4				25
Campbell, Matt	1	-	1	3	4	1	1	-	1	1	3	4	1	2	2	1	-	1	1	1		5	2	36
Davies, Ben											-	1												1
Edwards, Aaron	4	3	-	1	3	1																2	2	16
Firrito, Michael	1	3	-	2	1	1	2	-	2	1	4	1	3	-	2	1	3	2	1	2	3	2	2	39
Gibson, Josh	2	-	2	2				3	-	1	3	2	1	1	2	2	1	1	-	-	2	2	1	28
Goldstein, Todd															3	1	2							6
Grant, Shannon	5	1	3	1	1	1	3	4	3	2	1		1	2		-	4	2	1	-	3	1	2	41
Grima, Blake															1		2	1						4
Hale, David	-	-	6		-	2	-	1	2	5	6	3	-	2	2	-	1	1	1	1	1	1	3	38
Hansen, Lachlan													1	2	2	6	2	1	1	4	3	1		23
Harding, Leigh	1	2	-		3	2	1	2	-	2	2	1	2	3	1	-	2	2	-	4	2	1	2	35
Harris, Daniel	2	4	5	4	3	2	1	1	2	4	5	1	2	2	-	5	1	3	5	2	3	5	5	67
Harvey, Brent	-	1	2	2	-	-	1	5	2	6	3	3	2	3	5	4	2	2	2	1	1	1	4	52
Jones, Corey	-	-	3	4	-	-	3	-	1	-			1	2		2	2	-	1	2	2	3		26
Lower, Ed				2	-	7	-	4	2	3	1	2	2						2				3	28
McIntosh, Hamish	1	1	4	3	1	-	4	1	5	3	2	1									1	1		28
McMahon, Scott								2	5	-	4				1	3	-	1	1	1	-	1	1	20
Obst, Alan								-					-	3										3
Petrie, Drew	2	3	5	4	-	1	2	5	1	3	4	-	1	6	3	3	1	1	5	4	1	3	4	62
Power, Sam	3	1	2	1	-	2	4	2	1	1	-	5		1	3	3	3	2	2	3	1	1	2	43
Pratt, Daniel	1	1	1	4	4		2		4	3	3	6	2	3	5	3	2	3	1	-	3	2	2	55
Rawlings, Brady	2	1	-	1	-	1	-	2	2	-	1	2	3	1	-	4	2	2	1	5	1	3	1	35
Riggio, Matt								2	2	2	1	5	1	1										14
Ross, Ben				2											2	2								6
Sansbury, Eddie						1																		1
Simpson, Adam	2	2	5	3	1	2	3	5	1	2	1	2	4	2	4	1	1			1	7	1	2	52
Sinclair, Jess						3												2	3	5	2		3	18
Smith, Jesse				2	1																			3
Smith, Josh							3					2												5
Swallow, Andrew	8	2	4																					14
Thomas, Lindsay	1	6	5	3	2	1	4	2	1	3	4	3	2	2	1	3	3	4	2	1	3	7	1	64
Thompson, Nathan	1	1	-	2	1	-	4	2	1	-			1	1	2				-				-	16
Thompson, Scott	-					-	2				3	4									2			11
Urquhart, Gavin										-	3	3	3	1	1	1	3	3	2	3	2	-	1	26
Watt, Shannon	-	-	-	-	1	-	1	1	4	1			3	3	-	3	-	2	-	1	-	2	-	22
Wells, Daniel	1	1	1	3	2	4	4	5	1			2	2	-	5	2	3	3	1	-	2	1	2	45
Totals	38	36	51	51	33	32	47	49	43	43	57	56	38	43	47	50	40	40	33	45	45	46	45	1008
Opponent	ES	RI	HW	ME	CW	SY	AD	WC	WB	BL	GE	FR	HW	SK	PA	CW	ME	BL	WB	CA	GE	PA	SY	
