Player	R1	R2	R3	R4	R5	R6	R7	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	QF	SF	Tot
Bartel, Jimmy	2	1	1	2	1	-	1	-	-	-	-	3	2	-	1	-	3	1	-		-	3	-	-	21
Bews, Jed								-	-	-	-			-	-					-					
Blicavs, Mark	-	-	-	-	1	1	-	1	-	-	-	-	-	1	-	1		-	1	1	-	-	-	-	7
Brown, Mitch	-	-	-																			1		-	1
Burbury, George			-	1	1	1	-																		3
Caddy, Josh	1	-	-	-									-	-	1	-	-	-	-	1	-	-	-	3	6
Christensen, Allen													-	1	-	-		1	1	-	1				4
Duncan, Mitch	-	-	1	1	-	-	-	-	1	-	-	1	1	1	-	1	-	1	-	1	1	5	-	1	16
Enright, Corey	-	1		-	-	1	-	-	1		-	-	-	-	-	-	-	-	-	-	-	1	-	-	4
Guthrie, Cameron	-	-	1	1	-	1	-	1	3	-	1	-	-	-	-	-	-	-	-	-	-	1	-	-	9
Hartman, Brad												2			-	-	-				1				3
Hawkins, Tom	-	-	1	1	1	-	-	1	3	-	3	2	-	1	-	1	1	-	-	1	-	-	1	-	17
Horlin-Smith, George		-	1	-	1	-	-	1	-	-	1	1		-	1	-	-	-	1	1		-	-	-	8
Hunt, Taylor	-	-		-	-	1	-	1																	2
Johnson, Steve	1	1	1	2	-	-	-	-		-	-		-	2	1	2	-	1	1				-		12
Kelly, James	-	1	-	-	-	-	1	-	-	-	-	2	-	1		1	-	-	-	1	-	-	-	-	7
Kersten, Shane													-	-	-	1	-	-	1	-	-				2
Lang, Darcy												-													
Lonergan, Tom	-	-	-	-	-	-	-	-	-		1	1	-	-	-	-	-	-	-	-	-	-	-	-	2
Mackie, Andrew	-	-	-	-	-			-	-	-	-	1	1	-	-	1	-	1	-	1	1	-	-	1	7
McCarthy, Lincoln	1	-																				1		1	3
McIntosh, Hamish	1	1	2	-	2	-	-	-	1	-	-		1		-	-	-		1	-	1		-		10
Motlop, Steven							-	-	1	-	-	-	1	1	2	1	-	2	-	-	-		-	-	8
Murdoch, Jordan	2	1	1	-	-	-	-	-	2	-	-	1	-	1	-	-	1	1	-		-	-	-	-	10
Rivers, Jared	-		-	1	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	2	-	-	3
Selwood, Joel	1	2	-	-	2	1	-	-	-	-	1	-	1	-	-	1	3	2	1	-	-	-	3	2	20
Sheringham, Jackson			-		-	-	-	-	-	2															2
Simpson, Dawson	-	-	-	-	1		1	1	-	-		-		-			-	-							3
Smedts, Billie										-	-	-	-							-		-			
Stokes, Mathew	1	1	-	3	2	-	-		-	1	3	2	-				2	1	-	1	1	-	2	1	21
Stringer, Jesse									-	-	-	-													
Taylor, Harry	1	-	-	-	1	-	-	1	-	1	-	-		-	-	-	-	-	-	-	-	-	1	1	6
Thurlow, Jackson						-														-	-	-	-	-	
Varcoe, Travis	-	-	-	-	-	-	-	-	-	-		-	1	1	1	-	1	-	-	-	1	1	-	1	7
Walker, Josh						-					3	-	-									1	-	-	4
Totals	11	9	9	12	13	6	3	7	12	4	13	16	8	10	7	10	11	11	7	8	7	16	7	11	228
Opponent	AD	BL	CW	WC	HW	PA	RI	FR	NM	SY	CA	SK	GC	ES	WB	ME	GW	NM	FR	CA	HW	BL	HW	NM	
