Player	R1	R2	R3	R4	R5	R6	R7	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	QF	SF	Tot
Bartel, Jimmy	1	-	-	-	1	-	-	-	3	-	-	2	-	-	-	-	-	-	-		-	-	-	-	7
Bews, Jed								-	-	-	-			-	-					-					
Blicavs, Mark	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	
Brown, Mitch	-	-	-																			-		-	
Burbury, George			-	-	-	-	-																		
Caddy, Josh	-	-	-	-									-	-	-	-	-	-	-	2	-	-	-	-	2
Christensen, Allen													-	-	-	-		1	-	-	-				1
Duncan, Mitch	-	-	3	-	-	-	-	-	-	-	-	1	-	-	-	-	-	3	-	-	2	3	-	-	12
Enright, Corey	-	-		-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Guthrie, Cameron	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Hartman, Brad												-			-	-	-				-				
Hawkins, Tom	-	-	-	-	3	-	-	-	2	-	1	-	-	-	-	-	-	-	-	-	-	1	-	-	7
Horlin-Smith, George		-	-	1	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-		-	-	-	1
Hunt, Taylor	-	-		-	-	-	-	-																	
Johnson, Steve	-	3	-	3	2	-	3	-		-	-		-	-	3	2	3	-	-				-		19
Kelly, James	-	-	-	-	-	-	-	-	1	-	-	-	-	-		-	-	-	-	-	-	-	-	-	1
Kersten, Shane													-	-	-	-	-	-	-	-	-				
Lang, Darcy												-													
Lonergan, Tom	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Mackie, Andrew	-	-	-	-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
McCarthy, Lincoln	-	-																				-		-	
McIntosh, Hamish	-	-	-	-	-	-	-	-	-	-	-		-		-	-	-		-	-	-		-		
Motlop, Steven							-	-	-	-	-	-	-	1	-	-	-	-	-	-	-		-	-	1
Murdoch, Jordan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	
Rivers, Jared	-		-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	
Selwood, Joel	3	1	2	2	-	-	-	2	-	-	-	-	-	2	-	3	1	2	1	-	-	2	-	-	21
Sheringham, Jackson			-		-	-	-	-	-	-															
Simpson, Dawson	-	-	-	-	-		-	-	-	-		-		-			-	-							
Smedts, Billie										-	-	-	-							-		-			
Stokes, Mathew	-	-	-	-	-	-	1		-	-	2	3	-				-	-	-	-	-	-	-	-	6
Stringer, Jesse									-	-	-	-													
Taylor, Harry	-	-	-	-	-	-	-	-	-	-	-	-		-	-	1	2	-	3	1	-	-	-	-	7
Thurlow, Jackson						-														-	-	-	-	-	
Varcoe, Travis	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	
Walker, Josh						-					-	-	-									-	-	-	
Totals	4	4	5	6	6	0	4	2	6	0	3	6	0	3	3	6	6	6	4	3	2	6	0	0	85
Opponent	AD	BL	CW	WC	HW	PA	RI	FR	NM	SY	CA	SK	GC	ES	WB	ME	GW	NM	FR	CA	HW	BL	HW	NM	
