Player	R1	R2	R3	R4	R5	R6	R7	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	QF	SF	Tot
Bartel, Jimmy	1	2	2	1	2	-	2	2	1	3	3	-	1	4	5	1	2	1	1		4	2	4	1	45
Bews, Jed								1	-	1	1			1	2					1					7
Blicavs, Mark	1	3	-	2	2	3	2	5	7	5	2	6	7	2	2	2		5	6	2	3	4	7	4	82
Brown, Mitch	-	1	-																			1		2	4
Burbury, George			-	4	2	1	1																		8
Caddy, Josh	2	2	1	2									-	2	3	1	2	3	-	1	1	2	2	1	25
Christensen, Allen													-	2	2	1		3	3	-	-				11
Duncan, Mitch	3	2	1	1	1	1	1	3	-	5	1	-	1	2	4	1	3	3	2	1	-	3	2	1	42
Enright, Corey	4	3		3	3	1	3	2	1		6	3	4	3	3	4	2	-	4	3	3	1	4	2	62
Guthrie, Cameron	-	2	2	1	-	3	3	-	1	1	2	-	5	1	2	-	-	2	2	3	2	-	1	3	36
Hartman, Brad												1			-	-	-				-				1
Hawkins, Tom	-	-	2	3	-	-	-	-	2	1	4	1	1	1	1	2	1	1	2	-	-	-	-	2	24
Horlin-Smith, George		-	-	2	1	1	-	2	-	1	2	-		3	2	1	1	2	-	1		2	1	-	22
Hunt, Taylor	-	2		3	2	-	2	1																	10
Johnson, Steve	-	6	2	-	2	1	2	1		3	3		1	5	1	2	2	-	-				1		32
Kelly, James	3	4	-	2	1	2	1	1	2	2	-	2	2	2		3	-	1	1	2	2	3	1	3	40
Kersten, Shane													1	-	1	-	1	1	-	-	1				5
Lang, Darcy												-													
Lonergan, Tom	4	3	13	5	2	7	4	6	1		2	7	6	3	8	3	5	5	6	5	5	2	2	3	107
Mackie, Andrew	3	4	-	3	3			4	3	2	5	1	2	2	4	4	1	1	3	1	4	3	3	2	58
McCarthy, Lincoln	1	1																				2		2	6
McIntosh, Hamish	-	-	1	2	2	1	2	2	-	3	1		-		1	3	1		3	3	1		2		28
Motlop, Steven							2	1	-	1	1	-	1	-	2	-	1	-	1	-	1		-	1	12
Murdoch, Jordan	-	1	1	1	-	1	2	-	1	-	-	1	-	-	2	-	-	-	4		2	-	-	3	19
Rivers, Jared	5		3	7	11	6	5	4	8	5	6		9	6	7	9	3	4	7	10	9	3	8	6	141
Selwood, Joel	4	2	3	1	4	5	4	2	6	-	2	2	2	1	2	1	1	2	3	1	2	4	2	2	58
Sheringham, Jackson			3		-	2	5	-	1	-															11
Simpson, Dawson	2	3	1	2	2		3	1	-	2		2		1			2	4							25
Smedts, Billie										2	2	2	3							2		-			11
Stokes, Mathew	-	3	1	1	-	-	1		3	-	2	1	-				-	-	4	2	-	-	1	1	20
Stringer, Jesse									3	3	1	1													8
Taylor, Harry	8	13	8	9	3	2	3	6	4	6	11	3		4	7	7	8	5	7	7	2	6	5	4	138
Thurlow, Jackson						1														2	3	2	2	2	12
Varcoe, Travis	-	3	3	2	-	3	-	-	3	2		2	1	-	2	1	1	-	-	2	-	3	4	2	34
Walker, Josh						2					1	1	1									3	-	3	11
Totals	41	60	47	57	43	43	48	44	47	48	58	36	48	45	63	46	37	43	59	49	45	46	52	50	1155
Opponent	AD	BL	CW	WC	HW	PA	RI	FR	NM	SY	CA	SK	GC	ES	WB	ME	GW	NM	FR	CA	HW	BL	HW	NM	
