Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	SF	PF	Tot
Atley, Shaun	1	-	-	-	-	1	1	1	-			1	-	1	2	1	-	-	1	-	-	2	-	1	1	14
Bastinac, Ryan	-		1	1	1	-	-	1	1	-	1			2	-	2	-			1	-	-				11
Black, Aaron					-										1							-				1
Brown, Ben		1	1	-	-	-	-		-	-	5	-		2	-	3	-	2	2	-	-	2	1	1	1	21
Cunnington, Ben	-	2	1	-	1	1	1	1	-	-	2	2	-	-	1	-	-	1	2	-	-		2	1	-	18
Dal Santo, Nick	1	1										1	2	2	1	2	-	1	2	-	2		-	-	-	15
Daw, Majak													-									2				2
Dumont, Trent				-				-	1	1	-	1	2									-				5
Firrito, Michael	3	1	-	1	1	2	-	2	-	1	1	2	-	-	-	2	1		-	-	-		1	3	-	21
Garner, Taylor														-	-	2	-	-	-		1	-	-	1	-	4
Gibson, Sam	-	-	1	-	-	1	-	2	-	1	-	-	-	1	-	-	1	1	-	-	1	-	1	1	1	12
Goldstein, Todd	-	1	2	3	1	-	1	1	3	-	1	2	-	6	7	5	1	1	2	-	2		1	2	2	44
Hansen, Lachlan						-	1	-	-	-	-	1	2					-	-	-	-	-	1	1	-	6
Harvey, Brent	1	-	-	2	-	1	1	1	-	1	4	1	1	-	1	1	-	-	3	-	1	1	1	1	1	23
Higgins, Shaun	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	1	2	1	1	-	-		2	1	1	10
Jacobs, Ben	1		1	-	-	-	1	-		-	-	-	-	2	1	-	2	2	1	1	2	-	-	1	2	17
Macmillan, Jamie	-				-		-	2	2	1	-	-	-	-	1					1	-	-	1	1	1	10
McDonald, Luke	-	-	3			-	1	1	-							-	1	-	1	2		-		1		10
McKenzie, Brad																						3				3
McMahon, Scott										-	-															
Mullett, Aaron														-	-			-				-				
Nahas, Robin		2	1	-	-	1	1	3	-	-	2	-	-					-	1	1	1	2	1			16
Petrie, Drew	-	2	2	1	1	2	1	-	-	2	-	-	1	-		5	-	-	1	-	-	-	-	1	-	19
Swallow, Andrew	1	1	-	3	2	-	3			2	2	3	1	5	4	1	1	4	1	5	2		5	2	4	52
Tarrant, Robbie			-	2	1	-	1	-	-	-	1	-	-	-	-	1	-	-	1	-	3	-	-		-	10
Thomas, Lindsay	2	3	4	3	2	3	3	1	2	-	-	-	-			-	1	1	1	1			-	1	-	28
Thompson, Scott	2	1	-	3	-	3	2	2	2	-	1	-	-	-	-	-	2	1	-	2	2		2	-	-	25
Tippett, Joel	-	-																				1				1
Turner, Kayne	2	4	1	2	2				1					1	-	1	1					1		2	1	19
Waite, Jarrad	1	1	-	-		-	1	-	-	-	2	-	1	2	-	2	1	-	2	1	1		1	-	1	17
Wells, Daniel	-	1																								1
Wood, Mason		-	-	2	1	-		-														-				3
Wright, Sam	-	-	1	2	1	1	1	1	-	1	1	-	1	2	1	1	1	1	1	-	-		1	3	2	23
Ziebell, Jack	2	4	-	3	1	1	2	3	4	3	1	1	3	-	2	2	3	2	-		1	4	-	2	-	44
Totals	17	25	19	28	15	17	22	22	16	14	24	15	14	26	22	32	18	18	23	15	19	18	21	27	18	505
Opponent	AD	BL	PA	GE	HW	RI	ES	FR	CW	WC	SY	GW	GC	GE	ES	BL	CA	ME	SK	FR	WB	RI	RI	SY	WC	
