Player	R1	R2	R3	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	R23	R24	QF	SF	GF	Tot
Abbott, Paul				3								4		-	2											9
Allan, Ben	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Anderson, Dean	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-			-	-	-	
Ayres, Gary	-	-	-	-	1	-	-	-	-	-	-	-	-				-	-	-	-	-	-	-	1	1	3
Brereton, Dermott	-						-			-	-	-	-	3	-	-	-	-	-	-	1	-	-		-	4
Collins, Andrew	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Condon, Anthony	-	-	-	-	-	-								1	-	-	-	-	1	1	-	-	-	-	1	4
Cooper, Paul										-		-	-	-	-		-		-							
Dear, Paul	2	4	4	2	6	7	4	5	-		4	7	1	4		3	13	4	1	2	2	6	6	-	2	89
DiPierdomenico, Robert											-															
Dunstall, Jason	-	-	-	-	-	-								-	-	-	-	-	-	-	-	-	-	-	-	
Gowers, Andrew		-	-																		1	-	-	-	-	1
Hall, Tony			-		-				-	-	-	-	1	-	-	-	-	-	-	1	-	-		-	1	3
Hudson, Paul	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Jarman, Darren	-	-	-	-	-	1		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Jencke, Ray	-	1	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	1		1	-	1	1	-	7
Johnston, Michael												-	-													
Kennedy, John	-	-		-																						
Langford, Chris	1	-	-	-	-	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	2	-	-	-	5
Lawrence, Stephen	6	20	14	9	26	10	8	7	24	14	15	10	11	15	13	13	1	13	20	21	17	10	26	16	18	357
Madigan, Greg						-	-	1	-	-			-		-			-	-	2						3
Maginness, Scott	-			-	-	-	-	-	-	-	-										-					
McDonald, Alex		-	-		-	-	-																			
Mew, Chris					2	1	-	-			-	1	-			1	1	1	-	2		-	-	-	4	13
Morrissey, James	-	-	-		-	-	-	-	-	-		-			-	-	-	-	-	-	-	-	1	-	-	1
Nugent, Glenn							-	-	-	-						-	-									
Platten, John	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			-	-	-	-	-	-	-	-	
Pritchard, Darrin	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-		-	-	-	1	-	-	-	-	2
Robran, Matthew	4							-	2	2	-						1							-		9
Schwab, Peter				-			-																			
Tuck, Michael		-	-	-	-		-	-	-	-	-		-	-	-	-	-	-		-	-	-	-	-	-	
Whittlesea, Gregory						-						-		-		-										
Wittman, Chris	-	-	-	-				-	-		-	1	-	-	-	-				-	-	-	-			1
Totals	13	25	18	14	35	19	13	14	26	16	19	24	13	23	17	17	16	18	23	29	23	18	34	18	27	512
Opponent	AD	SY	RI	FO	FI	WC	CA	ES	CW	SK	GE	BB	ME	NM	AD	SY	RI	FO	FI	WC	CA	ES	WC	GE	WC	
