Player	R1	R2	R3	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	R23	R24	QF	SF	GF	Tot
Abbott, Paul				-								-		-	-											
Allan, Ben	-	-	-	1	7	-	-	1	-	-	-	-	1	2	1	-	-	1	-	-	2	1	1	-	-	18
Anderson, Dean	1	2	2	1	1	-	2	1	2	1	3		1	1	2	-	-	-	1	-			-	-	1	22
Ayres, Gary	-	-	-	-	2	1	3	-	-	1	-	-	3				-	-	1	-	1	2	-	-	-	14
Brereton, Dermott	-						1			2	8	4	2	3	3	-	3	-	1	2	1	4	1		4	39
Collins, Andrew	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	1	-	-	3	-	-	-	-	-	-	6
Condon, Anthony	-	1	-	-	4	3								1	1	-	2	-	-	-	-	-	1	-	1	14
Cooper, Paul										-		-	-	-	-		-		-							
Dear, Paul	1	2	-	-	-	-	-	4	-		-	1	-	-		2	-	-	1	-	4	2	2	2	2	23
DiPierdomenico, Robert											-															
Dunstall, Jason	2	9	6	9	6	2								4	3	5	3	3	5	3	4	5	4	3	6	82
Gowers, Andrew		1	-																		1	2	-	1	-	5
Hall, Tony			1		1				3	2	-	4	4	6	2	1	3	2	5	1	3	1		2	1	42
Hudson, Paul	-	1	5	2	5	-	2	3	9	-	-	2	4	5	4	3	1	1	5	-	3	1	3	1	2	62
Jarman, Darren	2	3	4	1	7	2		2	2	2	1	1	1	1	1	1	-	2	-	2	3	-	2	1	-	41
Jencke, Ray	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	-	-	1	-		-	-	-	-	-	5
Johnston, Michael												2	-													2
Kennedy, John	-	-		-																						
Langford, Chris	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Lawrence, Stephen	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	1	-	1	-	-	5
Madigan, Greg						-	-	-	-	-			-		-			-	-	-						
Maginness, Scott	-			-	-	-	-	-	-	-	-										-					
McDonald, Alex		1	-		-	-	1																			2
Mew, Chris					-	-	-	-			-	-	-			-	-	-	1	-		-	-	-	-	1
Morrissey, James	2	-	-		1	-	6	-	1	1		-			2	1	-	-	1	2	-	1	1	-	1	20
Nugent, Glenn							-	1	-	1						-	1									3
Platten, John	-	3	-	1	2	-	2	1	1	-	1	3	2	1	2			1	2	-	-	1	2	-	-	25
Pritchard, Darrin	-	2	2	-	-	-	-	-	1	-	-	2	-	2	1	-		1	-	1	-	1	-	2	2	17
Robran, Matthew	-							1	3	-	-						-							1		5
Schwab, Peter				-			-																			
Tuck, Michael		-	-	-	-		1	1	1	-	-		-	-	-	1	-	-		-	-	-	-	-	-	4
Whittlesea, Gregory						-						-		-		-										
Wittman, Chris	1	-	-	-				-	-		-	-	-	-	-	-				-	-	-	-			1
Totals	9	25	20	16	36	8	18	15	23	10	13	22	19	27	23	15	13	12	28	11	23	21	18	13	20	458
Opponent	AD	SY	RI	FO	FI	WC	CA	ES	CW	SK	GE	BB	ME	NM	AD	SY	RI	FO	FI	WC	CA	ES	WC	GE	WC	
