Player	R1	R2	R3	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	R23	R24	QF	SF	GF	Tot
Abbott, Paul				-								-		-	-											
Allan, Ben	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Anderson, Dean	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-			-	-	-	
Ayres, Gary	-	-	-	-	-	-	-	-	-	-	-	-	-				-	-	-	-	-	-	-	-	-	
Brereton, Dermott	-						-			-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	
Collins, Andrew	-	-	-	-	-	-	2	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	4
Condon, Anthony	-	-	2	-	-	-								-	-	-	-	-	-	-	3	-	-	-	-	5
Cooper, Paul										-		-	-	-	-		-		-							
Dear, Paul	-	-	-	-	-	-	-	-	-		-	-	-	-		-	-	-	-	-	-	-	-	-	-	
DiPierdomenico, Robert											-															
Dunstall, Jason	-	3	-	1	-	-								-	-	-	-	-	-	-	-	-	-	-	-	4
Gowers, Andrew		-	-																		-	-	-	-	-	
Hall, Tony			-		-				-	-	-	-	1	2	-	-	-	-	2	-	-	2		-	-	7
Hudson, Paul	-	-	3	-	3	-	-	-	3	-	-	-	2	3	-	2	-	-	1	-	-	-	-	-	-	17
Jarman, Darren	-	1	1	-	2	-		-	-	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	7
Jencke, Ray	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	
Johnston, Michael												2	-													2
Kennedy, John	-	-		-																						
Langford, Chris	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	2
Lawrence, Stephen	-	-	-	-	-	-	-	-	2	-	-	-	-	1	-	-	-	-	-	2	-	-	-	-	-	5
Madigan, Greg						-	-	-	-	-			-		-			-	-	-						
Maginness, Scott	-			-	-	-	-	-	-	-	-										-					
McDonald, Alex		-	-		-	-	-																			
Mew, Chris					-	-	-	-			-	-	-			-	-	-	-	-		3	-	-	-	3
Morrissey, James	-	-	-		-	-	3	-	-	-		-			-	-	-	-	-	-	-	-	-	-	-	3
Nugent, Glenn							-	-	-	-						-	-									
Platten, John	-	2	-	-	-	-	-	2	-	-	-	3	-	-	-			-	3	-	2	1	-	-	-	13
Pritchard, Darrin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		1	-	-	-	-	-	-	-	1
Robran, Matthew	-							1	-	-	-						-							-		1
Schwab, Peter				-			-																			
Tuck, Michael		-	-	-	-		-	-	-	-	-		-	-	3	-	-	3		-	-	-	-	-	-	6
Whittlesea, Gregory						-						-		-		-										
Wittman, Chris	-	-	-	-				-	-		-	1	-	-	-	-				-	-	-	-			1
Totals	0	6	6	1	6	0	5	3	5	0	0	6	6	6	5	2	2	4	6	2	5	6	0	0	0	82
Opponent	AD	SY	RI	FO	FI	WC	CA	ES	CW	SK	GE	BB	ME	NM	AD	SY	RI	FO	FI	WC	CA	ES	WC	GE	WC	
