Player	R1	R2	R3	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	R23	R24	QF	SF	GF	Tot
Abbott, Paul				-								2		-	-											2
Allan, Ben	3	-	-	2	3	2	-	-	1	-	1	-	-	2	1	1	-	-	1	-	1	-	1	-	-	19
Anderson, Dean	2	2	2	-	2	2	-	-	2	1	1		-	1	-	3	-	-	1	-			-	-	-	19
Ayres, Gary	-	-	-	-	1	1	2	1	-	1	-	1	-				-	-	-	-	-	3	-	-	-	10
Brereton, Dermott	2						2			1	3	2	1	3	2	-	2	2	-	1	-	2	-		5	28
Collins, Andrew	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	2	-	2	1	-	-	2	-	-	8
Condon, Anthony	-	2	-	-	1	-								-	4	1	-	-	-	-	1	-	1	2	2	14
Cooper, Paul										-		1	-	-	-		-		-							1
Dear, Paul	2	2	1	1	-	-	1	3	2		1	-	1	-		-	-	-	1	-	2	-	3	1	1	22
DiPierdomenico, Robert											3															3
Dunstall, Jason	2	3	4	1	2	4								1	3	3	1	5	2	1	5	2	3	3	2	47
Gowers, Andrew		1	-																		-	-	-	-	-	1
Hall, Tony			-		-				1	1	1	2	-	3	-	1	3	-	2	-	2	-		1	-	17
Hudson, Paul	-	-	4	1	-	2	1	1	1	3	3	2	3	1	5	3	1	3	5	1	-	3	1	3	2	49
Jarman, Darren	1	1	2	3	1	1		2	-	1	1	-	1	-	1	4	-	-	3	-	1	1	1	2	1	28
Jencke, Ray	-	-	2	1	-	-	-	-	2	-	1	1	1	-	-	2	1	-	-		-	-	-	-	-	11
Johnston, Michael												-	1													1
Kennedy, John	-	1		-																						1
Langford, Chris	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Lawrence, Stephen	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	1
Madigan, Greg						-	-	-	-	1			-		-			-	-	-						1
Maginness, Scott	-			-	-	-	-	-	-	-	-										-					
McDonald, Alex		-	-		-	-	1																			1
Mew, Chris					-	-	-	-			-	-	-			-	-	-	-	-		-	-	-	-	
Morrissey, James	-	1	-		1	1	-	-	-	1		-			-	1	-	-	2	1	1	1	1	-	-	11
Nugent, Glenn							1	-	-	-						-	2									3
Platten, John	1	3	-	-	1	-	2	2	-	1	-	1	1	1	2			-	2	1	1	3	-	2	-	24
Pritchard, Darrin	-	-	-	-	1	-	-	-	1	2	-	1	3	2	-	2		-	3	1	-	-	1	-	1	18
Robran, Matthew	-							2	2	-	1						2							-		7
Schwab, Peter				-			-																			
Tuck, Michael		-	-	-	-		2	-	-	-	-		-	-	-	2	-	-		-	-	-	-	-	-	4
Whittlesea, Gregory						-						-		-		-										
Wittman, Chris	-	-	-	-				-	-		-	-	-	-	-	-				-	-	1	1			2
Totals	13	16	15	9	13	13	12	11	12	13	16	14	12	15	18	23	14	10	24	7	14	16	15	14	14	353
Opponent	AD	SY	RI	FO	FI	WC	CA	ES	CW	SK	GE	BB	ME	NM	AD	SY	RI	FO	FI	WC	CA	ES	WC	GE	WC	
