Player	R1	R2	R3	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	R23	R24	QF	SF	GF	Tot
Abbott, Paul				2								1		1	-											4
Allan, Ben	2	1	-	1	1	2	-	1	-	1	1	1	3	1	1	-	-	2	-	1	-	-	-	4	-	23
Anderson, Dean	2	-	1	1	-	-	-	2	1	-	1		1	-	2	2	-	-	1	-			1	2	-	17
Ayres, Gary	1	3	3	2	3	3	1	3	1	-	4	2	-				-	1	2	1	1	-	3	-	4	38
Brereton, Dermott	1						1			2	-	2	2	1	4	1	3	1	-	3	2	3	1		2	29
Collins, Andrew	3	3	1	2	6	1	5	4	1	3	1	2	2	-	1	1	3	3	1	2	1	2	-	2	-	50
Condon, Anthony	1	2	3	3	1	1								1	1	3	-	-	-	2	-	1	5	1	-	25
Cooper, Paul										-		4	-	3	-		-		2							9
Dear, Paul	1	2	1	1	-	3	2	-	-		1	-	2	-		1	-	1	-	-	1	2	1	-	-	19
DiPierdomenico, Robert											1															1
Dunstall, Jason	1	1	-	3	2	-								-	-	1	-	-	3	-	-	-	-	-	1	12
Gowers, Andrew		1	2																		3	-	-	1	-	7
Hall, Tony			-		-				-	1	1	4	-	-	-	1	2	-	-	2	1	-		-	1	13
Hudson, Paul	-	-	-	-	-	2	2	1	2	-	2	1	-	2	4	-	-	1	1	1	1	-	-	1	3	24
Jarman, Darren	-	1	1	-	1	1		-	2	-	2	-	1	-	2	-	-	1	2	-	-	-	-	2	-	16
Jencke, Ray	-	-	-	-	2	1	2	2	1	1	2	-	1	2	1	3	2	1	1		-	-	2	2	1	27
Johnston, Michael												1	-													1
Kennedy, John	5	1		3																						9
Langford, Chris	2	-	1	1	-	1	4	1	3	1	7	2	4	2	2	2	2	1	1	1	-	1	-	2	-	41
Lawrence, Stephen	1	4	1	-	-	2	-	2	2	1	2	2	-	2	1	2	-	-	1	1	3	1	4	1	1	34
Madigan, Greg						-	2	3	-	3			-		-			3	2	2						15
Maginness, Scott	1			1	-	1	4	2	3	-	2										-					14
McDonald, Alex		-	1		-	1	-																			2
Mew, Chris					1	4	-	-			-	-	1			1	-	-	1	2		3	1	-	-	14
Morrissey, James	-	1	-		-	1	-	-	-	1		-			1	3	-	-	1	-	1	1	-	-	-	10
Nugent, Glenn							3	1	-	-						-	1									5
Platten, John	3	1	3	2	3	4	1	5	2	1	4	1	2	2	2			1	6	3	2	1	5	1	2	57
Pritchard, Darrin	-	-	1	2	1	-	-	2	1	2	1	1	1	2	-	1		2	-	2	1	-	1	-	1	22
Robran, Matthew	-							1	1	3	2						-							-		7
Schwab, Peter				-			1																			1
Tuck, Michael		1	3	3	1		3	-	2	2	-		4	1	1	1	-	2		2	1	1	3	2	1	34
Whittlesea, Gregory						1						1		-		2										4
Wittman, Chris	-	2	-	2				-	-		1	1	2	3	1	1				1	2	-	-			16
Totals	24	24	22	29	22	29	31	30	22	22	35	26	26	23	24	26	13	20	25	26	20	16	27	21	17	600
Opponent	AD	SY	RI	FO	FI	WC	CA	ES	CW	SK	GE	BB	ME	NM	AD	SY	RI	FO	FI	WC	CA	ES	WC	GE	WC	
