Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	QF	SF	PF	Tot
Annear, John	1	-							1	-																	2
Begovich, Tony								1							-	-	1	-	-	-					-	-	2
Breman, Todd			-	1	2	1	-						1	-												-	5
Brennan, Michael	-	1		-	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3
Gwilliam, Brad	-	-	-													-											
Hart, David			3	-							1	2	1	1	-	2	-	-	3	-	1	-	-	-	-	-	14
Heady, Brett				2	2	-	-	2	2	-	-	-	4	1	2				3	-	1	2	2	-	-	1	24
Irving, Dean	-	-	-								-	-	-	-	-	1	-	-	-	2	-		-	-			3
Jackson, Stevan			1	2	1	1	2	1	-	1	-		2	3	-		-								3	3	20
Keene, Laurie																						1	1	2	1	-	5
Kemp, Dean	-	-	-	-	-	-	-	-	-	-		-	-	-			-	-	1	-	-	-	1	1	1	-	4
Laidley, Dean	1	-	-	-	-	-	-																				1
Lamb, Dwayne	-	-	1	1	1	-	-	-	-		-	-	-	-	-	-	2	1	-	1		-	-	-	-		7
Langdon, Karl	2	2	3	1	-	4	2	-	3	3	-	1	1	-	3	1		2	3	1	-	2	2	1	1	1	39
Lewis, Chris		-				1	-	-	-	-	3	1	2	-	1	-	2	1	2	3	3	2	2	-	1	-	24
Lockyer, Andrew	-	-				-	-																		-	-	
Mainwaring, Chris	1	-			-	2		-	-	-	-	-			-	-	1	-	-	-	-	-	-	-	2	1	7
Malaxos, Stephen			-	-	-	-	-	-	-	-	1	1	1	1	-	1	2	1	-	1	1	-	-	-			10
Matera, Peter	-						2	-	1	-																	3
McGrath, Craig											-	-			1	-	3	3	-		2	2	-	-			11
McKenna, Guy	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	-	2	-	-	-	-	-	-	-	4
Melesso, Peter																	2	-	1	-							3
Miles, Geoff							-	4	1	-					-	-	-	-	1	-							6
Narkle, Phil								2	1	1	1	2	1	1						1	-						10
OConnell, David				-	-																						
Peos, Paul	1	-	-																			-	-	-	-	-	1
Pyke, Don	-	3								-									-								3
Rance, Murray	-	1	-	-	-	-	-	-	-	-	-	-	-	-							-	-	-	-			1
Scott, Phil	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	1	-	-	1	-	-	-			-	-	3
Sumich, Peter	6	1	3	4	8	6	2	4	5	6	-	5	6	1	3	6				3	4	3	4	4	4	2	90
Turley, Craig			3	3	1	-	1				-	-	-	2	-	-	2	1	1	-	1	-	-	1	-	-	16
Turner, Dean										-						1	1	-			-					-	2
Ugle, Troy	1	1	2	-	3	-				2	2	1	-	-	6	1	1	1	3	-				-			24
Waterman, Chris																				3	1	2	1		6	-	13
Watters, Scott			1	-	-			-	-	-											-	-	-		-		1
Wilson, Peter	1	1	1	3	-	-	-	2	-		-	1	1	1	-	2	3	1	1					-			18
Worsfold, John	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	1			-	-	-	-	-	-	1
Totals	14	10	18	17	19	15	9	16	16	13	8	16	20	11	16	16	20	12	22	15	14	14	13	9	19	8	380
Opponent	CW	SK	FO	CA	SY	RI	ME	BB	GE	NM	ES	HW	FI	CW	SK	FO	CA	SY	RI	ME	BB	GE	CW	CW	ME	ES	
