Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	QF	SF	PF	Tot
Annear, John	-	-							-	-																	
Begovich, Tony								-							-	-	-	-	-	-					-	-	
Breman, Todd			-	-	-	-	-						-	-												-	
Brennan, Michael	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Gwilliam, Brad	-	-	-													-											
Hart, David			-	-							-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	1
Heady, Brett				-	3	-	-	2	-	-	-	1	-	-	-				-	-	-	-	-	-	-	-	6
Irving, Dean	-	-	-								-	-	-	-	-	-	-	-	-	-	-		-	-			
Jackson, Stevan			-	-	-	-	-	-	-	-	-		-	-	-		-								-	-	
Keene, Laurie																						-	-	-	-	-	
Kemp, Dean	-	-	-	-	-	-	-	-	-	-		-	-	-			-	-	-	-	-	-	-	-	-	-	
Laidley, Dean	-	-	3	-	-	2	-																				5
Lamb, Dwayne	-	-	-	3	2	1	-	-	-		-	-	-	-	-	-	-	-	-	-		-	-	-	-		6
Langdon, Karl	-	-	2	-	-	-	-	-	-	-	-	-	-	-	3	-		-	-	-	-	-	-	-	-	-	5
Lewis, Chris		-				-	-	-	-	-	-	-	-	-	-	-	3	-	-	-	3	3	-	-	-	-	9
Lockyer, Andrew	-	-				-	-																		-	-	
Mainwaring, Chris	-	-			-	-		-	3	-	-	-			1	3	-	-	-	-	-	1	-	-	-	-	8
Malaxos, Stephen			-	2	-	3	-	-	-	-	-	-	-	-	-	2	1	3	-	-	-	-	-	-			11
Matera, Peter	-						-	-	-	-																	
McGrath, Craig											-	-			-	-	-	-	-		-	-	-	-			
McKenna, Guy	-	-	-	-	-	-	-	1	-	-	-	3	-	-	-	-	-	-	3	-	-	-	-	-	-	-	7
Melesso, Peter																	-	-	-	-							
Miles, Geoff							-	-	-	-					-	-	-	-	-	-							
Narkle, Phil								-	-	-	-	-	-	-						-	-						
OConnell, David				-	-																						
Peos, Paul	-	-	-																			-	-	-	-	-	
Pyke, Don	-	-								-									-								
Rance, Murray	-	-	-	-	-	-	-	-	-	-	-	-	-	-							-	-	-	-			
Scott, Phil	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			-	-	1
Sumich, Peter	-	-	1	-	1	-	-	-	-	-	-	-	2	-	-	-				-	-	-	-	-	-	-	4
Turley, Craig			-	-	-	-	-				-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	2
Turner, Dean										-						-	-	-			-					-	
Ugle, Troy	3	-	-	-	-	-				-	-	-	-	-	-	-	-	-	-	-				-			3
Waterman, Chris																				-	-	-	-		-	-	
Watters, Scott			-	-	-			-	-	-											-	-	-		-		
Wilson, Peter	2	-	-	1	-	-	-	-	-		-	-	1	-	-	-	-	-	-					-			4
Worsfold, John	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-			-	-	-	-	-	-	
Totals	6	0	6	6	6	6	0	3	3	0	0	4	3	0	4	5	4	3	4	0	5	4	0	0	0	0	72
Opponent	CW	SK	FO	CA	SY	RI	ME	BB	GE	NM	ES	HW	FI	CW	SK	FO	CA	SY	RI	ME	BB	GE	CW	CW	ME	ES	
