Player	R1	R2	R3	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	R23	R24	QF	Tot
Ballantyne, Jon	-	-	-	-	-																			
Brown, Gavin	-	-	-	-	2	-	-	-	2	-	-	-	-	-	-			-	-	-	-	-	-	4
Buckley, Nathan	-	2	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	3	-	-	7
Butcher, Kent	-	-	-	-	-		-	-	-	-											-	-		
Christian, Michael		-	-								-	-	-	-	-	-						-	-	
Crosisca, Gavin	-	-	-	-	-	-				1	-	3	-	-		-	-	-	-	-	-	-	-	4
Curley, Todd			-									-	-											
Francis, Tony	-	-	-	-	-						-	-	-	3	-	-	-	3	2	3	-	-	-	11
Fraser, Mark	-	1	-	-	-	-	-	-				-	-	-	-	-	-	-					-	1
Hassall, Jon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Hotton, Trent																	-	-	-	-	-	-	-	
Houlihan, Damian						-	-	-	-	3	-				-	-			-	-	-			3
James, Aaron									-								-							
James, Brett	-	-		-	-			-	-	-	-	-	-	-	-	-	-		-	-		-		
Kelly, Craig					-	-	-		-	-			-	-	-	-	-	-	-	-	-	-	-	
Kerrison, Shane				-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
McCartney, Jason	1	-	-	-	-	-	-	-	-	-		-	-				-	-	-	-	-	-	-	1
McGuane, Mick	-	3	-			-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4
Monkhorst, Damian	-	-	-	-	-	-	3	-	3	2	-	2	-	-	3	-	-	1	3	-	-	-	-	17
Pert, Gary	-	-	-			-	-							-	-	-	-	-	-	-	-		-	
Plain, Bradley		-		-	-	-	-	-	-	-	-													
Richardson, Alan						-	-	-	-	-	-	-	-	-	-	-								
Richardson, Mark	-													-										
Rocca, Saverio	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-				-	-	2
Rowe, Brad		-	-			-	-	-		-	-													
Russell, Scott				-	-		-	-	-			-	-	-	-	-	-	-		-	-	-	-	
Ryan, Stephen	-	-		-	-			-	-	-	-													
Sanderson, Brenton				-	-	-					-													
Sandford, Glenn				-							-													
Sharkey, Paul												-			-	-	-	-	-	-	-	-	-	
Shaw, Tony	-		-	-	-	-	-	-		-	-	-	-	-	-		-	2	-	-	-	-	-	2
Staritski, Justin									-															
Tranquilli, Andrew	-											1	-	-	-	-	-	-	-				-	1
Watson, Shane	-	-	-		-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	1
Williams, Paul	-	-	1	-	-	-	-	-	-	-						-	-	-	-	-	-	-	-	1
Woods, Tony			-															-	-	-	-	-		
Wright, Graham	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-			-	-	-			2
Totals	1	6	1	2	2	0	5	0	6	6	0	6	0	3	6	0	0	6	5	3	3	0	0	61
Opponent	FI	CA	FO	ES	ME	GE	SK	NM	HW	AD	RI	WC	BB	SY	FI	CA	FO	ES	ME	GE	SK	NM	WC	
