Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	Tot
Anthony, John	1	-	1	-	-	-		-	1	-	1	-	1	-	1	-	-	-	1	1	-	1	-	-	-	9
Barham, Jaxson				1	1	-	1										1	-								4
Beams, Dayne		-	-	2	-	1		-					-	-	1	1	-	-	-	1	1	-	-		-	7
Brown, Leigh		-	-	1	-	-	-	-	-	4	-	-	-	-	-	1	-	-	-	1	-		-	-	2	9
Brown, Nathan	-	-	-	-	-	-	-	-	-	-	-		1	-		-										1
Bryan, Chris	-																									
Clarke, Martin	-	2	1	1	1	-	-	-	-	-	-	-														5
Cloke, Travis	-	1	-	-	2	1	-				2	-	1	2	-	1	1	-	2	-	1	1	3	2	1	21
Cook, Ryan								-	-																	
Corrie, Anthony						-	-	-																		
Cox, Shannon	-	-	-	-	-			-	-	-	-	-	-													
Davis, Leon	-	2	-	-	-	4		-	-	1	1	-		-	1	-	-	-	1	1	-	-	1	-	-	12
Dawes, Chris													-				-		-	-						
Dick, Brad		1	-						1	1	3	-	2	1	2	-			1	1	-	-		-	1	14
Didak, Alan	1	-	1	-						-	1	3	3	1	1	-	-	-	2	-	-	-	-	-	-	13
Fraser, Josh	-	-	-	-	-	-	-		-	-	1	-	-	1	1						-	-	-			3
Goldsack, Tyson	-			-	-				-				-	1	1			-	-			1		-	-	3
Johnson, Ben	-	1	-												-	-	-	1	-	-	1	-	-	-	-	3
Lockyer, Tarkyn	2	2	-	1	-	-	1	-	1	1	1	-	2	1	-	-	1	-	1	-	-	2	-	1	-	17
Lumumba, Heritier	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	1
Macaffer, Brent					-	3	-																	1	-	4
Maxwell, Nick	-	-	-			-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	1	-	-	2
McCarthy, John																						-	-			
Medhurst, Paul	-	2	2	1	1	2							3	2	-	-	2	-	-	-	-	1	1	-		17
OBree, Shane	-	-	2	-	-	1	1	-	-	-	-	-	1	-	1	1	-	-	-	-	1	-	-	-	-	8
Pendlebury, Scott	1	1	1	1	2	1	-	1	2	1	1	-		-	-	1	-	-	1	2	-		-			16
Prestigiacomo, Simon	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	2
Reid, Ben	-							-																		
Rocca, Anthony				1	-		-																-			1
Shaw, Heath		-	-				-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Sidebottom, Steele							-	-	-	1	-	-					1	-					-	2	-	4
Stanley, Danny							-																			
Swan, Dane	1	1	-	-	2	-	-	1	3	1	2	1	2	1	2	1	-	2	-	1	1	-	-	-	-	22
Thomas, Dale	3		1	1	1	2	-			-	-	1	3	-	2	2	1	-	-	-	1	-	-	1	-	19
Toovey, Alan	-	-		2	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	1	-	-	-	-	-	5
Wellingham, Sharrod						2	-	-	-	1	1	1	1	-	-	-				1	-	-		-	-	7
Wood, Cameron								-	-	-		-				-	1	-	-	2	-	1		1	-	5
Totals	9	13	10	12	10	17	3	2	8	12	14	6	20	11	13	9	10	4	9	12	6	7	6	8	4	235
Opponent	AD	ME	GE	BL	ES	NM	SK	CA	WC	PA	ME	SY	FR	ES	WB	HW	CA	BL	AD	RI	SY	WB	SK	AD	GE	
