Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	Tot
Ackland, Cain	-	-	2	-	-	1	1	-	-	-	1	-	-	-	-	-	1			-	-	-	-	-	6
Baker, Steven	2	5	3	1	-	2	-	-	3	3	3	1	2	2	3	2	1	4	1	-	3	3	4	4	52
Ball, Luke	1	2	2	1	-	1	2	2	1	2	-	3	3	1	1	4	4	5	5	1	2	1	2	1	47
Blake, Jason	-			-				1	2	1					-	-	1	-	-	-	1	-	-	2	8
Brooks, Barry			-								1														1
Clarke, Raphael			-	5	3	2	1	2	2	-		5	2		-	1	3					4	1	1	32
Clarke, Xavier				2	2	2	6			1	4				3	1	-								21
Dal Santo, Nick	3	-	4	2	1	2	3	1	6	-	2	8	2	3	-	4	3	1	4	1	1	1	1	7	60
Ferguson, Matthew																						1	1		2
Fiora, Aaron	-	3	-	3	-	1	-	-	4			-	-									2		1	14
Fisher, Sam	1	1	-	2	2	-	2	3	6	1	2	4	1	6	3	5	9	3	5	2			4		62
Gehrig, Fraser	1	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	1
Goddard, Brendon	-	-	2	1	3	1	1	4	2	-		6	4	5	1	1	-				8	1		1	41
Gram, Jason									-	-	-										-	2			2
Guerra, Brent				-	-	1	-	-						1		-	-	-	1	-			-	-	3
Gwilt, James																						-	4	-	4
Hamill, Aaron	-	-	-	-	-	-												-	-	-	-	-	-		
Harvey, Robert	1	2	-		2	4	1				2	2	3	-				3	-	1	1	3	-	-	25
Hayes, Lenny	3	-	3	-	1	4	5	5	2	3	2	2	1	4	1	2	2	-	1	2	-	-	2	1	46
Hudghton, Max	2	-	3	3	3	1	3	3	3	1	2	2	-	2	6	1	-	-	2					1	38
Jones, Austinn	4	3	3	7	11	4	1		10	3	1	3	1		3	3	-	3	6	7	2	1	7	4	87
Koschitzke, Justin	1	-			-	-	1							1	1	1	-	1	-	1	2				9
Maguire, Matt	6	4	4	2	5	3	-	-		1	1	4	4	2	-	5	2	1	3	4	3			6	60
McGough, Mark	1	2					-	3	-	1	-			-	1										8
McQualter, Andrew								1	2		-	2	-	2	-										7
Milne, Stephen	-	-	-	-	-	-	-	-	-	-	1	-	2	-	-	-	-	-	1	1	-	-	-	-	5
Montagna, Leigh													6					-	-	1	2	2	1	1	13
Murray, Allan												-	-												
Peckett, Justin		1	-	4	3	1	-	2	1	-	-	2		1		1	1	2	3	-	2	1	2		27
Penny, Luke		1	3						2				-	2				2	1	1	-				12
Powell, Stephen									1	-	1	-	2	1	-	2	2	1	-	-	-	2	-	-	12
Riewoldt, Nick	-						-	-	-	-	-	1	-	-				2	-	-	-	-	-	-	3
Schwarze, Troy	4	5	-	2											-	1	1								13
Stone, Nick								3																	3
Thompson, Andrew	1	2	1	1	-	1	1	-		1	2	-		-	-	1	1	2	-	1	1	-	-	-	16
Voss, Brett	3	3	1	-	-	2	-	1	1	2	2	-	1	6	2	4	3	3	1	3	1	2	4	4	49
Totals	34	34	31	36	36	33	28	31	48	20	27	45	34	39	25	39	34	33	34	26	29	26	33	34	789
Opponent	BL	FR	KA	ME	RI	CW	GE	WC	AD	SY	PA	HW	ES	WB	CA	RI	CW	ME	GE	KA	FR	BL	AD	SY	
