Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	Tot
Ackland, Cain	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-			-	1	-	-	-	3
Baker, Steven	1	-	-	-	1	2	1	-	-	3	-	1	-	-	-	-	1	-	-	-	2	-	-	1	13
Ball, Luke	1	-	2	-	-	2	8	1	1	-	-	1	1	1	2	-	2	2	-	2	2	1	-	-	29
Blake, Jason	-			-				-	-	-					-	-	1	-	1	-	-	-	-	-	2
Brooks, Barry			-								-														
Clarke, Raphael			4	2	4	2	1	-	-	-		2	1		-	1	-					1	-	-	18
Clarke, Xavier				5	9	5	10			10	9				3	2	-								53
Dal Santo, Nick	-	-	5	3	5	1	-	3	3	2	2	3	1	3	-	1	-	7	3	-	-	2	2	-	46
Ferguson, Matthew																						-	-		
Fiora, Aaron	6	4	1	1	8	2	-	-	-			-	1									5		5	33
Fisher, Sam	-	-	-	-	1	-	-	-	-	-	3	-	-	-	2	-	-	-	-	-			-		6
Gehrig, Fraser	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	
Goddard, Brendon	-	-	1	1	1	2	-	6	1	-		2	-	-	-	-	-				-	-		-	14
Gram, Jason									-	-	1										-	3			4
Guerra, Brent				-	1	-	-	-						-		-	-	-	-	-			-	-	1
Gwilt, James																						-	-	-	
Hamill, Aaron	-	-	-	-	-	-												-	-	-	-	-	-		
Harvey, Robert	1	-	-		-	-	-				-	-	-	-				-	-	-	1	-	-	-	2
Hayes, Lenny	-	-	2	3	2	2	1	-	-	1	1	-	1	2	1	-	-	-	1	-	-	2	-	-	19
Hudghton, Max	-	-	-	-	-	-	-	-	-	1	-	-	-	-	2	-	-	-	-					-	3
Jones, Austinn	2	5	-	2	2	3	-		7	2	2	2	-		1	5	-	1	4	4	1	6	2	2	53
Koschitzke, Justin	-	-			-	-	-							1	1	-	1	1	-	-	-				4
Maguire, Matt	-	-	2	2	-	-	-	-		-	-	-	-	-	-	-	-	-	-	1	-			-	5
McGough, Mark	1	1					1	-	-	1	-			1	-										5
McQualter, Andrew								-	-		-	-	-	2	-										2
Milne, Stephen	-	-	-	-	-	-	-	-	-	1	3	1	1	1	2	-	1	-	2	1	-	-	-	-	13
Montagna, Leigh													-					3	-	2	4	-	1	6	16
Murray, Allan												-	-												
Peckett, Justin		-	1	3	3	-	1	3	-	3	-	2		3		1	-	3	1	2	4	1	-		31
Penny, Luke		-	-						-				-	-				-	-	-	-				
Powell, Stephen									-	-	1	-	-	-	-	-	-	3	-	-	-	-	-	-	4
Riewoldt, Nick	-						-	3	-	-	-	2	-	-				1	-	-	-	-	-	-	6
Schwarze, Troy	-	-	1	-											-	-	-								1
Stone, Nick								1																	1
Thompson, Andrew	2	-	-	-	-	-	-	-		-	-	-		-	-	-	-	-	-	-	-	-	-	-	2
Voss, Brett	-	-	1	-	-	-	-	-	1	-	-	1	-	-	-	-	-	-	1	-	-	-	-	-	4
Totals	14	10	20	22	37	21	23	17	13	24	22	18	6	15	14	10	6	21	13	12	15	21	5	14	393
Opponent	BL	FR	KA	ME	RI	CW	GE	WC	AD	SY	PA	HW	ES	WB	CA	RI	CW	ME	GE	KA	FR	BL	AD	SY	
