Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	Tot
Ackland, Cain	1	4	2	3	-	4	4	-	2	3	6	4	3	3	-	2	4			1	2	3	3	-	54
Baker, Steven	1	1	2	1	2	3	1	-	2	3	-	5	3	3	4	1	1	3	1	1	4	-	1	3	46
Ball, Luke	2	2	3	2	1	2	1	1	5	1	2	1	2	2	2	4	4	5	3	2	2	4	5	2	60
Blake, Jason	2			1				4	2	1					4	3	1	1	2	1	-	-	3	2	27
Brooks, Barry			-								1														1
Clarke, Raphael			2	2	-	2	-	1	1	2		2	2		4	-	1					2	2	1	24
Clarke, Xavier				2	1	3	3			1	3				1	2	1								17
Dal Santo, Nick	1	-	-	2	3	2	4	2	2	-	3	-	3	3	2	-	3	3	1	1	-	2	4	6	47
Ferguson, Matthew																						1	1		2
Fiora, Aaron	-	-	2	1	1	2	2	3	6			1	2									-		1	21
Fisher, Sam	1	-	1	2	-	1	1	-	4	-	-	1	1	3	2	3	2	4	2	1			1		30
Gehrig, Fraser	3	3	4	5	-	6		3	-	-	6	3	2	1	-	1	1	1	-	-	1		1	4	45
Goddard, Brendon	-	4	3	3	-	3	2	3	1	2		1	-	5	2	4	2				4	2		1	42
Gram, Jason									-	1	1										-	1			3
Guerra, Brent				1	1	2	2	2						3		1	-	1	2	1			2	2	20
Gwilt, James																						3	2	2	7
Hamill, Aaron	5	5	4	7	2	3												3	4	4	2	1	1		41
Harvey, Robert	-	3	1		-	2	1				1	1	-	-				3	6	1	1	1	1	1	23
Hayes, Lenny	2	3	2	4	-	3	4	-	3	3	2	4	4	3	1	3	2	3	2	1	1	1	1	1	53
Hudghton, Max	2	3	3	-	3	-	1	-	4	3	2	-	1	3	-	4	1	2	-					1	33
Jones, Austinn	3	2	2	1	3	3	-		4	2	1	-	1		3	2	1	1	2	2	-	2	4	3	42
Koschitzke, Justin	2	4			2	4	2							3	1	2	6	5	5	5	1				42
Maguire, Matt	2	2	1	-	4	2	3	-		1	2	4	6	1	-	3	3	3	3	4	1			4	49
McGough, Mark	4	1					4	-	1	-	1			2	2										15
McQualter, Andrew								1	2		1	-	-	1	1										6
Milne, Stephen	6	2	5	1	2	2	4	1	6	1	3	3	2	1	8	-	1	-	2	5	1	3	1	1	61
Montagna, Leigh													2					1	1	2	-	-	3	-	9
Murray, Allan												1	-												1
Peckett, Justin		2	1	1	3	1	-	2	-	2	-	2		2		2	1	1	5	1	1	1	3		31
Penny, Luke		3	1						1				1	-				-	1	2	1				10
Powell, Stephen									1	-	2	2	3	4	3	2	3	2	1	4	1	3	3	-	34
Riewoldt, Nick	-						2	4	3	4	-	3	3	-				2	2	2	2	1	-	1	29
Schwarze, Troy	3	1	2	-											2	-	-								8
Stone, Nick								1																	1
Thompson, Andrew	-	1	1	-	1	1	-	-		1	-	1		-	-	3	4	2	-	1	2	-	1	3	22
Voss, Brett	1	-	-	1	3	-	1	4	-	-	-	-	-	1	-	1	1	4	1	1	1	2	-	1	23
Totals	41	46	42	40	32	51	42	32	50	31	37	39	41	44	42	43	43	50	46	43	28	33	43	40	979
Opponent	BL	FR	KA	ME	RI	CW	GE	WC	AD	SY	PA	HW	ES	WB	CA	RI	CW	ME	GE	KA	FR	BL	AD	SY	
