Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	Tot
Ackland, Cain	-	-	1	2	-	3	-	-	-	1	3	2	1	2	-	1	3			-	2	2	2	-	25
Baker, Steven	-	-	2	-	1	1	-	-	-	1	-	2	1	2	2	-	1	1	1	1	1	-	-	1	18
Ball, Luke	1	-	2	-	-	-	-	1	1	-	1	1	-	1	-	3	-	-	1	-	-	-	-	-	12
Blake, Jason	1			1				2	2	1					3	2	1	-	-	-	-	-	2	2	17
Brooks, Barry			-								1														1
Clarke, Raphael			-	-	-	1	-	-	-	-		1	-		1	-	1					1	1	-	6
Clarke, Xavier				1	-	1	-			-	-				1	1	1								5
Dal Santo, Nick	-	-	-	-	1	1	1	-	1	-	-	-	1	-	1	-	2	2	-	1	-	1	-	2	14
Ferguson, Matthew																						-	-		
Fiora, Aaron	-	-	-	1	-	-	2	-	1			-	1									-		-	5
Fisher, Sam	-	-	-	1	-	-	1	-	1	-	-	-	-	-	2	-	-	2	1	1			-		9
Gehrig, Fraser	2	2	1	-	-	3		3	-	-	5	1	-	-	-	1	-	-	-	-	1		-	2	21
Goddard, Brendon	-	1	1	1	-	-	-	2	1	1		-	-	2	2	1	2				3	1		-	18
Gram, Jason									-	-	-										-	1			1
Guerra, Brent				1	-	2	1	2						3		1	-	1	-	1			1	2	15
Gwilt, James																						2	1	-	3
Hamill, Aaron	-	5	1	4	1	1												1	2	4	2	1	1		23
Harvey, Robert	-	1	1		-	-	-				1	-	-	-				3	-	1	-	-	-	-	7
Hayes, Lenny	1	1	1	1	-	1	1	-	-	2	2	1	4	1	-	-	2	-	1	-	1	-	1	-	21
Hudghton, Max	2	3	2	-	3	-	1	-	3	2	1	-	1	2	-	2	1	-	-					-	23
Jones, Austinn	-	2	1	-	1	-	-		1	-	-	-	1		-	1	-	1	1	1	-	1	3	-	14
Koschitzke, Justin	1	-			2	1	2							2	-	1	2	3	3	4	1				22
Maguire, Matt	1	1	-	-	-	2	1	-		-	1	3	-	1	-	1	2	2	1	2	1			1	20
McGough, Mark	1	-					1	-	-	-	-			1	1										4
McQualter, Andrew								-	-		-	-	-	1	-										1
Milne, Stephen	3	-	3	-	-	2	1	1	2	-	1	2	-	-	6	-	-	-	1	2	1	3	-	-	28
Montagna, Leigh													2					1	-	1	-	-	1	-	5
Murray, Allan												1	-												1
Peckett, Justin		1	1	1	2	-	-	2	-	2	-	1		1		1	-	-	3	1	1	-	-		17
Penny, Luke		3	1						-				-	-				-	1	1	1				7
Powell, Stephen									-	-	1	1	-	3	-	1	-	1	1	2	1	2	1	-	14
Riewoldt, Nick	-						-	-	1	-	-	1	1	-				-	-	-	1	-	-	1	5
Schwarze, Troy	1	-	1	-											1	-	-								3
Stone, Nick								1																	1
Thompson, Andrew	-	-	-	-	1	-	-	-		-	-	1		-	-	2	3	-	-	-	1	-	-	-	8
Voss, Brett	1	-	-	-	1	-	1	1	-	-	-	-	-	-	-	1	-	2	-	-	-	-	-	-	7
Totals	15	20	19	14	13	19	13	15	14	10	17	18	13	22	20	20	21	20	17	23	18	15	14	11	401
Opponent	BL	FR	KA	ME	RI	CW	GE	WC	AD	SY	PA	HW	ES	WB	CA	RI	CW	ME	GE	KA	FR	BL	AD	SY	
