Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	Tot
Ackland, Cain	6	1	3	5	3	4	5	5	2	1	2	2	3	5	-	1	-			-	1	2	3	3	57
Baker, Steven	1	1	1	-	2	1	2	2	1	1	1	-	1	-	4	1	1	-	1	2	2	-	1	2	28
Ball, Luke	10	3	7	8	4	7	4	7	3	2	2	7	2	3	5	4	8	1	2	3	5	7	4	7	115
Blake, Jason	-			-				1	3	4					2	2	5	2	2	1	1	1	2	1	27
Brooks, Barry			1								-														1
Clarke, Raphael			2	2	1	-	-	1	-	3		-	1		1	-	-					2	-	1	14
Clarke, Xavier				-	1	2	-			1	-				1	2	-								7
Dal Santo, Nick	6	3	6	2	2	6	4	2	4	4	1	-	7	3	6	2	1	5	2	2	3	5	7	2	85
Ferguson, Matthew																						1	-		1
Fiora, Aaron	1	1	-	3	1	1	1	1	3			-	2									-		-	14
Fisher, Sam	1	1	-	-	-	1	-	-	1	1	1	-	-	1	-	1	-	1	-	-			1		10
Gehrig, Fraser	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	2	-	-		-	-	2
Goddard, Brendon	3	-	1	1	4	2	-	3	1	3		-	4	1	2	1	2				1	1		-	30
Gram, Jason									-	-	-										1	1			2
Guerra, Brent				2	-	1	1	-						1		1	1	1	-	1			-	-	9
Gwilt, James																						-	-	-	
Hamill, Aaron	-	3	2	2	1	-												-	-	3	1	1	-		13
Harvey, Robert	4	3	2		4	5	1				1	2	5	1				4	2	3	3	5	5	4	54
Hayes, Lenny	7	8	4	3	3	5	-	4	3	4	7	2	1	2	5	4	6	3	3	4	2	3	5	2	90
Hudghton, Max	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-					-	3
Jones, Austinn	-	-	-	4	2	1	-		1	-	-	1	-		1	1	1	-	1	-	-	-	1	2	16
Koschitzke, Justin	-	3			-	-	4							-	4	-	4	2	3	1	-				21
Maguire, Matt	-	-	-	-	1	1	1	-		-	-	1	3	-	2	-	1	2	-	-	-			3	15
McGough, Mark	2	1					1	-	1	1	1			2	2										11
McQualter, Andrew								4	1		2	1	1	3	2										14
Milne, Stephen	-	1	-	1	-	-	-	-	-	4	-	-	-	2	1	-	2	1	-	3	1	-	1	1	18
Montagna, Leigh													-					3	1	3	2	4	1	-	14
Murray, Allan												-	-												
Peckett, Justin		-	-	2	1	-	2	4	-	-	-	1		1		1	1	1	1	1	1	1	1		19
Penny, Luke		-	-						-				1	-				-	-	1	-				2
Powell, Stephen									3	4	3	3	3	2	1	7	4	5	1	2	4	2	1	3	48
Riewoldt, Nick	-						1	-	-	-	-	-	1	-				-	2	-	-	-	-	-	4
Schwarze, Troy	-	2	1	-											1	-	-								4
Stone, Nick								-																	
Thompson, Andrew	3	4	3	2	1	2	1	3		2	2	1		2	5	2	4	7	5	2	3	3	1	4	62
Voss, Brett	-	1	-	2	-	1	2	-	-	-	-	-	2	1	-	1	-	1	-	-	-	-	-	-	11
Totals	44	38	33	39	31	40	30	37	27	35	23	21	37	30	45	31	41	40	28	32	31	39	34	35	821
Opponent	BL	FR	KA	ME	RI	CW	GE	WC	AD	SY	PA	HW	ES	WB	CA	RI	CW	ME	GE	KA	FR	BL	AD	SY	
