Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	Tot
Ackland, Cain	18	15	15	21	6	20	7	14	16	12	10	16	26	16	15	1	4			4	11	10	10	22	289
Baker, Steven	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Ball, Luke	-	-	-	-	-	-	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2
Blake, Jason	9			6				12	8	15					13	9	19	10	8	8	7	9	9	14	156
Brooks, Barry			7								5														12
Clarke, Raphael			-	-	-	-	1	-	-	-		-	-		2	-	-					-	-	-	3
Clarke, Xavier				-	-	-	-			-	-				-	-	-								
Dal Santo, Nick	-	1	-	-	-	1	1	2	2	2	1	-	-	1	1	-	1	-	1	-	1	-	1	-	16
Ferguson, Matthew																						1	-		1
Fiora, Aaron	-	-	-	1	1	-	-	2	-			-	2									-		-	6
Fisher, Sam	-	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	1	-	-			-		3
Gehrig, Fraser	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	1	-	-	-		1	-	2
Goddard, Brendon	1	1	-	2	3	-	1	2	-	-		1	2	1	-	3	-				-	-		-	17
Gram, Jason									-	-	-										-	-			
Guerra, Brent				-	-	-	-	-						-		-	-	-	-	-			-	-	
Gwilt, James																						-	-	-	
Hamill, Aaron	-	-	-	-	-	-												-	-	-	3	1	-		4
Harvey, Robert	-	-	-		-	-	-				-	-	-	-				-	-	-	-	-	-	-	
Hayes, Lenny	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	1	1	3	6
Hudghton, Max	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-					-	1
Jones, Austinn	-	-	-	-	-	-	-		-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	
Koschitzke, Justin	10	21			19	20	14							11	13	2	14	13	16	20	3				176
Maguire, Matt	-	-	-	-	-	-	-	-		-	2	-	-	1	1	-	-	-	-	-	-			-	4
McGough, Mark	-	-					-	-	-	-	-			-	-										
McQualter, Andrew								-	-		-	-	-	-	-										
Milne, Stephen	-	1	-	1	-	-	-	-	-	3	-	1	-	-	-	-	-	-	-	-	-	-	-	-	6
Montagna, Leigh													-					-	-	-	-	-	-	-	
Murray, Allan												-	1												1
Peckett, Justin		-	-	-	-	-	-	-	-	-	-	-		-		-	-	-	-	-	-	-	-		
Penny, Luke		-	-						-				-	-				1	2	1	-				4
Powell, Stephen									-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Riewoldt, Nick	-						-	-	-	-	-	3	1	-				-	-	1	3	-	-	1	9
Schwarze, Troy	-	-	-	-											1	-	-								1
Stone, Nick								2																	2
Thompson, Andrew	-	-	-	-	-	-	-	-		-	-	-		-	-	-	-	-	-	-	-	-	-	-	
Voss, Brett	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-	2	4
Totals	38	40	23	31	29	41	25	34	27	32	20	21	32	30	47	15	38	26	28	34	28	22	22	42	725
Opponent	BL	FR	KA	ME	RI	CW	GE	WC	AD	SY	PA	HW	ES	WB	CA	RI	CW	ME	GE	KA	FR	BL	AD	SY	
