Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	Tot
Alvey, Mark																						-	-		
Brown, Nathan	2	1	-	1		1	2	-	2	1	-	1	1	2	-	1	2	2	3	2	2	1	1		28
Cameron, Leon	1	-	4	-	-	1			1	-	-	-	-	2	-	1	-	-						1	11
Contessa, Adam					-	3	1	2	1	1	2	-						-	2	1		-			13
Cook, James	-	-		1	3	1	-	-	1	1	-			-	-	2	3	-	-	1	-	-			13
Cox, Simon	-	1	-				-																		1
Croft, Matthew	-		4	1	-	-	-	2	-	2	2	1	-	1	1	1	1	1	5	-	1	2	3	-	28
Curley, Todd	1	3	1	2	2	1	-	2	4	3	2	-	4	2	2	1	1	1	-	1	4	2	1	1	41
Darcy, Luke	1	1	3	-	1	-	1	2	-	1	-	3	1	3	-	-	1	2	2	1	1	5	3	2	34
Dent, Matthew	1	-			1	-	2	1	-	1	2	1	3	-					-	-	-			-	12
Dimattina, Paul	5	1	-	-	2	-	1	-	2	2	-	3	2	1	2	1	-				2	2	6	1	33
Ellis, Craig		-	-	-	3	-		1	-		-	1	3				-		1	3	1	-	1	1	15
Garlick, Simon	3	1	1	-	-	-	2	2	2	1	1	1	3	1	1	1	-	1	2	-	1		5	4	33
Grant, Chris	2	2	2	-	3	1	-	2	2	1	1	3	-	-	1	2	4	-	3	-	-	1	7	2	39
Hudson, Paul	5	-	1	-	-	-	-	-	3	-	1			2	1	4	-	-	2	2	2	4	2	2	31
Hunter, Kingsley												-													
Johnson, Brad	1	3	2	1	-	1	2	2	2	-	1	5	1	-	1	3	-	3	-	2	-	4	2	1	37
Kolyniuk, Steven																					-	1	1	-	2
Kretiuk, Steven							-	-	-	1	3		3	-	-	-	-	-	1	-	2	-	1	2	13
Liberatore, Tony	-	3	1	-	1	2	1	-	-	-				3	-	2	-	-	-	1	-	2	-	-	16
Macri, Christin																		-	-	1					1
Mahoney, Josh	2	3	-	1	1	-						-													7
Martin, Michael	5	-	3	1									-		-	1									10
Montgomery, Brett	2	3	3		2	1	-	2	1	2	-	4	-	-	3	-	2	1	-	1	3	1	3	2	36
Plunkett, Jim												1	-												1
Powell, Stephen				2	2	3	2	1	1	1	3	2	2	1	1	2	3	5	2	1	1	1	5	1	42
Robbins, Matthew							-	-	1	1	-	3	3	-	1	1	4	2						1	17
Romero, Jose			1	2														-	1	-	2	1	3	1	11
Smith, Rohan	3	6	2	1	1	-	2	-	-	-	3	4	1	3	1	2	-	-	2	-	-	2	2	4	39
Southern, Daniel	1	-	1	3	-								-	3	3	-	-	1	1	1	-	-	1	1	16
West, Scott	-	2	1	2	3	1	-	1	3	-	2	4	2	2	3	2	3	-				2	2	2	37
Winmar, Nicky	1	2	2	1	1	2	1	2		-	2	1	1	1	-	4	-		-	3	1	-	1		26
Wynd, Scott	1	1	-	2	1	2	-	1	2	1	1	1	3	-	1	2	1	2	3	1	3		-	1	30
Totals	37	33	32	21	27	20	17	23	28	20	26	39	33	27	22	33	25	21	30	22	26	31	50	30	673
Opponent	AD	GE	CA	SK	RI	WC	PA	ME	CW	BL	HW	FR	ES	SY	KA	AD	GE	CA	SK	RI	WC	PA	WC	BL	
