Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	Tot
Alvey, Mark																						2	-		2
Brown, Nathan	-	-	-	-		-	2	-	1	2	2	-	2	2	-	-	1	-	1	1	2	-	1		17
Cameron, Leon	-	1	1	-	-	-			1	-	1	-	1	-	-	1	-	-						-	6
Contessa, Adam					1	1	-	1	2	3	-	-						-	5	-		1			14
Cook, James	-	-		-	1	-	-	2	-	-	-			1	-	-	3	-	-	-	-	1			8
Cox, Simon	1	-	-				-																		1
Croft, Matthew	-		2	1	5	1	-	1	-	1	-	1	-	-	2	1	-	3	2	2	-	1	1	-	24
Curley, Todd	-	2	5	1	1	1	-	-	-	-	-	1	2	-	1	-	2	1	-	1	1	-	2	1	22
Darcy, Luke	1	1	-	1	-	-	1	-	2	-	-	-	-	-	-	1	2	-	1	3	1	-	1	2	17
Dent, Matthew	1	1			-	1	-	1	-	1	4	2	1	-					-	-	-			-	12
Dimattina, Paul	2	1	-	2	4	1	-	-	2	3	1	1	2	1	-	3	-				1	1	-	2	27
Ellis, Craig		-	-	-	-	-		1	1		1	-	1				-		-	3	3	-	1	1	12
Garlick, Simon	2	-	2	3	1	1	1	1	1	-	3	3	2	-	-	2	-	1	1	1	2		1	1	29
Grant, Chris	1	3	2	1	1	-	4	1	1	1	1	-	1	1	1	-	2	-	3	-	2	4	1	2	33
Hudson, Paul	1	-	1	1	1	1	1	2	-	-	-			-	2	2	1	2	2	1	-	2	2	1	23
Hunter, Kingsley												-													
Johnson, Brad	-	-	-	1	1	1	-	3	1	-	-	-	2	-	1	2	-	1	2	2	2	1	2	-	22
Kolyniuk, Steven																					1	2	1	1	5
Kretiuk, Steven							-	2	-	1	-		2	-	-	-	1	4	-	1	1	1	2	2	17
Liberatore, Tony	1	4	1	1	2	2	4	2	1	5				-	1	2	2	2	7	9	6	4	6	7	69
Macri, Christin																		-	1	1					2
Mahoney, Josh	1	2	-	-	-	-						1													4
Martin, Michael	-	1	3	-									2		-	3									9
Montgomery, Brett	-	-	-		-	-	-	3	3	1	1	-	3	-	-	3	5	1	2	-	1	1	2	1	27
Plunkett, Jim												-	3												3
Powell, Stephen				-	-	3	1	-	2	2	2	1	-	-	1	1	-	2	3	2	2	2	2	1	27
Robbins, Matthew							1	-	1	-	1	1	1	1	-	3	1	1						2	13
Romero, Jose			4	1														2	1	2	-	1	1	-	12
Smith, Rohan	1	1	1	1	-	-	-	-	1	-	1	2	1	-	-	-	3	1	2	-	1	-	1	-	17
Southern, Daniel	-	1	-	1	-								-	1	1	-	-	1	-	-	1	1	-	-	7
West, Scott	-	-	5	1	1	-	1	3	5	-	1	1	1	3	-	6	4	2				1	3	2	40
Winmar, Nicky	2	-	-	-	1	-	-	1		-	-	2	1	1	-	-	-		2	2	-	1	-		13
Wynd, Scott	-	-	1	1	3	1	2	-	-	1	1	2	-	1	-	3	-	-	3	2	2		1	-	24
Totals	14	18	28	17	23	14	18	24	25	21	20	18	28	12	10	33	27	24	38	33	29	27	31	26	558
Opponent	AD	GE	CA	SK	RI	WC	PA	ME	CW	BL	HW	FR	ES	SY	KA	AD	GE	CA	SK	RI	WC	PA	WC	BL	
