Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	Tot
Alvey, Mark																						2	1		3
Brown, Nathan	4	7	1	3		1	6	7	3	-	2	3	5	3	2	1	2	5	10	1	5	6	4		81
Cameron, Leon	2	4	5	3	-	3			10	3	2	4	1	3	1	1	4	4						7	57
Contessa, Adam					4	4	3	-	3	-	2	2						1	1	2		2			24
Cook, James	-	1		5	5	1	1	3	5	2	-			2	-	4	5	8	2	2	-	1			47
Cox, Simon	1	4	3				1																		9
Croft, Matthew	1		3	5	1	4	5	5	3	2	1	7	4	1	2	3	4	3	1	6	2	3	4	2	72
Curley, Todd	4	4	7	3	3	3	4	4	2	2	6	4	3	1	5	6	3	5	2	5	2	2	2	5	87
Darcy, Luke	5	4	5	3	3	3	8	3	8	1	8	5	3	6	6	5	6	12	5	4	7	9	8	9	136
Dent, Matthew	1	1			4	1	2	2	-	1	4	4	4	-					1	5	3			-	33
Dimattina, Paul	1	3	1	-	7	2	2	1	9	1	2	5	5	6	3	1	1				9	5	2	2	68
Ellis, Craig		8	6	2	3	3		2	6		3	2	5				-		1	6	3	4	1	-	55
Garlick, Simon	5	5	2	1	3	6	7	1	2	2	7	7	7	8	2	3	4	2	8	-	7		3	7	99
Grant, Chris	4	6	4	5	7	6	3	6	11	4	9	8	10	9	10	6	8	9	9	7	11	10	7	7	176
Hudson, Paul	5	4	4	6	3	3	9	3	4	1	1			2	6	2	4	4	5	7	4	7	3	3	90
Hunter, Kingsley												1													1
Johnson, Brad	4	11	3	8	2	6	7	3	5	2	5	6	8	7	10	2	3	6	6	5	6	9	4	5	133
Kolyniuk, Steven																					4	5	2	2	13
Kretiuk, Steven							5	1	2	4	4		6	5	1	2	2	6	5	4	6	1	1	2	57
Liberatore, Tony	-	1	-	-	3	1	3	1	1	1				4	1	1	-	-	2	1	1	2	2	3	28
Macri, Christin																		1	3	2					6
Mahoney, Josh	6	5	6	6	3	1						1													28
Martin, Michael	6	-	1	3									4		4	-									18
Montgomery, Brett	5	2	7		3	6	4	1	8	5	7	11	2	2	10	1	3	1	1	8	10	10	3	5	115
Plunkett, Jim												3	3												6
Powell, Stephen				8	1	2	10	6	7	5	4	8	4	3	1	6	5	7	2	1	4	3	4	1	92
Robbins, Matthew							2	-	6	-	2	5	7	-	1	-	1	2						2	28
Romero, Jose			-	3														2	1	-	1	1	3	-	11
Smith, Rohan	7	4	2	3	9	7	4	8	6	2	6	3	5	8	6	2	4	4	1	7	2	10	6	6	122
Southern, Daniel	2	-	2	5	5								2	5	5	4	3	-	1	6	2	4	4	4	54
West, Scott	-	2	4	3	3	5	1	5	2	-	2	1	1	1	1	2	1	3				4	1	5	47
Winmar, Nicky	-	7	2	7	6	1	6	3		-	2	7	1	5	-	3	-		8	7	-	4	-		69
Wynd, Scott	1	-	-	5	7	1	2	2	2	-	2	4	3	2	2	1	4	-	2	1	3		1	2	47
Totals	64	83	68	87	85	70	95	67	105	38	81	101	93	83	79	56	67	85	77	87	92	104	66	79	1912
Opponent	AD	GE	CA	SK	RI	WC	PA	ME	CW	BL	HW	FR	ES	SY	KA	AD	GE	CA	SK	RI	WC	PA	WC	BL	
