Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	Tot
Alvey, Mark																						1	-		1
Brown, Nathan	-	1	-	1		-	-	-	-	1	2	-	-	-	4	2	-	1	-	1	1	1	1		16
Cameron, Leon	2	-	-	-	1	-			-	-	-	1	1	2	3	-	-	-						-	10
Contessa, Adam					-	-	-	4	-	-	2	-						2	1	1		1			11
Cook, James	-	-		1	2	-	-	1	-	-	-			-	-	3	1	-	-	1	-	-			9
Cox, Simon	-	-	-				-																		
Croft, Matthew	-		-	1	-	1	1	1	1	1	1	-	1	-	-	-	-	-	5	-	-	2	-	-	15
Curley, Todd	2	-	-	-	2	-	1	1	-	1	3	2	1	1	5	1	5	-	2	1	5	1	1	1	36
Darcy, Luke	-	1	2	-	-	-	-	1	-	-	1	1	-	-	-	4	-	-	-	2	3	-	3	-	18
Dent, Matthew	-	2			-	1	-	2	1	-	1	2	2	1					1	-	-			1	14
Dimattina, Paul	2	1	1	-	-	2	1	-	-	-	2	1	2	1	-	-	-				-	-	-	-	13
Ellis, Craig		1	-	-	1	1		1	-		-	1	3				-		-	2	1	1	1	1	14
Garlick, Simon	2	2	-	-	1	-	1	1	-	-	3	2	1	-	-	-	1	-	-	2	2		-	-	18
Grant, Chris	-	3	-	2	2	-	-	-	3	-	-	2	1	-	-	3	-	-	2	1	-	-	1	1	21
Hudson, Paul	1	-	1	2	2	-	-	-	3	1	-			-	2	1	1	-	-	1	-	2	-	1	18
Hunter, Kingsley												-													
Johnson, Brad	-	1	1	1	-	-	-	4	1	1	-	2	1	-	-	1	-	2	-	-	5	2	-	1	23
Kolyniuk, Steven																					-	-	-	1	1
Kretiuk, Steven							1	2	1	2	1		1	-	-	2	1	2	1	4	2	2	2	-	24
Liberatore, Tony	-	-	-	-	1	-	2	-	4	1				1	4	4	2	1	4	2	4	2	1	2	35
Macri, Christin																		-	-	-					
Mahoney, Josh	-	1	-	-	-	-						-													1
Martin, Michael	-	-	-	-									-		-	-									
Montgomery, Brett	1	-	2		1	-	1	1	4	1	1	2	4	-	-	3	1	1	1	4	1	1	2	2	34
Plunkett, Jim												1	-												1
Powell, Stephen				-	1	-	-	1	1	3	1	1	-	-	2	3	1	-	-	-	-	-	1	-	15
Robbins, Matthew							-	-	-	-	-	-	1	-	2	-	2	-						-	5
Romero, Jose			-	-														1	-	-	-	1	-	2	4
Smith, Rohan	1	1	1	1	1	-	1	1	-	1	-	-	-	-	2	1	1	-	2	-	-	-	1	2	17
Southern, Daniel	-	-	2	-	-								2	1	1	3	2	1	1	2	2	1	1	1	20
West, Scott	-	-	1	-	2	1	1	4	1	-	1	2	3	2	2	1	4	1				1	1	2	30
Winmar, Nicky	3	2	-	-	1	-	-	-		-	2	-	-	-	1	3	-		-	1	1	-	-		14
Wynd, Scott	1	2	-	1	-	1	-	2	1	1	2	1	3	2	6	4	1	3	1	1	2		-	2	37
Totals	15	18	11	10	18	7	10	27	21	14	23	21	27	11	34	39	23	15	21	26	29	19	16	20	475
Opponent	AD	GE	CA	SK	RI	WC	PA	ME	CW	BL	HW	FR	ES	SY	KA	AD	GE	CA	SK	RI	WC	PA	WC	BL	
