Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	SF	PF	GF	Tot
Anderson, Greg	-	-	-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Antrobus, Tony	-				-						-	-					-	-	-		-					
Barnes, John														2	5											7
Bewick, Darren	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Burns, Adrian					-	-					-				-	-					-	-	-			
Considine, Ed	-	-									-			-	-	-										
Cransberg, Peter	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	2	-	-	-	-	-	-	-	-	3
Daniher, Anthony	-	-	-	-	-	-	-	-	2	-	-	-	-	-							-	-	1	-	-	3
Daniher, Chris											-	-										-		-	-	
Daniher, Neale			-	1		-	-										-	-				-				1
Daniher, Terry			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Duckworth, Bill				-						-										-	-					
Ezard, Alan	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			-	-	1	1
Flood, David				-												-										
Grenvold, David	-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Hamilton, Paul	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1
Harvey, Mark										-	-	-	-	-	-		-		-	-	-		-	-	-	
Johnston, David																	-	-	-	-	-	-				
Kickett, Derek	-	-	-	-	-	-	-	-	-	-			-	-	-	-	-	-					-	-	-	
Long, Michael	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	2
Madden, Simon	5	7	3	7	4			6	22	15	7	9	6	16	12	9	6	14	10	11	19	8	7	10	12	225
Manning, Andrew	-	-	-	-	-	-	-	-	-	-			-	-	1	-	1			-			-	-		2
McMullin, Ian									-	-		-	-									-				
Moore, Brendan			-										-													
OBrien, Craig			-	-			-	-	-											-	-	-				
ODonnell, Gary	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Plain, Bradley	-	-	-			-																				
Salmon, Paul	10	12	12	9	11	14	9	13		17	10	15	7			10	10	12	7	5	7		9	6	3	208
Somerville, Peter						6	2															3			5	16
Sporn, Kieran		-	-		-	-	-	-	-									-	-	-	-	-		-	-	
Stubbs, Justin																	-									
Thompson, Mark	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Underwood, Andrew					-																					
Vander Haar, Paul	-	-	-					1	1	-	-	2	-	1	1	-	-		-				1	-	-	7
Walsh, Kevin							-	-	-									-	-	-		-	2			2
Watson, Tim	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-				-	-	-	
Werner, Michael	-	-		-	-	-	-					-		-	-	-		-	-	-	-					
Totals	15	19	15	17	15	21	11	20	25	32	17	26	14	19	19	19	19	26	17	16	26	11	20	17	22	478
Opponent	FI	HW	ME	RI	GE	CW	CA	FO	SK	SY	WC	NM	BB	FI	HW	ME	RI	GE	CW	CA	FO	SK	CW	WC	CW	
