Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	Tot
Akermanis, Jason			-	-	1			1	1			1	1	-	1	-	1	1	1	2	-	1	-	12
Ashcroft, Marcus	2	-	2	1	2	2	3	3	2	1	3	2	3	3	4	5	2	2	4	3	1	1	2	53
Bamford, Scott		2	1	-	-		-											2	1	2	1	1	1	11
Barker, John						1	2	1									-	1	1	1	-			7
Bews, Andrew		3	-			-	-	1	4	3		3	-	2	2	6	2							26
Boyd, Brad									2															2
Bradshaw, Daniel								2	1	-	1	1	-	1	-	-	1	2	1	-	1	2	-	13
Carter, Nick							-				1													1
Champion, Richard	-	4	2	1	-	6	2	2	5	4		1	-	1	3	-	2	3	1	1	2	-		40
Chapman, Nathan				1	-	3				4	1							1	1	1	5	-	-	17
Clarke, Matthew	1	-	1	-	-	-	-	-		1	2	-	-	-	-	1	-	-	1		1	1	-	9
Clayton, Shane							-	1	-															1
Dickfos, Danny	2	2	7	1	1	3	1		3	1	-	4	2	4	5	4	4	2	3	3	-	-	2	54
Fletcher, Adrian	-	1	3	3	1	-	4	5			3	2	3	1	3	4	2	2	4	4	6	4	4	59
Gowers, Andrew	-	4	1																1	-	1	2	1	10
Green, Brent							-													-				
Hart, Shaun	1	1	-	-	4	3	-	8	2	3	3	-	-	1	6	1	1					2	3	39
Johnson, Chris	4	-	3	1	-	1	3	4	1		2	2	1	4				2	-	1	1	2	1	33
Keating, Clark	-	1	-	-	2	3	-	-	2	-	-	1	-	-	2	-	-	-	-	2				13
Kennedy, Matthew	1	2	-	-	1	1	7	-		2	2				1	-								17
Lambert, Craig		-	6	1	2	4	4	3	2	5	4	2	4	9		3	-						1	50
Lappin, Nigel	-	2		-	-	-	2	1	2	-	-	1	1	-	3	3	-	-		2	-	-	-	17
Lawrence, Steven															2	2	-	1	3	2	-	2	1	13
Leppitsch, Justin	1	-		1	1	2	1	1	-	-	-	1	1	2	1	-	-	1	4	-	-	1	2	20
Lynch, Alastair	-		-	-	-	-			-	1	1	-	-	-	-	-	5	-	1	1	-	-	1	10
Lynch, Tristan	-			2	1	2	4	4	4	4	1	4	1	2	5	2	-	1	3	7	2	4	3	56
McIvor, Scott	-	-	1	-	1			-											2					4
McLean, Michael	-																							
McRae, Craig			1	-		1		3	-	3	1	5	2	-	1	1	1	2	1	3	-	2		27
Molloy, Jarrod	2	3	4									-	3	1	1	2	-	-						16
Robbins, Ben	1	2	2	3	2	7												3	2	6	3	1	3	35
Scott, Chris						-			1	1				-	-									2
Scott, Dion	1	1							1	-											-	1	1	5
Trask, Nick										2	1	1	-										-	4
Voss, Brett					2		-				-													2
Voss, Michael	3	1	1	1	2	1	2	2	3	-	-	1	-	1	1	2	-							21
White, Darryl	-	2	1					9	4	4	1	1	2	-	4	2	1	3	1	3	1	2	5	46
Totals	19	31	36	16	23	40	35	51	40	39	27	33	24	32	45	38	22	29	36	44	25	29	31	745
Opponent	AD	SK	HW	NM	PA	ES	WC	FR	GE	SY	CA	ME	CW	RI	WB	AD	SK	HW	NM	PA	ES	WC	SK	
