Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	Tot
Akermanis, Jason			-	-	-			-	-			-	1	2	-	1	2	-	1	-	2	1	-	10
Ashcroft, Marcus	-	-	-	-	-	1	-	-	-	1	1	-	1	1	-	-	1	-	-	1	-	-	-	7
Bamford, Scott		-	-	-	-		-											1	-	-	1	-	1	3
Barker, John						-	-	-									-	1	-	-	-			1
Bews, Andrew		-	-			-	1	2	3	1		1	-	-	-	1	-							9
Boyd, Brad									-															
Bradshaw, Daniel								2	1	-	1	1	-	-	-	-	1	-	1	-	-	-	-	7
Carter, Nick							-				1													1
Champion, Richard	3	-	2	5	-	1	1	2	1	2		1	-	1	-	-	-	1	1	1	2	1		25
Chapman, Nathan				3	1	-				-	1							1	-	-	1	2	-	9
Clarke, Matthew	3	1	2	2	1	-	2	-		-	4	-	2	-	1	3	-	2	1		1	1	3	29
Clayton, Shane							-	-	-															
Dickfos, Danny	1	1	-	-	1	-	1		1	1	1	-	1	3	1	-	1	-	2	1	2	1	-	19
Fletcher, Adrian	-	2	-	-	-	-	2	-			-	-	1	-	-	2	-	-	2	2	2	-	3	16
Gowers, Andrew	-	1	1																-	1	2	1	-	6
Green, Brent							-													-				
Hart, Shaun	-	1	2	1	-	-	2	2	-	1	1	-	-	-	-	1	2					-	1	14
Johnson, Chris	2	1	2	1	-	1	1	-	-		2	2	2	-				-	-	1	1	1	1	18
Keating, Clark	-	1	-	2	1	3	2	-	-	-	1	-	-	1	-	1	-	-	-	1				13
Kennedy, Matthew	-	-	2	-	1	1	2	-		1	1				1	-								9
Lambert, Craig		-	1	1	1	3	1	1	1	3	-	2	1	2		3	-						-	20
Lappin, Nigel	1	3		4	1	2	-	-	1	-	2	1	-	-	-	-	-	1		-	1	-	1	18
Lawrence, Steven															1	1	4	1	1	1	-	1	2	12
Leppitsch, Justin	-	1		1	1	-	-	-	-	1	-	-	-	1	1	-	-	1	1	1	1	1	-	11
Lynch, Alastair	1		-	-	2	1			-	1	-	1	1	2	1	1	-	3	1	-	-	-	-	15
Lynch, Tristan	-			2	2	1	-	-	2	1	1	-	1	-	1	-	1	5	1	1	1	1	1	22
McIvor, Scott	1	2	1	-	-			1											-					5
McLean, Michael	-																							
McRae, Craig			-	-		-		3	1	1	1	4	-	1	1	-	1	1	-	-	1	-		15
Molloy, Jarrod	1	1	-									1	-	-	-	-	2	-						5
Robbins, Ben	1	1	-	-	-	2												-	-	-	-	-	-	4
Scott, Chris						-			1	1				-	1									3
Scott, Dion	2	-							2	-											-	1	-	5
Trask, Nick										-	-	-	-										-	
Voss, Brett					-		-				-													
Voss, Michael	1	1	1	1	-	-	2	2	-	-	-	3	-	-	1	2	-							14
White, Darryl	-	-	-					-	-	-	1	-	-	-	-	1	2	1	-	2	-	-	2	9
Totals	17	17	14	23	12	16	17	15	14	15	19	17	11	14	10	17	17	19	12	13	18	12	15	354
Opponent	AD	SK	HW	NM	PA	ES	WC	FR	GE	SY	CA	ME	CW	RI	WB	AD	SK	HW	NM	PA	ES	WC	SK	
