Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	Tot
Akermanis, Jason			1	-	-			1	-			1	2	2	-	3	1	1	-	1	2	1	-	16
Ashcroft, Marcus	-	2	-	1	1	-	-	1	-	-	-	-	2	3	-	-	1	-	1	2	-	1	1	16
Bamford, Scott		-	-	-	1		-											1	-	1	-	-	1	4
Barker, John						2	2	-									2	-	1	1	1			9
Bews, Andrew		1	-			2	-	3	-	1		-	-	1	-	-	1							9
Boyd, Brad									-															
Bradshaw, Daniel								-	1	1	-	-	1	-	-	-	2	-	-	-	-	-	1	6
Carter, Nick							1				-													1
Champion, Richard	3	1	-	-	1	1	-	-	-	1		1	-	2	-	-	2	1	1	4	2	1		21
Chapman, Nathan				1	-	2				-	-							-	-	2	-	2	-	7
Clarke, Matthew	2	1	2	-	2	1	3	4		-	2	2	3	1	1	1	4	2	3		2	3	1	40
Clayton, Shane							-	-	-															
Dickfos, Danny	-	1	-	-	-	-	-		1	-	1	1	-	-	-	1	1	1	1	-	-	2	1	11
Fletcher, Adrian	-	1	1	3	-	1	1	-			1	-	1	1	3	-	-	2	-	3	1	-	-	19
Gowers, Andrew	2	-	1																-	-	-	1	1	5
Green, Brent							1													-				1
Hart, Shaun	2	3	-	2	1	1	3	-	-	-	2	-	-	-	1	-	1					1	-	17
Johnson, Chris	-	2	2	2	1	1	-	-	-		-	1	-	1				2	3	1	1	2	1	20
Keating, Clark	-	-	-	3	-	-	1	-	-	-	1	1	-	2	2	2	-	1	1	1				15
Kennedy, Matthew	2	1	2	-	1	-	-	2		-	1				-	-								9
Lambert, Craig		-	-	-	1	-	1	-	-	-	-	2	-	2		2	-						-	8
Lappin, Nigel	3	-		-	2	1	2	-	-	1	-	-	-	1	2	1	1	1		1	-	-	-	16
Lawrence, Steven															-	1	1	2	2	2	-	1	1	10
Leppitsch, Justin	3	-		-	-	1	1	-	1	-	-	1	2	3	1	-	5	4	2	-	3	-	2	29
Lynch, Alastair	-		-	-	-	-			1	-	3	2	2	-	-	2	3	-	-	4	-	1	2	20
Lynch, Tristan	-			-	-	-	1	-	-	2	-	-	1	-	1	-	1	-	1	1	1	1	-	10
McIvor, Scott	-	-	1	2	3			-											-					6
McLean, Michael	-																							
McRae, Craig			1	1		-		-	2	2	1	-	1	1	-	1	1	-	2	-	-	1		14
Molloy, Jarrod	2	2	-									-	2	2	2	1	1	1						13
Robbins, Ben	2	-	-	-	1	1												-	-	-	-	-	-	4
Scott, Chris						-			1	1				1	-									3
Scott, Dion	-	-							-	1											1	-	-	2
Trask, Nick										1	-	1	-										-	2
Voss, Brett					-		-				-													
Voss, Michael	-	-	-	2	-	5	-	1	-	1	1	-	2	-	1	-	-							13
White, Darryl	1	1	-					2	-	-	1	-	1	-	1	1	1	2	1	1	2	1	1	17
Totals	22	16	11	17	15	19	17	14	7	12	14	13	20	23	15	16	29	21	19	25	16	19	13	393
Opponent	AD	SK	HW	NM	PA	ES	WC	FR	GE	SY	CA	ME	CW	RI	WB	AD	SK	HW	NM	PA	ES	WC	SK	
