Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Adcock, Jed	1	-	1	1	1	-	1	1	1	-	-	2	3	-	-									-	12
Austin, Matt								2	1	-					1						1	-	2	-	7
Black, Simon		1	-	2	-	1	-	1	2	-	1	-	2	1	1	1	2	-	1	4	2	1	2	3	28
Bradshaw, Daniel	-	3	1	1	1	-	-	-	-	1	1	1	1	1	2	2			1	1	-		1	-	18
Brennan, Jared				-	4	-	1	1	3	2	1	2	-	-		1	-	-	1	-	-	-	4	2	22
Brown, Jonathan	2	1	2	-	1	2	1	1	1	1	1	3	1	-	3	2	2	1	1	1	1	4	2	-	34
Charman, Jamie	1	2		1																					4
Clark, Mitch	1	1	-	1	2	2	-	2	1	1	-	1	2	-	-	2	-	-	1	3	2	1	-	-	23
Collier, Tom	1				1				-						2	1	1								6
Cornelius, Aaron									-																
Dalziell, Bradd	1	-	2	2	1											2	-	1							9
Drummond, Josh	1	2	1	1	1	1	-	2	1	-	-				-	1	-	-	-	-	2	-		-	13
Hanley, Pearce																	1								1
Harding, Scott	1					-	2	1	-	-	-	-	1	-					-	-	-	-	-		5
Hawksley, James																		-	-	-	2	-	1	-	3
Henderson, Lachie					1					-	-	2	-	-								1			4
Hooper, Rhan	2	-								1	-	1	-	-									-	-	4
Johnstone, Travis	4	1	1	1	-	1	-	1	-		1			1						4	-	-	2	1	18
Leuenberger, Matthew	1	-	1																						2
Macdonald, Joel	2	-	-	1	-	-	-	3	-	1	-	-	-	-	-	1	1	1	1	2	-	-			13
McGrath, Ashley	2	-	-	2	1	-	1	-	1	1	-	-	1	-	-	-	-	1	1	1	1	1	-	-	14
Merrett, Daniel	-	-	2	2	1	-	-	-					-	-	-	-	1	-	-	1	1		-	2	10
Notting, Tim			-	-					1	-	-	-			-	2	-		3	-				1	7
Patfull, Joel	2	2	-	-	1	-	-	-					-	1	-	-	-	2	1	-	-	-	-	1	10
Polkinghorne, James					-	-	-	1	1	2	-	1	-	-	-	-	-	1	1	-	-	-	-	-	7
Power, Luke	3	2	1	1	1	-	-	-	1	2	2	-	-	-	3	1	-	1	-	-	-	2	1	1	22
Proud, Albert		1	1			-	-	-		-	-	3	1	-	-	-	1								7
Redden, Jack															1	1	1	-	-	-	1	-	-	-	4
Rich, Daniel	1	1	3	-	-	1	-	1	-	-	-	4	-	1	1	-	1	-	1	1	-	1	-	-	17
Rischitelli, Michael	2	1	-	1	-	-	-	-	-	-	-	1	1	-	1	2	1	-	1	-	1	-	-	-	12
Rockliff, Tom																		-							
Roe, Jason			-	1	2							-	2					3				1	-		9
Selwood, Troy	1	2	6	-	-	1	1					-						-	1						12
Sheldon, Sam						1	-	-	1	-	1	1	-	-	-	-	1	-	1	-	1	-	-	-	7
Sherman, Justin	-	-	2	-	-	-	-	1	-	1	-	1	-	1	-	2	-	1	1	2	3	-	2	-	17
Stiller, Cheynee	1	1	1	1		1	-	1	-	1	-	1	-	-	2	-	-	-	1	-	-	1	-		12
Totals	30	21	25	19	19	11	7	19	15	14	8	24	15	6	17	21	13	12	18	20	18	13	17	11	393
Opponent	WC	CA	SY	CW	GE	ES	RI	AD	SK	NM	CA	HW	ME	PA	GE	FR	NM	CW	ES	WB	PA	SY	CA	WB	
