1998-01-00|Fri 27-Mar-1998 7:40 PM (6:40 PM) Att:27150 Venue: M.C.G.|North Melbourne won by 2 pts
1998-01-01|Sat 28-Mar-1998 2:10 PM (1:10 PM) Att:20957 Venue: Princes Park|Carlton won by 10 pts
1998-01-02|Sat 28-Mar-1998 2:10 PM (1:10 PM) Att:34323 Venue: Waverley Park|St Kilda won by 18 pts
1998-01-03|Sat 28-Mar-1998 3:40 PM (2:40 PM) Att:47628 Venue: M.C.G.|Collingwood won by 39 pts
1998-01-04|Sat 28-Mar-1998 8:40 PM Att:18788 Venue: Gabba|Western Bulldogs won by 46 pts
1998-01-05|Sun 29-Mar-1998 2:10 PM Att:70200 Venue: M.C.G.|Richmond won by 14 pts
1998-01-06|Sun 29-Mar-1998 2:40 PM (3:10 PM) Att:31230 Venue: Football Park|Sydney won by 7 pts
1998-01-07|Sun 29-Mar-1998 3:20 PM (5:20 PM) Att:18133 Venue: Subiaco|Fremantle won by 23 pts
1998-02-00|Fri 03-Apr-1998 8:40 PM (10:40 PM) Att:35909 Venue: Subiaco|West Coast won by 60 pts
1998-02-01|Sat 04-Apr-1998 2:10 PM Att:26669 Venue: Kardinia Park|Geelong won by 19 pts
1998-02-02|Sat 04-Apr-1998 2:10 PM Att:18698 Venue: Waverley Park|Port Adelaide won by 45 pts
1998-02-03|Sat 04-Apr-1998 3:40 PM Att:29990 Venue: M.C.G.|Melbourne won by 25 pts
1998-02-04|Sat 04-Apr-1998 7:40 PM Att:32111 Venue: S.C.G.|Sydney won by 38 pts
1998-02-05|Sun 05-Apr-1998 2:10 PM Att:27659 Venue: Princes Park|Western Bulldogs won by 56 pts
1998-02-06|Sun 05-Apr-1998 2:10 PM Att:53905 Venue: M.C.G.|Essendon won by 89 pts
1998-02-07|Sun 05-Apr-1998 2:10 PM (2:40 PM) Att:40602 Venue: Football Park|Adelaide won by 93 pts
1998-03-00|Sat 11-Apr-1998 2:10 PM Att:26518 Venue: Princes Park|Western Bulldogs won by 34 pts
1998-03-01|Sat 11-Apr-1998 3:40 PM Att:39954 Venue: M.C.G.|Richmond won by 6 pts
1998-03-02|Sat 11-Apr-1998 8:40 PM (9:10 PM) Att:28167 Venue: Football Park|North Melbourne won by 29 pts
1998-03-03|Sun 12-Apr-1998 2:10 PM Att:20532 Venue: Waverley Park|St Kilda won by 22 pts
