Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	QF	SF	GF	Tot
Alexander, Colin	-	-	-												-												
Banks, Denis	-	-	3	1	-	-				-	1	-	-	-	-	-	2	-						1	2	-	10
Barwick, Doug	-	-	-	-	-	-	-		-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Brown, Gavin	-	-	-				-	-	-				-	-	-	-			-	-	-	-	-	-	-	-	
Christian, Michael				-	-	1	-	-			-			6	-	3	3	-	2	1				5	-	-	21
Croall, Jason		-	-																								
Crosisca, Gavin	-	-	-	1	-	-	-	-	-	-	1	-				-	-	-	1	-	-	-	-	1	-	-	4
Daicos, Peter	-	-	-	-	-		-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Francis, Tony	-									-	-	-	-	-		-	-		-	-	-	-	-	-	-	-	
Gayfer, Michael		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Hrysoulakis, Athas												-			-												
Keays, Terry				-	-	-												-	-	-							
Kelly, Craig	1	-	-			-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	3
Kerrison, Shane	-					-	-	-	-	-	-	-	-				-	-	-	-						-	
Manson, James	13	-	3	1	1	3	2	1	8	7	3	5	1	-	6	10	2	13	1	-	6	8	8	3	5	3	113
McGuane, Mick					-	-	-	-	-	-	1	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	3
McKeown, Ron				-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-			1
Millane, Darren	1	-				-	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-	-	-	-	-	-	4
Monkhorst, Damian	13	16	21	18	14	7	15	18	26	5	8	15	13	18	11	15	16	10	9	20	8	13	11	2	7	11	340
Morwood, Shane	-	-	-	1	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	4
Richardson, Alan				-	-	-		-	-	-	-		-	-	-	-	-	-			1	-	-	-	-		1
Russell, Scott	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Saunders, Darren		-	-	-	-																						
Shaw, Tony	-	-	-	-	-	-	-	-	-	1	-	1	-	1	-	-	-	-	1	-	-	-	-	-	-	-	4
Shephard, Heath			-	-																							
Starcevich, Craig	5				5		3	2	1	9	3	6	4							1	-	7	3		3	-	52
Tarpey, Andrew			1	-																							1
Taylor, Brian	1	-					1														-	-	-				2
Tranter, Brendan								-																			
Tuddenham, Paul	-	-	-	-	-	-		-	-	-				-													
Turner, Jamie	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Wright, Graham	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Totals	34	16	28	22	20	11	21	24	35	22	17	27	18	25	19	28	23	23	17	22	15	28	22	12	19	16	564
Opponent	WC	CA	SY	FO	SK	ES	HW	FI	NM	ME	BB	GE	RI	WC	CA	SY	FO	SK	ES	HW	FI	NM	WC	WC	ES	ES	
