Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	QF	SF	GF	Tot
Alexander, Colin	-	-	-												2												2
Banks, Denis	1	4	3	1	3	1				2	2	2	3	1	1	1	1	1						3	1	-	31
Barwick, Doug	2	-	1	-	1	1	-		2			-	1	1	3	1	1	1	1	-	-	-	-	-	1	1	18
Brown, Gavin	5	2	1				1	1	1				-	1	1	-			2	1	3	-	2	1	-	2	24
Christian, Michael				2	4	1	1	-			1			1	1	-	1	1	2	2				2	2	3	24
Croall, Jason		2	1																								3
Crosisca, Gavin	2	2	2	2	1	2	-	-	2	1	3	-				3	-	-	-	-	-	1	1	2	1	-	25
Daicos, Peter	1	3	1	2	2		-	3	2	-	2	1	2	1	1	1	2	1	2	-	3	1	1	2	2	-	36
Francis, Tony	-									1	2	2	3	3		1	-		1	3	4	2	-	-	3	2	27
Gayfer, Michael		-	1	1	3	2	-	2	2	-	-	1	-	1	-	1	-	2	1	-	3	1	-	-	1	2	24
Hrysoulakis, Athas												-			-												
Keays, Terry				1	-	3												2	-	-							6
Kelly, Craig	1	-	3			2	-		1	1	1	2	-	1	2	1	1	4	-	2	-	1	1	1	2	3	30
Kerrison, Shane	1					4	1	1	1	1	1	2	1				2	2	1	2						-	20
Manson, James	3	1	1	1	-	-	-	2	1	3	-	1	1	-	2	1	-	-	-	-	1	1	1	-	3	-	23
McGuane, Mick					2	-	-	2	2	-	1	2	1	2	3	-	-	1	2	2	2	-	2	-	2	1	27
McKeown, Ron				1	2	-	3	-	1	1	3	-	2	-	2	2	-	2	-		2	1	1	1			24
Millane, Darren	-	1				-	1	1	2	3	1	1	1	2	-	2	2	1	3	-	-	2	1	-	1	-	25
Monkhorst, Damian	-	1	1	2	2	1	1	3	1	-	1	2	-	3	3	1	1	2	2	1	1	1	1	1	1	1	34
Morwood, Shane	3	-	2	2	1	2	1	-	1	5	1	2	1	1	4	-	2	1	4	1	1	1	-	-	-	1	37
Richardson, Alan				3	-	1		-	-	-	-		2	-	1	2	-	-			-	2	1	-	1		13
Russell, Scott	-	2	2	-	4	1	3	2	1	1	1	-	4	1	3	-	1	2	-	-	2	1	2	1	3	3	40
Saunders, Darren		-	-	-	-																						
Shaw, Tony	3	1	1	1	1	3	1	3	2	1	-	3	1	2	1	4	-	3	1	2	2	2	2	2	1	-	43
Shephard, Heath			1	1																							2
Starcevich, Craig	-				3		1	1	2	-	2	2	1							1	1	2	-		-	-	16
Tarpey, Andrew			-	1																							1
Taylor, Brian	1	-					-														2	-	1				4
Tranter, Brendan								-																			
Tuddenham, Paul	1	2	1	1	1	-		1	1	-				2													10
Turner, Jamie	2	-	1	2	2	3	-	3	1	1	-	-	3	1	-	-	-	-	1	-	-	-	-	-	2	-	22
Wright, Graham	1	-	1	-	1	-	1	-	-	1	-	4	1	2	1	-	-	1	-	-	-	2	2	-	1	1	20
Totals	27	21	24	24	33	27	15	25	26	22	22	27	28	26	31	21	14	27	23	17	27	21	19	16	28	20	611
Opponent	WC	CA	SY	FO	SK	ES	HW	FI	NM	ME	BB	GE	RI	WC	CA	SY	FO	SK	ES	HW	FI	NM	WC	WC	ES	ES	
