Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	QF	SF	GF	Tot
Alexander, Colin	-	-	-												-												
Banks, Denis	-	-	-	-	-	-				-	-	-	-	-	-	-	-	-						-	-	-	
Barwick, Doug	-	-	-	-	-	-	-		-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Brown, Gavin	-	2	-				-	-	2				-	-	-	-			-	-	-	-	-	-	-	-	4
Christian, Michael				-	-	-	-	-			-			-	-	-	-	2	-	-				-	-	-	2
Croall, Jason		-	-																								
Crosisca, Gavin	-	-	2	1	-	-	-	-	-	-	-	-				-	-	-	-	-	-	-	-	-	-	-	3
Daicos, Peter	-	3	-	3	-		-	-	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9
Francis, Tony	-									-	-	-	1	-		-	-		-	-	-	1	-	-	-	-	2
Gayfer, Michael		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Hrysoulakis, Athas												-			-												
Keays, Terry				-	-	-												-	-	-							
Kelly, Craig	-	-	-			-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Kerrison, Shane	-					-	-	-	-	-	-	-	-				-	1	-	-						-	1
Manson, James	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
McGuane, Mick					-	-	-	-	3	3	-	-	-	-	-	3	-	-	1	-	-	-	-	-	-	-	10
McKeown, Ron				-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-		-	-	-	-			2
Millane, Darren	-	-				-	-	-	-	-	-	-	3	-	1	1	-	3	-	-	-	-	-	-	-	-	8
Monkhorst, Damian	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	2
Morwood, Shane	-	-	-	-	-	-	-	1	-	1	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	6
Richardson, Alan				-	-	-		-	-	-	-		-	-	-	-	-	-			-	-	-	-	-		
Russell, Scott	-	-	-	-	-	-	-	-	-	-	-	-	2	-	3	-	-	-	-	-	-	-	-	-	-	-	5
Saunders, Darren		-	-	-	-																						
Shaw, Tony	-	-	-	-	-	-	-	3	-	-	3	3	-	3	-	-	-	-	-	-	1	-	-	-	-	-	13
Shephard, Heath			-	-																							
Starcevich, Craig	-				-		-	-	-	-	1	-	-							-	-	-	-		-	-	1
Tarpey, Andrew			-	-																							
Taylor, Brian	-	-					-														-	-	-				
Tranter, Brendan								-																			
Tuddenham, Paul	-	-	-	-	-	-		-	-	-				-													
Turner, Jamie	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Wright, Graham	-	-	3	-	3	-	2	-	-	-	-	-	-	-	2	-	1	-	-	-	3	3	-	-	-	-	17
Totals	0	5	5	4	3	0	2	4	6	6	4	4	6	6	6	4	1	6	1	0	6	6	0	0	0	0	85
Opponent	WC	CA	SY	FO	SK	ES	HW	FI	NM	ME	BB	GE	RI	WC	CA	SY	FO	SK	ES	HW	FI	NM	WC	WC	ES	ES	
