Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	QF	SF	GF	Tot
Alexander, Colin	1	-	-												-												1
Banks, Denis	-	1	1	-	-	2				1	3	-	1	1	1	2	-	1						-	-	-	14
Barwick, Doug	1	1	2	2	-	1	-		2			4	1	1	-	1	3	-	-	-	4	2	2	-	1	4	32
Brown, Gavin	-	-	-				1	2	-				2	3	2	3			-	-	1	2	1	2	4	1	24
Christian, Michael				-	-	1	4	-			-			-	-	2	2	-	-	-				1	-	-	10
Croall, Jason		-	-																								
Crosisca, Gavin	-	1	2	1	2	1	3	3	3	-	3	-				-	2	1	1	-	1	-	-	-	2	-	26
Daicos, Peter	-	-	1	2	4		3	3	2	2	3	1	3	3	1	2	2	6	-	-	2	3	-	1	2	-	46
Francis, Tony	-									1	3	1	1	-		-	-		1	-	-	2	1	-	1	1	12
Gayfer, Michael		-	-	-	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	2
Hrysoulakis, Athas												1			-												1
Keays, Terry				-	1	1												2	3	2							9
Kelly, Craig	-	-	-			-	-		-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	1	-	-	3
Kerrison, Shane	-					-	-	-	-	-	-	-	-				1	-	-	-						1	2
Manson, James	-	1	-	2	-	1	1	1	2	-	2	-	-	-	1	2	-	1	2	2	-	-	-	-	1	1	20
McGuane, Mick					1	1	-	2	-	1	-	1	1	-	4	1	1	2	3	-	1	-	4	1	-	-	24
McKeown, Ron				-	-	3	-	-	-	-	-	1	-	-	-	-	3	-	-		-	-	-	-			7
Millane, Darren	1	-				1	-	-	-	-	-	-	1	-	1	-	2	3	-	-	-	-	-	-	-	-	9
Monkhorst, Damian	-	-	-	-	-	-	-	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3
Morwood, Shane	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Richardson, Alan				-	-	-		-	-	1	-		1	-	-	1	1	-			-	1	-	-	-		5
Russell, Scott	-	-	-	1	-	-	-	-	1	1	1	-	-	-	-	1	1	1	-	-	-	-	1	3	1	-	12
Saunders, Darren		-	-	-	-																						
Shaw, Tony	-	1	-	-	-	-	-	-	2	-	1	-	1	-	-	-	1	1	-	-	-	2	-	-	2	-	11
Shephard, Heath			-	-																							
Starcevich, Craig	-				5		-	1	2	2	-	1	1							1	1	3	2		-	1	20
Tarpey, Andrew			-	-																							
Taylor, Brian	1	1					-														2	1	1				6
Tranter, Brendan								-																			
Tuddenham, Paul	2	1	-	2	-	1		1	3	1				1													12
Turner, Jamie	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	1
Wright, Graham	-	-	-	1	5	-	1	2	-	-	1	2	2	-	-	-	1	-	-	1	-	-	-	1	-	-	17
Totals	6	7	6	11	18	14	13	16	17	12	17	12	15	10	10	15	20	20	10	6	13	16	12	10	14	10	330
Opponent	WC	CA	SY	FO	SK	ES	HW	FI	NM	ME	BB	GE	RI	WC	CA	SY	FO	SK	ES	HW	FI	NM	WC	WC	ES	ES	
