Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	QF	SF	GF	Tot
Alexander, Colin	-	1	-												-												1
Banks, Denis	-	-	1	-	1	-				-	1	-	1	-	2	1	2	-						-	-	-	9
Barwick, Doug	1	3	2	1	2	3	3		1			1	-	2	-	-	1	2	1	3	1	1	3	-	3	2	36
Brown, Gavin	1	-	1				2	3	7				3	1	3	3			5	1	-	5	3	4	5	2	49
Christian, Michael				-	-	-	-	-			1			1	3	1	-	-	-	1				1	-	-	8
Croall, Jason		-	-																								
Crosisca, Gavin	-	2	2	-	2	2	-	1	1	-	-	-				1	1	3	-	-	1	1	-	2	1	2	22
Daicos, Peter	1	7	3	6	2		3	6	7	6	4	2	4	6	5	3	3	4	1	1	4	6	4	4	3	2	97
Francis, Tony	-									2	-	1	1	-		3	1		1	2	-	1	-	2	1	-	15
Gayfer, Michael		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Hrysoulakis, Athas												-			-												
Keays, Terry				-	-	1												3	-	1							5
Kelly, Craig	-	-	-			-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1
Kerrison, Shane	-					1	-	-	-	-	-	-	-				-	-	-	-						-	1
Manson, James	-	4	3	1	2	-	1	3	3	-	3	2	-	-	2	2	-	-	2	2	-	-	1	2	-	-	33
McGuane, Mick					-	1	-	1	-	2	1	1	-	-	1	1	1	1	1	-	-	-	-	1	-	1	13
McKeown, Ron				-	-	-	-	1	-	-	-	3	-	-	-	-	1	3	-		-	-	-	-			8
Millane, Darren	-	-				1	-	-	1	1	-	-	1	3	-	-	1	-	-	-	-	-	-	1	-	-	9
Monkhorst, Damian	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	1	3
Morwood, Shane	-	-	-	-	-	-	-	-	-	1	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	3
Richardson, Alan				1	1	-		-	2	-	-		1	-	-	1	-	-			-	1	-	-	-		7
Russell, Scott	-	1	1	-	-	-	-	-	3	1	-	-	1	-	1	2	-	-	-	-	1	-	-	1	2	2	16
Saunders, Darren		-	-	-	-																						
Shaw, Tony	-	-	-	-	1	-	1	-	-	-	-	2	-	1	-	1	-	-	-	1	-	-	-	-	-	-	7
Shephard, Heath			2	-																							2
Starcevich, Craig	1				1		1	-	-	2	3	2	1							-	-	4	-		2	1	18
Tarpey, Andrew			-	1																							1
Taylor, Brian	2	-					-														4	1	2				9
Tranter, Brendan								-																			
Tuddenham, Paul	2	-	4	4	-	-		2	1	1				-													14
Turner, Jamie	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	1	-	-	-	-	3	-	-	-	-	-	5
Wright, Graham	-	1	1	-	-	1	2	-	-	-	-	-	1	-	-	1	1	-	-	-	1	3	-	-	-	-	12
Totals	8	19	20	14	12	10	13	17	26	16	15	14	14	15	17	21	12	16	11	12	17	23	13	19	17	13	404
Opponent	WC	CA	SY	FO	SK	ES	HW	FI	NM	ME	BB	GE	RI	WC	CA	SY	FO	SK	ES	HW	FI	NM	WC	WC	ES	ES	
