Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	QF	SF	PF	GF	Tot
Anderson, Jed	-	1	-			2																					3
Birchall, Grant		-	-	-	-	-	-	-				-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Breust, Luke	-	-	-	1	-	-	1	-	1	-	-	-	-	1	1	-	1	-	-	1	-		-	-	1	-	8
Burgoyne, Shaun	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Ceglar, Jonathon	15	24	15	31	22	25	32	29	23	22	17	28	17					25									325
Duryea, Taylor	-	-	-	-	-	-	-		-	-	-	-	-	-			-	-		-	-	-	-	-	-	-	
Frawley, James	-	-					-	-	-	-	-	-					-	-	-	-	-	-	-	-	-	-	
Gibson, Josh	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Gunston, Jack	-	-	1	1	-	-	3	1	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-			-	7
Hale, David							17	16	22	15	28	18	25	16	16	7	13		21		23	13	13	4	9	9	285
Hartung, Billy			-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-			-	-		
Hill, Bradley	-	-		-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	
Hodge, Luke	3	2	3	1	1				-	-	-	1	-	1	1	-	5	-	1	5			-	1	-	2	27
Howe, Daniel									-										-		-	-					
Lake, Brian	1	-	-	-				-	-	-	-	-	-	-	-	-	1		-	-	-	-	-	-	-	-	2
Langford, Will	1	3	1	1	-	5	1	3				-	-								4	-	1				20
Lewis, Jordan	4	2	3	1	-			7		-	4	3	4	2	3	-	2	3	2	3	2	2	5	3	-	-	55
Litherland, Angus							-		-	-					-	-						-					
McEvoy, Ben	13	10	22	15	13	8								24	27	14	21	32	32	22	23	21	25	17	12	20	371
Mitchell, Sam	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1		-	1	-	-	-	2
ORourke, Jono		-														-											
Puopolo, Paul	-	-	-	-		-	-	-	-		-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	
Rioli, Cyril	-	2	-	-	-	2	-	-	-	-	-		1	-	-	-	-	-	-	-	-		-	-	-	-	5
Roughead, Jarryd	1	3	-	1	1	1	1	-	-	-	3	-			1	-	-	-	2	5	-	-	-	1	-	-	20
Schoenmakers, Ryan					-	-	3	-		-	-		-	-	-	-	1	-		-				-	-	-	4
Shiels, Liam	-				-	-	1	-	1	-	-	-	-	-	-		1	-	-	-	-	-	-	-	-	-	3
Sicily, James		1																			-	-					1
Simpkin, Jonathan							-																				
Smith, Isaac	1	1	-	1	-	2		-	1	1	2	-	-	-	-	-	-	2	1	1	2	-	1	-	-	1	17
Spangher, Matthew													-	-	-	-											
Stratton, Ben	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	
Suckling, Matt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	
Whitecross, Brendan			-	1	-	-																					1
Totals	39	49	45	54	37	45	59	56	48	38	54	50	48	44	49	21	45	62	59	38	54	36	46	26	22	32	1156
Opponent	GE	ES	WB	PA	NM	GW	ME	SY	GC	SK	AD	ES	CW	FR	SY	CA	RI	WC	GE	PA	BL	CA	WC	AD	FR	WC	
