Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	QF	SF	PF	GF	Tot
Anderson, Jed	2	-	-			1																					3
Birchall, Grant		-	-	-	-	1	-	-				-	-	1	-	-	-	-	-	1	-	-	-	-	-	-	3
Breust, Luke	2	2	-	1	2	2	2	1	1	1	-	-	-	-	-	2	-	-	-	-	1		2	-	-	-	19
Burgoyne, Shaun	-	-	-	1	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	1	-	1	-	1	1	1	7
Ceglar, Jonathon	-	-	-	-	-	-	1	1	-	-	-	2	1					-									5
Duryea, Taylor	-	-	-	-	-	-	-		-	-	-	-	-	-			-	1		-	-	1	-	-	-	-	2
Frawley, James	-	-					-	-	-	-	-	-					-	-	-	-	1	-	-	-	-	-	1
Gibson, Josh	-		-	1	-	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3
Gunston, Jack	1	1	-	2	3	2	-	3	1	2	-	4	4	-	1	1	3	2	1	1	-	1	-			2	35
Hale, David							-	-	-	1	-	-	2	-	-	-	-		-		1	1	-	-	-	-	5
Hartung, Billy			-	1	1	-	-	-	-	-	-	1		1	-	-	-	-	-	-	-			-	-		4
Hill, Bradley	-	-		1	1	-	2	-	-	-	1	-	1	-		1	-	-	1	1	-	-	-	-	-	-	9
Hodge, Luke	-	1	-	-	-				-	-	-	1	-	1	1	1	-	1	-	-			-	-	1	1	8
Howe, Daniel									-										-		-	1					1
Lake, Brian	-	-	-	-				-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	
Langford, Will	3	-	1	1	1	-	1	-				-	-								-	-	-				7
Lewis, Jordan	-	-	-	-	-			-		-	-	-	-	1	-	1	-	-	1	-	-	-	-	-	-	-	3
Litherland, Angus							-		-	-					-	-						-					
McEvoy, Ben	-	-	-	-	1	-								-	-	-	-	-	-	-	-	-	-	-	-	-	1
Mitchell, Sam	-		-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-		-	-	1	-	1	3
ORourke, Jono		-														-											
Puopolo, Paul	1	1	3	-		-	-	1	-		1	1	-	-	2	1	-	-	-	-		-	1	-	-	-	12
Rioli, Cyril	2	1	3	-	1	1	1	1	-	2	1		-	1	1	-	2	1	-	-	2		1	1	-	1	23
Roughead, Jarryd	2	-	3	1	2	-	1	3	1	-	1	3			2	1	-	3	-	2	3	3	2	-	1	-	34
Schoenmakers, Ryan					-	-	-	1		1	-		-	-	-	-	-	1		1				1	-	-	5
Shiels, Liam	-				-	1	-	-	2	2	1	-	-	-	-		-	-	-	-	-	-	1	1	-	1	9
Sicily, James		1																			-	-					1
Simpkin, Jonathan							-																				
Smith, Isaac	-	-	1	1	1	2		1	-	1	1	-	-	1	1	2	-	-	-	-	-	-	-	-	-	-	12
Spangher, Matthew													-	-	-	-											
Stratton, Ben	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		1	-	-	-	-	1	-	1	-	1	4
Suckling, Matt	2	1	-	-	2	-	1	-	-	-	2	1	1	1	-	-		-	1	1	-	-	1	1	-	-	15
Whitecross, Brendan			-	-	-	-																					
Totals	15	8	11	10	15	11	9	12	6	10	8	14	9	8	8	10	6	9	4	8	8	9	8	7	3	8	234
Opponent	GE	ES	WB	PA	NM	GW	ME	SY	GC	SK	AD	ES	CW	FR	SY	CA	RI	WC	GE	PA	BL	CA	WC	AD	FR	WC	
