Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	QF	SF	PF	GF	Tot
Anderson, Jed	-	-	-			-																					
Birchall, Grant		3	1	4	-	1	-	1				3	-	1	-	-	-	-	1	-	-	2	-	1	-	1	19
Breust, Luke	1	-	-	-	1	1	-	-	-	-	-	2	-	-	-	-	-	-	-	1	-		-	-	-	-	6
Burgoyne, Shaun	5	2	1	3	-	-	-	2	-	-	1	3	3	-	2	1	-	1	1	-	-	-	-	-	-	-	25
Ceglar, Jonathon	-	-	-	-	-	-	-	-	-	-	-	-	-					-									
Duryea, Taylor	-	2	-	1	1	-	2		1	3	-	1	-	1			1	-		1	-	1	-	-	-	1	16
Frawley, James	-	-					-	-	-	-	-	1					-	-	-	-	-	-	-	-	1	-	2
Gibson, Josh	-		-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	1	-	3
Gunston, Jack	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	1	-	-	-			-	2
Hale, David							-	-	-	-	-	-	-	-	-	-	-		-		1	-	-	-	-	-	1
Hartung, Billy			2	2	2	2	3	-	-	1	-	1		-	-	1	3	-	3	1	-			2	-		23
Hill, Bradley	2	4		1	3	2	2	3	3	-	3	4	2	-		-	1	2	-	-	-	1	-	-	-	-	33
Hodge, Luke	-	-	-	-	1				-	-	-	-	-	-	1	-	-	-	1	-			-	-	-	-	3
Howe, Daniel									-										-		-	-					
Lake, Brian	-	-	-	-				-	-	-	-	-	-	-	-	1	-		-	-	-	-	-	-	2	-	3
Langford, Will	-	-	-	-	-	-	-	-				-	-								-	-	-				
Lewis, Jordan	-	-	-	-	-			-		-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	1
Litherland, Angus							1		2	1					2	1						-					7
McEvoy, Ben	-	-	-	-	-	-								-	-	-	-	-	-	-	-	-	-	-	-	-	
Mitchell, Sam	1		1	1	-	-	1	1	1	1	-	-	-	-	-	-	-	-	-	1		-	-	1	1	-	10
ORourke, Jono		-														-											
Puopolo, Paul	-	-	-	-		-	-	-	-		-	-	-	1	-	-	-	-	-	-		-	-	-	-	-	1
Rioli, Cyril	4	4	-	-	1	-	3	-	-	-	1		-	1	1	1	4	-	-	-	1		-	-	-	1	22
Roughead, Jarryd	-	-	1	-	-	1	-	-	-	-	1	-			-	-	-	-	-	-	-	2	-	-	-	-	5
Schoenmakers, Ryan					-	-	-	-		-	-		-	1	-	-	-	-		-				-	-	-	1
Shiels, Liam	-				-	-	-	-	-	-	-	2	-	-	-		-	-	-	-	-	1	-	1	1	-	5
Sicily, James		-																			-	-					
Simpkin, Jonathan							-																				
Smith, Isaac	-	3	2	-	2	-		5	2	1	2	-	1	-	3	-	-	-	-	1	-	1	-	2	-	-	25
Spangher, Matthew													-	1	-	1											2
Stratton, Ben	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2		-	-	-	-	-	1	-	-	-	-	3
Suckling, Matt	3	-	1	2	1	1	4	1	-	-	1	1	1	-	-	-		-	2	-	1	-	-	-	-	-	19
Whitecross, Brendan			-	-	-	-																					
Totals	16	18	9	14	12	8	16	13	9	7	9	20	7	7	11	7	9	3	8	6	3	9	0	7	6	3	237
Opponent	GE	ES	WB	PA	NM	GW	ME	SY	GC	SK	AD	ES	CW	FR	SY	CA	RI	WC	GE	PA	BL	CA	WC	AD	FR	WC	
