Player	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R17	R18	R19	R20	R21	R22	R23	R24	QF	PF	Tot
Allison, Brett	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	1
Anderson, Stuart					-	-	-																		
Archer, Glenn	-	-	1		-	-	-	1	-	-			-	-	1	-	-	-	1	-	-	-	-	-	4
Barnett, John											-	-						-	-						
Blakey, John	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	-	-	-	4
Campbell, Warren						-	-	-	-	-	-	-	3				-	-	-						3
Capuano, Matthew												-								1	2				3
Carey, Wayne	1	-	-	1	-	-	-			1	-				-	-	-	-	-	-	-	-	-	-	3
Clarkson, Alastair	-	-	-	-	-	-	-						-	-	-	-	-	-		-					
Crocker, Darren											-	-	-	-	-	1	-	-	-	-	-	-	-	-	1
Daniltchenko, Jason	-			-																					
Fairley, Ian				1			-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	2
German, Peter				-	-							-								-	-	-			
Ishchenko, Alex	1	7	5	6	10	15	2	5	10	3	12	3	5	3	6	6	11	13	18	13	13	8	9	10	194
John, Gareth					11																				11
King, David	1	-	-	-	1	-				-	-	-	-	-	-	-	-	-	-	-			-	-	2
Laidley, Dean	-	-	-	-	1	-	-	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1	4
Longmire, John		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Mann, Peter	1	1	4			-		3	-	1	-	3	5	-	2	-			1			5	-	2	28
Martyn, Mick	-	-	-	1	-	-	-	1	-				-	-	-	-	-	-	-	3	-	-	-	-	5
McAdam, Adrian	-	-	-	-	1		-	-	-	-	-	-			-	-				-	-	-	-	-	1
McCarthy, Adam								-	-	-	-	-	-	-											
McKernan, Corey	15	9	3			3	12	11	4	17	11	7	5	9	9	8	8	8	12		5	8	7	12	183
Nichols, Trent	-	-	-	-	-	-	-	-	-	-	-						-	-	-	-	-	-	-	-	
Pyman, Robert													-	-											
Roberts, Mark	-	1	-	-	-	-	-	-		2														-	3
Rock, Anthony	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	
Romero, Jose	-	-	1	-	-			-	-					-	-	-	-			-	-	-	-		1
Schwass, Wayne	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Sholl, Brad									-																
Sholl, Craig	-	-	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	3
Smith, Ross	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	1
Stevens, Anthony	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	1
Totals	20	18	16	10	24	18	14	22	14	24	24	13	19	12	18	15	19	21	33	20	22	21	17	25	459
Opponent	SK	HW	FO	GE	WC	ME	FI	CW	BB	SY	AD	RI	CA	ES	SK	HW	FO	GE	WC	ME	FI	CW	HW	GE	
