Player	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R17	R18	R19	R20	R21	R22	R23	R24	QF	PF	Tot
Allison, Brett	1	2	-	-		1	1	-	2	2	5	2	4	1	2	-	1	4	-	3	1	1	1	1	35
Anderson, Stuart					-	-	-																		
Archer, Glenn	-	3	-		3	1	3	2	2	2			1	1	1	1	1	1	2	2	1	2	-	1	30
Barnett, John											1	1						-	-						2
Blakey, John	1	1	1	-	2	2	1	1	-	1	1	3	1	2	4	1	1	1	1	1	1	3	-	3	33
Campbell, Warren						1	-	-	-	1	2	2	-				-	-	-						6
Capuano, Matthew												-								1	2				3
Carey, Wayne	2	-	1	1	2	-	1			-	1				-	-	-	-	-	-	-	2	2	1	13
Clarkson, Alastair	1	1	1	1	-	4	3						3	2	2	2	-	-		3					23
Crocker, Darren											1	-	1	1	1	1	1	2	2	-	-	2	2	1	15
Daniltchenko, Jason	-			1																					1
Fairley, Ian				1			2	-	-	-	-	-	-	-	-	-	2	-	1	1	1	1	2	-	11
German, Peter				-	-							-								-	1	-			1
Ishchenko, Alex	1	-	1	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	1	6
John, Gareth					1																				1
King, David	-	-	1	3	2	1				-	2	3	1	-	2	1	-	-	-	2			1	2	21
Laidley, Dean	1	-	3	1	-	-	-	1	1	1	-	1	-	-	-	-	-	1	-	1	1	2	-	2	16
Longmire, John		1	1	-	2	-	-	2	1	-	-	-	-	-	2	-	1	1	-	1	1	-	-	-	13
Mann, Peter	1	-	-			-		-	1	-	-	1	-	-	2	1			2			1	-	-	9
Martyn, Mick	-	-	-	2	-	-	-	-	1				2	-	-	-	1	-	-	1	-	-	-	-	7
McAdam, Adrian	-	1	-	2	-		1	1	2	-	-	-			-	1				4	-	-	1	1	14
McCarthy, Adam								1	1	-	1	-	-	-											3
McKernan, Corey	1	-	-			2	-	2	-	-	2	-	-	1	1	-	2	1	-		-	-	-	-	12
Nichols, Trent	-	1	1	2	1	5	1	3	1	2	1						-	2	3	4	2	2	-	-	31
Pyman, Robert													-	1											1
Roberts, Mark	1	1	2	-	2	-	2	-		1														-	9
Rock, Anthony	2	3	1	-	2	5	3	2	-	2	2	3	2	1	1	1	-	1	-		-	1	1	-	33
Romero, Jose	1	1	-	3	-			1	-					-	-	-	3			2	1	-	2		14
Schwass, Wayne	3	1	1	1	1	2	2	2	2	4	5	3	3	3	1	2	1	3	2	4	3	6	5	1	61
Sholl, Brad									-																
Sholl, Craig	1	2	1	3	1	4	-	-	4	1	-	1	2	-	-	1	1	1	4	2	1	-	-	2	32
Smith, Ross	1	-	-	-	-	2	2	-	3	-	-	-	1	1	-	-	1	1	2	-	1	-	2	-	17
Stevens, Anthony	3	3	2	4	1	6	1	1	3	3	5	1	-	3	3	2	3	2	2	2	3	-	2	2	57
Totals	21	21	17	26	20	37	23	19	24	20	29	21	21	17	22	14	19	21	21	35	20	23	21	18	530
Opponent	SK	HW	FO	GE	WC	ME	FI	CW	BB	SY	AD	RI	CA	ES	SK	HW	FO	GE	WC	ME	FI	CW	HW	GE	
