Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Alessio, Steven			2	5	2	7	6	8	5	3	2	7		4	2	6							1	3	63
Bannister, Jordan					6									-	3	5	3								17
Barnard, Paul	6	5	4	4	2	11	6	11	2	4	3	-	3	6	6	2	4	3	3	2	5	2	6	4	104
Blumfield, Justin	3	12	6	7	6	5	12	8	3	8	3	3	8	5	5	5	16	11	7	6			5	3	147
Bolton, Mark	4	3	2				2			5	1	2	6	5	9	7	9	8	8	7	4	6	9	2	99
Bullen, Marcus																					7	2			9
Caracella, Blake	8	4	4	10	7	2	4	5	10	7	3	3	5	8	7	6	8	4	6	8	6	8	10	8	151
Davies, James											-														
Fletcher, Dustin	4	3	1	-	-	3	3	2	3	5		2	3					2	3	2	3	3	2		44
Forster-Knight, Robert	6	4	3	2	8	4	7	9	3	11	1	4	2	-			4		9	1				5	83
Hall, Ken												-													
Harvey, Shane						2	1	2	1	-								-				2			8
Heffernan, Chris	5	7	8	6	6	3	3	7	3	2	2	5	8	4	5	5	6	6	2	4	1		2	1	101
Henneman, Aaron	5	3	5	2	1	-						1										2			19
Hille, David	10	6	4	5	5	4	3	4	-		1	1	2		9	2	2	1	3		1	2			65
Hird, James	9	7	10	7	7	6								7	6	7	2	2	13	9	3	4		5	104
Hunt, Sam																				1		4	3		8
Jacobs, Danny	9	2	5	8	7	3	3	4	5	4	1	6	4	2	7	6	8	4	4	9	11	12	8	1	133
Johnson, Jason	7	7	15	3	7	10	11	6	6	5	12	10	5	6	16	7	10	2	5	10	6	9	13	8	196
Johnson, Mark	8	5	11	8	5	2	3	5	3	9	5	6	5	3	5	3	9	4	4	5	10	7	5	12	142
Lloyd, Matthew	2	4	1	2	2	3								5	3	2	3	3	-	4	2	3	1		40
Lucas, Scott	4						2	2	2	3	1	-	1	2	1	-	4	4	2	4	9	7	8	4	60
McAlister, Daniel						2						2	-												4
McGrath, Cory				2	-	4	3	2																2	13
McVeigh, Mark	2	3	5	2	1	5	1	1	5	1	4	4	5	3	1	3	4	2	2	1	1	2	7	3	68
Mercuri, Mark	11	3	3	8	12			17	6	13	7	9	4												93
Misiti, Joe	18	10	14	10	6	12	3										8	14	7	13	14	13	15	11	168
Moorcroft, Gary	8	1								2	-		-		5	2	6	2	6	4	3	5	2	1	47
Peverill, Damien	9	11	10	6	2				5	4	7	10	12	7	14	5	13	15	16	16	9	17	9	18	215
Ramanauskas, Adam	9	8	12	5	4	6	9	5	2	6	1	6	4	6	2	4	9	3	-		7	4	10	2	124
Reynolds, Joel			6	-				5	-	6	-			1	-	2									20
Richards, Ted		5		1																					6
Rioli, Dean					2	2	3	5	4				2	-	5	3	10	6		3	4		5	5	59
Salmon, Paul							2	3	3	4	1		6	3			4	3	4	7	4	6	8	2	60
Wellman, Sean	5	6	-			6	6	4	2	3	1	6	3	3	3	3	6	3	4	8	5	6	9	7	99
Welsh, Andrew							7	2	-	-	2	3	4	3	2	-			2	6	1		3	3	38
Totals	152	119	131	103	98	102	100	117	73	105	58	90	92	83	116	85	148	102	110	130	116	126	141	110	2607
Opponent	GE	RI	BL	AD	CW	FR	CA	SK	SY	KA	PA	HW	ME	WB	WC	GE	RI	BL	AD	CW	FR	CA	WC	PA	
