Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Alessio, Steven			3	2	3	-	1	-	1	5	6	3		3	-	1							-	2	30
Bannister, Jordan					2									-	1	3	-								6
Barnard, Paul	2	1	2	-	4	-	2	3	2	1	1	3	-	1	2	1	1	1	1	1	-	2	4	2	37
Blumfield, Justin	4	1	2	3	4	2	5	4	3	7	1	2	1	-	5	3	8	-	1	-			3	3	62
Bolton, Mark	-	2	2				-			3	-	1	2	-	2	1	1	-	4	1	5	3	2	-	29
Bullen, Marcus																					1	5			6
Caracella, Blake	2	1	2	3	3	3	1	2	3	1	2	-	1	1	2	-	1	5	-	2	2	1	4	1	43
Davies, James											-														
Fletcher, Dustin	1	1	1	2	3	2	3	1	-	3		2	3					4	2	1	-	1	-		30
Forster-Knight, Robert	-	1	1	1	2	1	4	-	2	-	2	5	5	-			3		-	-				-	27
Hall, Ken												-													
Harvey, Shane						1	1	2	-	-								-				3			7
Heffernan, Chris	3	2	2	6	-	1	3	2	2	3	3	1	3	2	7	-	1	3	1	3	4		4	8	64
Henneman, Aaron	1	3	1	2	2	-						1										2			12
Hille, David	1	6	1	7	2	1	1	-	1		2	1	-		1	-	1	-	-		1	1			27
Hird, James	4	4	2	2	2	2								1	-	-	-	1	2	6	-	-		3	29
Hunt, Sam																				-		-	1		1
Jacobs, Danny	1	-	1	2	1	1	4	1	2	1	2	1	2	-	1	2	1	-	3	5	3	1	-	3	38
Johnson, Jason	3	4	2	4	3	3	4	3	2	2	3	5	-	3	11	3	4	5	5	3	2	3	5	4	86
Johnson, Mark	2	3	9	5	-	1	4	2	4	1	3	1	4	1	5	3	5	5	1	2	2	1	6	8	78
Lloyd, Matthew	-	-	-	3	1	-								-	1	2	1	-	2	-	1	-	-		11
Lucas, Scott	1						2	2	-	-	4	2	4	-	3	1	3	3	4	-	1	3	-	-	33
McAlister, Daniel						-						1	1												2
McGrath, Cory				2	1	4	1	-																1	9
McVeigh, Mark	2	-	1	1	1	1	8	1	-	-	2	2	3	2	7	5	2	4	1	4	1	1	8	3	60
Mercuri, Mark	-	2	2	4	1			3	-	1	3	2	3												21
Misiti, Joe	2	4	2	5	3	2	2										-	5	4	4	-	1	3	4	41
Moorcroft, Gary	2	-								-	1		-		1	3	-	-	1	1	2	-	1	1	13
Peverill, Damien	1	5	-	4	2				3	4	7	2	6	4	2	4	3	4	5	2	1	4	3	1	67
Ramanauskas, Adam	1	3	2	-	4	-	-	2	1	3	1	8	7	2	2	3	1	3	1		1	-	2	2	49
Reynolds, Joel			1	-				2	-	-	1			-	-	1									5
Richards, Ted		-		2																					2
Rioli, Dean					2	1	3	2	1				2	5	2	2	-	3		1	1		1	1	27
Salmon, Paul							2	-	1	2	1		-	-			2	1	1	1	-	-	2	1	14
Wellman, Sean	-	2	-			4	1	-	2	3	-	-	1	1	1	3	-	3	2	-	1	3	1	1	29
Welsh, Andrew							5	4	-	1	8	1	1	2	4	1			-	-	-		1	1	29
Totals	33	45	39	60	46	30	57	36	30	41	53	44	49	28	60	42	38	50	41	37	29	35	51	50	1024
Opponent	GE	RI	BL	AD	CW	FR	CA	SK	SY	KA	PA	HW	ME	WB	WC	GE	RI	BL	AD	CW	FR	CA	WC	PA	
