Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	QF	PF	GF	Tot
Ballantyne, Hayden	-		-	-	-	-	2	-	-	-	3	-	-	-	-			1	3	2	1		-	-	-	12
Barlow, Michael	-	-	-	-	-	-	-	-	-	-	2	-		1	-	-	-	-	2	-	-	-	-	-	-	5
Bradley, Kepler	-	-	-	2	-																					2
Clarke, Zac								-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	
Crichton, Jesse																						-				
Crowley, Ryan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Crozier, Hayden		-				-	-		-	-	-	-	1									-				1
Dawson, Zac	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	
Duffield, Paul	-	-	-	-		1	3	-	3	3	7	-	1			2	1	-	-	1	2	-	-	-	3	27
Faulks, Peter																						-				
Forster, Alex																						-				
Fyfe, Nat	-	-	-	1	-			2	2	-	1	1	-	-	-	-	4	3	-	4	3		-	-	-	21
Griffin, Jonathon	-	2	-	-	-	-	-																			2
Hannath, Jack					-	-	-	-	-	-	-	-	-			-					-	-				
Hill, Stephen	2	1	-	-	1					1	1	-	-	2	3	-	-	-		1	5		6	-	1	24
Ibbotson, Garrick					-	-	-	-	1	-	-	1	1	1	-	1	-									5
Johnson, Michael	1	-	-	-	1	-	-	-	2	-	-	-	-	3	3	2	1	2	1	1	3			1	1	22
Mayne, Chris	-	-	-	-	-	1	-	-	-	-	1	-	1	1	-	-	1	-	-	1	1		-	1	-	8
McPharlin, Luke	-	-	-		-	-	-	2	4	-	1	1	-	3									-	1	1	13
Mellington, Josh																						2				2
Michie, Viv													-													
Moller, Craig																						-				
Mundy, David	-	1	-	-	-	-	-	-	-	-	-			2	1	-	-	-	-	-	-		1	-	-	5
Mzungu, Tendai	3	-	-	1	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	2	-	4	-	-	-	12
Neale, Lachie				-	-											-	-	-	-	1	-	1	1	-	2	5
Pavlich, Matthew	-	-	-											-	-				-	-	-	-	-	-	-	
Pearce, Clancee	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-				-				4
Pearce, Danyle	-	2	-	-	-	-	-	2	1	-	2	-	2	2	1	1	-	-	-	2	-	1	1	2	1	20
Sandilands, Aaron														-	-		-	-	-	-		-	-	-	-	
Sheridan, Tom													-	-	-	-		-	-	-	1	1	-			2
Silvagni, Alex						-	-	-	-		-				-	-			-	-		-				
Simpson, Josh																						1				1
Smith, Tanner				-																						
Spurr, Lee	-	-	-	-	-	-	-	-	-	-	-	-		-	-	1	-	2	1	1	-		3	-	-	8
Suban, Nick	-	1	-	-	-	-	-	1	3	-	-	-	-	4			1	3	5	2	-		-	-	1	21
Sutcliffe, Cameron	-	1	-	-		-	-	-	-	-					-	-	-	2	-		1	1	-	-	-	5
Taberner, Matthew												-	-				-					-				
Walters, Michael	1	2	-	-	-	-	-	-				1	1	1	-	-	-	1	-	-	1		-	1	-	9
de Boer, Matthew	-	-	-	-	-	-	-	1	-	-	2	-	-	1	-	-	-	-	-	-	-	-	-	-	-	4
Totals	8	10	0	4	2	2	5	8	16	4	20	5	7	21	9	10	8	14	12	18	18	11	12	6	10	240
Opponent	WC	WB	ES	HW	RI	GC	CW	SY	ME	AD	BL	NM	GE	SK	WC	RI	AD	CA	GW	ME	PA	SK	GE	SY	HW	
