Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	Tot
Abraham, Winston	1	3	1	-	1	2	-	-	1	1	-	2	-	-	-	-	2	1	1	1			-	-	-	17
Allison, Brett				-	-	-												-	-	2	-	1	-	-	-	3
Anderson, Brady	-	-						-	-							-	-	-	-	-	-					
Archer, Glenn			1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	1	3	-	-	3	9
Bell, Peter	-	1	-	2	-	-	-	-	1	1	-	-	-	-	-	2	2	-	1	3	-	-	-	1	2	16
Blakey, John	1	3	5	-	-	-	1	-	1	1	-	1	-	-	2	-	1	-	-	-	-	-	-	-	-	16
Capuano, Matthew	-				-	-	-	-	-	-	-		-			-	-	-	-	-	-	-	1	-	-	1
Carey, Wayne	-			-				-	-	1	-	3	1	-	-	-	-	-	1	2	-	-	1	2	-	11
Clayton, Shane	-	1	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	3
Cochrane, Stuart			-	-																						
Dhurrkay, Gary	-	-	-	-	-	-	-				-	-	-	-	1	-	-									1
Grant, Shannon	2	2	1	-	-	-	-	-	2	-	-	3	-	1	-	-	-	-		-	-	-	-	1	2	14
Harvey, Brent	3	1	-	-	-	-	1	-	1	-	2	1	-	3	2	-	-			2	1	1	-	-	2	20
Hewitt, Evan		-		-	-	-																				
King, David	-					1	2	1	2	3	6	1	-	5	1	2	1	6	3	2	-	5	1	6	15	63
Kingsley, Kent										-	-	-	-	-	-	-			-							
Lange, Adam		-	-			-											-	-								
Longmire, John	-	-	-											-	-	-	-	-						-	-	
Martyn, Mick	1	-	-	-	-	-	-	-	-	-	-	-			-			1	-	-	3	2	-	1	-	8
McCartney, Jason	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	1	-	1	-	-		4
McKernan, Corey	-	2	-	1	-	-	-	1	-	3	2	-	1	-	3	2	-	-	1	2		1	-	1	1	21
Mellington, Anthony					-																					
Mooney, Cameron							-					-	-	-	-				-	1	-	-	-		-	1
Motlop, Shannon										-										-	-	-	-	-	-	
Pickett, Byron	4	4	5	2	1	6	4	3	-	4	6	2	-	2	6	-	4	3	-	1	-	9	-	2	2	70
Pike, Martin	-	-	1	-	-	-	-	1	-	2	-	-								-	-	1	-	-	-	5
Rawlings, Brady		-	-		-	2	-	-	-	-			-	-			-	-	-							2
Roberts, Mark											-															
Scott, Robert	1	-	-	-	-	-	-					-	-	-	-	-	-	-	-		-					1
Sholl, Craig	-	-	-	-			-	-	-	-	1	-	-	-	-	-	-	-	-		-	-	-	-	-	1
Simpson, Adam	-	-	1	-	-	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	3
Stevens, Anthony	3	-	2	-	4	-	-	-	-	1	2	1	-	-	-	-	1	2	1	1	2	1	1	-	-	22
Stevens, Danny								1	-													2				3
Welsh, Scott	-	-	-	-	-		-	-	-	-	-	1	-	-	-	-			-	-	-	-	-	-	-	1
Totals	16	17	17	5	6	12	8	7	8	17	19	19	2	13	15	6	11	13	8	18	7	27	4	14	27	316
Opponent	GE	ES	RI	SY	SK	CW	AD	HW	FR	PA	WC	ME	CA	BL	WB	GE	ES	RI	SY	SK	CW	AD	PA	BL	CA	
