Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	Tot
Abraham, Winston	4	1	2	9	4	11	3	4	4	3	3	7	6	7	4	6	7	4	14	8			4	8	4	127
Allison, Brett				1	1	1												6	7	8	8	4	5	2	6	49
Anderson, Brady	3	2						2	1							4	-	3	2	3	-					20
Archer, Glenn			7	7	3	11	8	3	6	5	13	8	4	7	9	7	1	10	2	3	4	8	4	4	3	137
Bell, Peter	9	12	9	12	14	8	16	15	17	16	16	8	10	8	8	16	16	11	17	20	7	14	13	10	20	322
Blakey, John	15	12	11	11	12	7	7	6	8	12	4	10	6	6	9	10	11	9	3	13	3	10	3	6	13	217
Capuano, Matthew	5				1	3	5	3	6	1	-		1			2	9	13	3	5	3	4	4	3	3	74
Carey, Wayne	9			12				9	9	2	7	10	2	5	8	11	11	5	7	14	7	6	6	6	5	151
Clayton, Shane	2	13	10	10	4	9	7	3	7	4	3	4	6	1	7	8	2	12	4	2	7	6	12	4	3	150
Cochrane, Stuart			-	1																						1
Dhurrkay, Gary	5	3	3	-	3	5	-				9	-	3	4	1	6	-									42
Grant, Shannon	11	20	17	10	12	14	20	8	15	7	19	14	9	9	4	15	9	13		16	11	16	15	13	9	306
Harvey, Brent	8	11	4	9	8	6	12	10	12	12	7	8	1	2	9	9	8			18	9	8	10	7	14	202
Hewitt, Evan		3		1	1	-																				5
King, David	1					7	7	12	7	9	9	9	13	9	8	16	3	7	7	8	11	8	10	13	8	182
Kingsley, Kent										7	-	-	5	3	2	1			-							18
Lange, Adam		2	1			1											-	-								4
Longmire, John	7	8	6											7	6	6	5	4						2	2	53
Martyn, Mick	3	7	5	5	1	2	6	3	2	5	6	2			2			11	6	8	5	5	2	2	5	93
McCartney, Jason	5	9	6	9	5	6	8	8	4	5	13	8	2	7	6	6	3	7	7	4	4	7	1	6		146
McKernan, Corey	5	7	4	3	4	5	3	6	2	2	4	4	6	4	6	5	6	7	4	5		4	4	7	2	109
Mellington, Anthony					-																					
Mooney, Cameron							2					1	1	1	1				3	3	1	2	2		-	17
Motlop, Shannon										1										3	3	2	3	1	7	20
Pickett, Byron	7	10	11	6	4	8	6	6	7	6	5	5	8	5	8	4	2	12	5	11	1	8	3	9	6	163
Pike, Martin	6	8	11	5	5	10	14	6	10	7	7	5								1	6	11	6	5	6	129
Rawlings, Brady		4	-		3	5	4	3	1	1			2	1			4	4	6							38
Roberts, Mark											1															1
Scott, Robert	7	2	2	1	8	4	-					2	3	-	9	7	6	2	-		-					53
Sholl, Craig	8	6	4	8			7	8	5	5	7	3	-	13	1	3	1	3	2		4	10	2	11	4	115
Simpson, Adam	4	10	13	11	11	17	9	20	14	14	12	9	9	14	10	6	10	10	15	11	13	11	7	12	14	286
Stevens, Anthony	14	16	16	8	11	13	12	12	15	13	9	12	9	19	6	13	10	13	16	18	11	7	13	6	8	300
Stevens, Danny								2	-													3				5
Welsh, Scott	6	3	3	2	2		3	1	8	2	-	3	9	4	2	2			1	2	2	8	5	4	6	78
Totals	144	169	145	141	117	153	159	150	160	139	154	132	115	136	126	163	124	166	131	184	120	162	134	141	148	3613
Opponent	GE	ES	RI	SY	SK	CW	AD	HW	FR	PA	WC	ME	CA	BL	WB	GE	ES	RI	SY	SK	CW	AD	PA	BL	CA	
