Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Bishop, Matthew	-				-	-	-	1	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	1
Brogan, Dean	-	-	-	-							-		-	-				-	1	-	-	-	1	-	2
Burgoyne, Peter	-			1	1	-	2			2	1	-	3	-	1	1	-	-	-	-	-		-	-	12
Burgoyne, Shaun	1										1	-	-	-	-	-	1	2	-	-	-	-	-	-	5
Cassisi, Domenic	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	1	-	-	-	-	1	-	1	5
Chaplin, Troy		-		-			-													-	-	-	1	-	1
Cochrane, Stuart	-	-	1	-	-	1		-	1	-	-	-	-							-					3
Cornes, Chad	-	-	-					-	-	-	-	1	-	-	-	-	-	-	-		-	-	-	-	1
Cornes, Kane	-	-	-	-	1	1	-	-	-	2	2	-	-	-	-	-	1	-	-	-	-	1	-	-	8
Dew, Stuart	-	-	-	-	-	2	2	-	1	-	-	2	2	-	2	-	-	-	-	-	3	1	2	-	17
Ebert, Brett	1	1	-	-	1	-	-	-	-	1	-	-	1	-		-	1			-					6
Eckermann, Ben							1	-	-	-															1
Francou, Josh	-	-	-	1	-	-	-	-	1	-	-	1	1	-	2	1	-	-	2	2		4	1	-	16
Gilham, Stephen																		-							
James, Roger		1	2	-					1				-	-	-	-	2	-							6
Kingsley, Adam	-	1	1	-	-	-			-	-	2	-	-	1	2	-	-	-	1		-	3	1	-	12
Lade, Brendon	-	-	1	1	1	1	-	-	-	-	1	2	2	-	3	-	1	-	3	-	1	-	2	-	19
Mahoney, Josh	-				-	1	-	-			-	1	3		-	-	-	2	-	1	1	-	1	-	10
Montgomery, Brett	-	-	-	-	1	-	-	-	-	-	-	2	1	-	-	-		2	-	1	1	-	-	-	8
Pearce, Danyle																		-	1	-	-	1	-	-	2
Pettigrew, Michael		1	-		-	-	-	-									1	3	-	1	-		2	-	8
Pickett, Byron						-	1	-	1	-		-	1	-	-	-	-		-			-	1	-	4
Poulton, Jared			-																						
Primus, Matthew	-	1	-	-	-	-	1	-	-	1	1	1	1	-	-	-	-					-			6
Salopek, Steven							-	-												-	1	-	-		1
Shattock, Aaron	-	-	-	1					1	-	-			-	-	1									3
Surjan, Jacob		-			-							-													
Thomson, Adam											-	-													
Thurstans, Toby	-			-	-	-	1	-	-	-					-	-									1
Tredrea, Warren	2	1	-	1	1	-	-	2	2	-	-	-	2	-	-	2	1	-	1	-	-	-	2	1	18
Wakelin, Darryl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Walsh, Peter	-	-	-	1	2	-	-	-	1	1	-	-	2	-	-	-	-		-	-	-	1	-	-	8
Wanganeen, Gavin	-	-	-	-	-	1	2	1	-	-	1	1	-	-	-		-	-	2	-	-	-	-	-	8
White, Damon		-	-	-	-	-			1	-							-	-	-	-	-				1
Wilson, Michael			-	-	-	-	-	-						1	-	-	-	-	-	-	-	-		-	1
Totals	4	6	5	6	8	7	10	4	10	7	9	12	20	2	10	5	9	9	11	5	7	12	14	2	194
Opponent	FR	BL	AD	CA	GE	RI	KA	SY	ES	WC	SK	WB	HW	CW	ME	GE	RI	KA	CA	AD	BL	FR	KA	AD	
