Player	R1	R2	R3	R4	R6	R7	R8	R9	R10	R11	R12	R13	R14	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Ball, Jason			-																				
Banfield, Drew														-	1	-	1	-	-	-			2
Brennan, Michael	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1
Clape, Matt			4	-	-	3	1	-	-		-			-	-	-	-	-		-			8
Connell, Matthew	1	-							-														1
Evans, Tony	1			-	-	-	-	-	-	-		-	-	-	1	-	-	1	1	-	-	1	5
Godden, Tony																		-	-	-	1	-	1
Hall, Derek																1	-						1
Hampson, Damian										-	-	-	-										
Harding, Paul	-	-	1	-	-	1	-	-		1	-	-	-	-	-	-	-	1	-	-	-	-	4
Hart, David															-	-	-	-	1	-	-	-	1
Heady, Brett	2	-	2	1	1	1	-	2	3	-	-		1	1			-	1	-	1	3	-	19
Hynes, David		1	2	1	-	1	2	-	1	-	1	1	1	1	1	-	-	-	-	1	-	-	14
Irving, Dean									-														
Jakovich, Glen	2	1	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4
Kemp, Dean	-	-	1	-	-	-	1	1				-			-	-	1	-	-	-	1	-	5
Krummel, Brendan	1	-		-			1	-	-	1													3
Lamb, Dwayne	-	-	-	2	-	-	1	1	-	-	-	-	-	-					-				4
Langdon, Karl											-												
Lewis, Chris	-	-	-		1	1	-	2	1	1	1	-	1				-				3	1	12
Mainwaring, Chris											1	-	1	-	-	1	-	2	-	1	2	1	9
Matera, Peter	1	3	-	-	1	-			2	2	1	-	-	1	3	1	4	1	3	1	-	-	24
McIntosh, Ashley	-	-	-	-	-	2	-		1	1	2			1	-	-	1	-	1	2	-	-	11
McKenna, Guy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		1	-	1
Metropolis, Daniel		-	-																				
Pyke, Don	-	-	-	-	2	-	-	-	1	-	-	-	-	-	1	-	2	-	-	-	-	-	6
Retzlaff, Brendon												1	-			-							1
Schofield, Jarrad										3													3
Sumich, Peter	8	5	3	5	2	2		-	-	4	1	1	3	3	4	5	2	-	4	1	2	2	57
Turley, Craig	-	-																					
Ugle, Troy							1	1				2	3										7
Waterman, Chris			2	-	2	2	1	-	-	1	-	2	1	1	4	-	-	-	-	3	1	-	20
West, Robert	-	-	-	1	-	-	-	-						-	-								1
White, Mitchell	-	1	-	2	1	-	2	-	1	-	-	-	-	1	-			-	-	-	1	-	9
Wilson, Peter	-	-	-	-	1	-	3	1	1	1	1	-	-	-	-	-	2	-	-	-	1	-	11
Worsfold, John	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-				-	-	-	2
Totals	16	11	15	12	11	14	13	8	11	15	8	8	11	9	16	8	13	6	10	10	16	6	247
Opponent	ES	AD	RI	BB	FO	GE	FI	ME	SK	SY	NM	CW	CA	ES	AD	RI	BB	HW	FO	GE	NM	ES	
