Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	Tot
Adkins, Damien																	-	-	-							
Betheras, Rupert	-	2	-	1	2	-	-	-	1	1	-	-	-	1	4	2	1	-	-	2		-	-	1	1	19
Buckley, Nathan	2	-	4	1	1	-	-	1	1	-	-	-	-	-	-		-	2	-	-				2	1	15
Burns, Scott	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	3
Clement, James	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	2	-	-	-	-	6
Cloke, Jason		1	1	3	8	2	1	5	3	2	-	-	2	1	1	1	1	1	1	2	6	2	-	3		47
Cole, Richard	-										-	-	-	-	-	-		-	-							
Cummings, Scott	-	-			-			-					-													
Davis, Leon	-	-	-	-	-	-			-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	1
Davis, Nick	1	-	-	-	-	1	-	-	-	-				-	-	-	-			-	-	-	1	-	-	3
Didak, Alan				-	-	-	-			-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	
Dimattina, Andrew	-																-									
Fraser, Josh	6	6	8	4	10	5	4	7	-	8	2	4	3	4	4	20	6	12	10	9	5	1	2	4	2	146
Freeborn, Glenn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			-	-	-	-	-	-	-	
Holland, Brodie	-	-	-	-	-	-	-	-	-	-	-									-	-	-				
Johnson, Ben	-	-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Kinnear, Ben			4																							4
Licuria, Paul	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Lockyer, Tarkyn	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1
Lonie, Ryan		-	-	-	1	-	-	-	-							-	-	-	-	-	-	-	-	-	-	1
McGough, Mark				-	-	-	-	-	-	-	-	-	-	-	-			-	-	-	-	-				
McKee, Steven				6	6	13	14	10	12	7	11	13	7	12	13	4	10	17	8	10	10	11	14	13	14	235
Molloy, Jarrod							1	1	1	1												-	-		-	4
OBree, Shane						1	-	-	1	-	-	-	1	-	-	-	-	-			-	-	-	-	-	3
Prestigiacomo, Simon	-	-	-	-	-	-	-	-	1	2	-	-	-	-	-	-		-	-	-	-	1	1	-	-	5
Richardson, Mark	1	9	4								-	3		-	1						2	1				21
Rintoul, Chad	-	-	-																							
Rocca, Anthony	15	16	12	6	7	1	3	3	7	7	3	3	4	6	1	1	7	5	3	4	7		1	2	6	130
Scotland, Heath	1	-	-	-	-							-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Steinfort, Carl			1	-	1	-										3	-						1	1	-	7
Tarrant, Chris	1	-		1			4	-	-	1	-	-	-			1	-	-	-	-	-	-	-	-	1	9
Wakelin, Shane	-	1	-	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	1	-	-	1	-	-	5
Totals	27	35	34	23	38	23	27	27	27	29	16	23	18	24	24	35	26	37	22	28	32	16	21	27	27	666
Opponent	RI	WC	CA	HW	ES	SK	WB	BL	PA	SY	ME	FR	KA	AD	GE	RI	WC	CA	HW	ES	SK	WB	PA	AD	BL	
