Player	R1	R2	R3	R5	R6	R7	R8	R9	R10	R11	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Banik, Anthony					-																
Bond, Chris				2	1	2	1	3	4		2	4	3	3							25
Bower, Nathan	1				-	3	-			2	3	2	1	4	1				1		18
Breman, Todd		-	1										2			-	-	-			3
Bulluss, Paul	-	-	-	-	-	-	1	-	-	1	-	-	1	1	-	-		-	1	-	5
Campbell, Wayne	-	2	1	2	5	3	2	1	-	3	1	-	1	2	2	-	3	2	1	3	34
Daffy, Nick										-		-	3	-	1						4
Dennis, Simon																	3	1			4
Eishold, Simon	2	-														1	-			-	3
Esler, Ty												1	-	1	-	-	2	-		-	4
Fox, Brad																1	1	3	2		7
Free, Tony	3	3	2	1	2	2	1	1	-	3	3	1	1	4	1	3	1	2	1	3	38
Gale, Brendon			-	1	1	-	2	-	1	1	-	1			-	-	-	-	2	1	10
Herman, Ian	1							-	1	-	1										3
Hernaman, Wayne	-	1	-	1	1	3	1	-	-	4	1				2	-	-	1	3	1	19
Hogg, Jeff		-	-	-	1	1	-	2	2	-	-	1	-	1	-	-	1	-	-	1	10
Howat, John	1	-	1	-	1	1	-	-	1	-	3		-	-	-	1	-	1	1	1	12
Jackson, Stevan		-		-																	
Kellaway, Duncan						1	4	3	2	2	3	3	3	3	-						24
Knights, Matthew	4	7	1	1	4	3	1	2	3	2	-	3	1	1	4	1	2	1	2	1	44
Lambert, Craig	6	2	3	1	5	4	-	2	3	4	-	-	2	3	3	-	1	1	1	2	43
Lennon, Bruce								-	2	2	-	-				1	1	3	1	1	11
Leys, Brian		3	1	-	1	-	-	-	2	-	1	1	2	2	1						14
Livingstone, Tim														5	1	2	4	1	-		13
Maxfield, Stuart	3	2	2	2	2	-	2	2	4		1	2	4	2	2	1			2		33
McQueen, Mark	-	1	-	1	-							-	3	1							6
Menegola, Todd	2	1	2	-		2	2	-						-	-						9
Naish, Chris	2	2	-	-	3	2	2	-	4	4	1	1	-				2	-		1	24
Pitura, Mark	1				1																2
Prescott, Ashley																			2	3	5
Richardson, Matthew						2	1	1	-	-	-	-	-	-	-		-	-	1	-	5
Ryan, Stephen												-	1								1
Schaefer, Robert	-	-	-	-		2	-	-	-	-	-		-								2
Scott, Allister	2	1	3																	2	8
Slater, Adam	-																				
Smith, Craig				1	2	2	-														5
Steele, Stuart								1	-												1
Thiessen, James														1	1	1	-	-	-	1	4
Turner, Scott	1	1	-	-	1	1	-							2	1	2	-	1	-	2	12
Weightman, Dale			1	-	-					3	1	-				1			1	2	9
Young, Barry	-	1	1						2	1						1	2	3	1	3	15
Totals	29	27	19	13	31	34	20	18	31	32	21	20	28	36	20	16	23	20	23	28	489
Opponent	AD	BB	WC	NM	ME	SK	GE	HW	SY	FI	ES	CW	FO	AD	BB	WC	CA	NM	ME	SK	
