Player	R1	R2	R3	R5	R6	R7	R8	R9	R10	R11	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Banik, Anthony					-																
Bond, Chris				3	2	1	1	2	1		2	2	1	1							16
Bower, Nathan	-				1	1	3			1	4	-	-	-	-				1		11
Breman, Todd		1	1										-			1	2	2			7
Bulluss, Paul	1	2	2	1	2	4	1	2	2	3	1	2	-	3	-	1		1	1	3	32
Campbell, Wayne	-	-	1	2	2	3	-	-	1	3	-	1	-	-	2	1	4	3	1	2	26
Daffy, Nick										-		-	-	-	1						1
Dennis, Simon																	4	1			5
Eishold, Simon	-	-														2	1			1	4
Esler, Ty												2	4	3	3	1	4	4		2	23
Fox, Brad																1	1	2	-		4
Free, Tony	2	-	1	2	1	3	-	1	2	3	1	3	2	2	3	-	1	1	-	4	32
Gale, Brendon			2	4	2	-	1	2	2	7	2	2			2	1	2	3	3	1	36
Herman, Ian	1							1	1	1	-										4
Hernaman, Wayne	1	1	1	1	-	3	1	-	1	-	2				3	-	-	1	2	4	21
Hogg, Jeff		-	-	3	3	1	2	-	1	2	3	-	-	2	1	-	1	3	2	1	25
Howat, John	-	1	-	-	1	-	-	1	2	2	1		1	1	-	1	-	1	3	2	17
Jackson, Stevan		-		2																	2
Kellaway, Duncan						-	2	-	1	1	3	-	2	1	-						10
Knights, Matthew	2	4	5	2	2	1	1	2	2	2	5	1	4	2	5	2	1	1	2	3	49
Lambert, Craig	-	1	1	3	2	-	-	2	1	2	1	-	3	2	2	2	-	3	2	4	31
Lennon, Bruce								2	2	2	2	-				-	2	3	2	2	17
Leys, Brian		4	-	1	1	2	1	-	1	-	1	1	1	3	-						16
Livingstone, Tim														2	1	-	2	2	-		7
Maxfield, Stuart	4	3	2	3	-	1	-	-	1		1	-	2	1	-	-			-		18
McQueen, Mark	2	-	4	2	-							-	1	-							9
Menegola, Todd	1	1	1	-		-	1	-						-	3						7
Naish, Chris	2	-	-	-	1	2	3	-	1	2	-	-	-				-	-		-	11
Pitura, Mark	-				-																
Prescott, Ashley																			1	-	1
Richardson, Matthew						-	3	4	2	1	2	-	2	-	2		2	1	2	2	23
Ryan, Stephen												-	-								
Schaefer, Robert	-	1	2	1		-	1	1	-	3	1		-								10
Scott, Allister	-	1	1																	1	3
Slater, Adam	-																				
Smith, Craig				1	3	-	2														6
Steele, Stuart								2	-												2
Thiessen, James														-	-	2	-	3	1	-	6
Turner, Scott	2	2	2	5	6	1	1							5	2	2	5	2	2	1	38
Weightman, Dale			1	-	2					1	-	-				1			3	-	8
Young, Barry	1	1	-						3	-						1	4	1	-	1	12
Totals	19	23	27	36	31	23	24	22	27	36	32	14	23	28	30	19	36	38	28	34	550
Opponent	AD	BB	WC	NM	ME	SK	GE	HW	SY	FI	ES	CW	FO	AD	BB	WC	CA	NM	ME	SK	
