Player	R1	R2	R3	R5	R6	R7	R8	R9	R10	R11	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Banik, Anthony					-																
Bond, Chris				-	-	-	-	1	-		-	-	-	-							1
Bower, Nathan	-				-	1	-			-	-	-	-	-	-				-		1
Breman, Todd		-	-										-			-	-	-			
Bulluss, Paul	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	1
Campbell, Wayne	-	-	-	-	-	2	-	-	-	1	-	-	-	-	2	-	-	-	-	-	5
Daffy, Nick										-		-	-	-	-						
Dennis, Simon																	-	-			
Eishold, Simon	-	-														-	-			-	
Esler, Ty												-	-	-	-	-	-	-		-	
Fox, Brad																-	-	-	-		
Free, Tony	-	-	-	-	-	-	-	-	-	3	-	-	-	-	-	-	-	2	-	-	5
Gale, Brendon			-	-	-	3	-	-	-	-	-	-			-	-	-	-	-	-	3
Herman, Ian	-							-	-	-	-										
Hernaman, Wayne	-	-	-	-	-	-	-	-	-	-	-				-	-	-	-	-	-	
Hogg, Jeff		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Howat, John	-	3	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	3
Jackson, Stevan		-		-																	
Kellaway, Duncan						-	-	-	-	-	-	-	-	-	-						
Knights, Matthew	-	2	3	1	-	-	-	-	3	-	-	-	3	-	-	-	1	-	-	-	13
Lambert, Craig	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	2
Lennon, Bruce								-	-	-	-	-				-	-	-	-	-	
Leys, Brian		-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Livingstone, Tim														-	-	-	-	-	-		
Maxfield, Stuart	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-			-		
McQueen, Mark	-	-	-	-	-							-	-	-							
Menegola, Todd	-	-	-	-		-	-	-						-	-						
Naish, Chris	-	1	-	-	-	-	-	-	-	-	-	-	-				-	-		-	1
Pitura, Mark	-				-																
Prescott, Ashley																			-	-	
Richardson, Matthew						-	-	-	-	-	-	-	-	-	-		-	-	-	2	2
Ryan, Stephen												-	-								
Schaefer, Robert	-	-	-	-		-	-	-	-	-	-		-								
Scott, Allister	-	-	-																	-	
Slater, Adam	-																				
Smith, Craig				-	-	-	-														
Steele, Stuart								-	-												
Thiessen, James														-	-	-	-	-	-	-	
Turner, Scott	-	-	-	-	-	-	-							-	-	-	-	-	-	-	
Weightman, Dale			-	-	-					2	-	-				-			-	-	2
Young, Barry	-	-	-						-	-						-	-	-	-	-	
Totals	0	6	4	1	0	6	0	1	5	6	0	0	3	0	2	0	1	2	0	2	39
Opponent	AD	BB	WC	NM	ME	SK	GE	HW	SY	FI	ES	CW	FO	AD	BB	WC	CA	NM	ME	SK	
