Player	R1	R2	R3	R5	R6	R7	R8	R9	R10	R11	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Banik, Anthony					-																
Bond, Chris				1	1	-	-	1	-		-	-	-	-							3
Bower, Nathan	-				4	1	-			-	-	-	-	1	-				-		6
Breman, Todd		-	-										1			1	1	2			5
Bulluss, Paul	-	-	-	-	-	-	3	-	-	-	-	2	-	-	-	1		-	1	-	7
Campbell, Wayne	1	1	-	-	-	2	-	-	-	1	-	-	-	-	1	1	-	1	-	-	8
Daffy, Nick										-		-	-	-	1						1
Dennis, Simon																	-	-			
Eishold, Simon	-	-														-	-			-	
Esler, Ty												-	-	-	-	-	-	-		-	
Fox, Brad																-	-	-	-		
Free, Tony	-	-	-	1	-	-	-	1	-	1	1	1	-	-	2	-	-	2	-	-	9
Gale, Brendon			1	-	1	4	4	1	-	4	-	1			1	2	3	-	3	1	26
Herman, Ian	-							1	-	-	-										1
Hernaman, Wayne	-	2	-	1	-	-	-	1	2	-	-				-	-	-	1	-	-	7
Hogg, Jeff		7	4	6	1	4	-	2	7	2	6	3	4	1	5	4	1	-	-	-	57
Howat, John	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	
Jackson, Stevan		1		-																	1
Kellaway, Duncan						-	-	-	-	-	-	-	-	-	-						
Knights, Matthew	1	2	2	1	-	1	1	1	-	-	-	-	-	-	1	-	-	-	-	1	11
Lambert, Craig	2	-	-	-	-	-	-	1	-	1	-	1	-	-	-	-	-	-	-	-	5
Lennon, Bruce								-	-	-	-	1				1	-	1	1	-	4
Leys, Brian		-	-	1	-	1	-	-	-	-	-	-	-	-	-						2
Livingstone, Tim														-	-	-	-	-	1		1
Maxfield, Stuart	-	-	-	-	-	1	-	6	1		1	-	-	2	-	1			-		12
McQueen, Mark	2	2	1	-	1							2	-	-							8
Menegola, Todd	-	-	-	-		1	-	-						-	-						1
Naish, Chris	4	2	-	4	-	3	1	3	1	-	-	4	-				3	-		1	26
Pitura, Mark	-				-																
Prescott, Ashley																			-	-	
Richardson, Matthew						1	-	1	6	2	-	2	2	-	1		3	4	2	7	31
Ryan, Stephen												-	1								1
Schaefer, Robert	1	1	-	-		-	-	-	-	1	-		-								3
Scott, Allister	1	-	-																	-	1
Slater, Adam	-																				
Smith, Craig				1	-	-	-														1
Steele, Stuart								-	-												
Thiessen, James														-	1	-	-	-	-	2	3
Turner, Scott	-	-	-	-	-	-	-							-	1	-	1	-	-	-	2
Weightman, Dale			1	1	-					-	-	-				-			-	-	2
Young, Barry	-	-	-						-	-						-	-	-	-	-	
Totals	12	18	9	17	8	19	9	19	17	12	8	17	8	4	14	11	12	11	8	12	245
Opponent	AD	BB	WC	NM	ME	SK	GE	HW	SY	FI	ES	CW	FO	AD	BB	WC	CA	NM	ME	SK	
