Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	Tot
Allen, Jarryd													-	-	-									-		
Armitage, David					-	-	-	-		-	-		-	-	-	-	-							-	-	
Baker, Steven						-	-																			
Ball, Luke	-	-	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-								2
Birss, Shane						-	-	-	-	-	-										-	-				
Blake, Jason		1	3	3	4	3		-	-	1	2	-	-	-	-	11	1	7	4	3	-	2	-	1	4	50
Clarke, Raphael	-	-	-				-	-												-	-	-	-	-	-	
Clarke, Xavier	-	-	-	-	-	1	-																-			1
Dal Santo, Nick	-	-	-	1	-	1	-	-	-	-	1	-		-	1	-	1	-	1	-	-	-	-	-	1	7
Dempster, Sean				-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-				1
Eddy, Robert													-	-	-	-	-	-	-	-	-	-	-	-	-	
Ferguson, Matthew										-	-															
Fiora, Aaron	-	1	-	-					1							-	-	-	-						1	3
Fisher, Leigh	-	-	-	-	-	1		-	-		-															1
Fisher, Sam	-	-	-	-	1	-	-	-	-	-	-	1	-	-	-	-	1	-	-	1	-	-	-	-	4	8
Gardiner, Charlie	-				-	-	-	-				-	-	-						1	-	-	-			1
Gardiner, Michael	13	20					15	12	17	21	20	12					8									138
Geary, Jarryn	-	-	-						-	-	-	-	-					-	-							
Gehrig, Fraser		-	-	-			-	-																		
Gilbert, Sam	-	-	-	-	-							-	-	-	-	-	-	-	-	-	-	-	1	-	-	1
Goddard, Brendon			-	-	-	-	-	-	1	1	1	-	-	-	-	-	-	-	-	-	2	-	2	-	1	8
Gram, Jason	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	1	-	-	2
Gwilt, James											-	-	-	-	-			-	-	-	-	-	-	-	-	
Harvey, Robert	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Hayes, Lenny	-	-	-	-	-	-	-	-	-	-	-	1	-		-	-	-	-	2	-	-	-	1	-	-	4
Hudghton, Max	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	1	1
Jones, Clinton	-			-	-				-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
King, Steven	16	18	19	23	18			23	11	18		26	17	27	23	21	12	10	14	12	21	22	10	27	20	408
Koschitzke, Justin	1	1	9	6	9	11	12	1	1	2	1			10	14	4		7	5	5	2	12	6	5	6	130
Maguire, Matt				-	-	-	1																			1
McEvoy, Ben													-													
McQualter, Andrew												-	-	-	-	-	-	-	-	-			-	-	-	
Milne, Stephen	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	
Montagna, Leigh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Riewoldt, Nick	-	-	1	-	-	-	2		-	1	1	-	2	1	3	2	2	-	2	-	-	5	3	-	3	28
Rix, Michael						11																				11
Schneider, Adam	-	-	-				-	-	-	-	-	-				-	-	-	-	-	-	-	-	-	-	
Totals	30	41	33	33	32	28	30	36	32	44	26	40	19	38	41	38	25	25	28	22	26	41	24	33	41	806
Opponent	SY	CA	WB	GE	ES	PA	RI	CW	BL	ME	WB	SY	FR	NM	CA	HW	WC	PA	CW	FR	AD	ES	GE	CW	HW	
