Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	SF	Tot
Blee, Nathan																			3	-					3
Boak, Travis	1	1	1	1	-	2	1	1	1	1	-		1	2	2	1	3	-	-	-	1	-	-	-	20
Broadbent, Matthew	1	3	2	3	-	-	-	1	2	1	3	1	-	1	4	1	2	2	1	1	2	2	5	2	40
Butcher, John									-	1	-				-	1	2	-	-						4
Carlile, Alipate		3	3	6	5	3	7	5	2	11	5	-	7	8	6	4	9	5	4	1	7		6	7	114
Cassisi, Domenic				1	-	3		2				-	-				-	1	2			1	1	2	13
Colquhoun, Sam							1		2							2	-	1	-		2	-	1	1	10
Cornes, Kane	-	2	-	2	2	1	-	2	1	-	-	-	2	-	1		-	1	-	-	1	1	-	1	17
Ebert, Brad	1	1	-	5	4	6	-	1	-	2	1	3	-	2	2	2	1	1	1	-	3	1	-	2	39
Gray, Robbie				-	-	-	1	-	-	3	1	2	2	-	2	2	1	-	1	1	1		-	1	18
Hartlett, Hamish	-	-	3	2	-	-	-	-	2	1	1	2	3	1	3	-	-	1	3	-			2	-	24
Heath, Campbell	2	4	3	4	4	4	2		5	5		5								-	-				38
Hitchcock, Cameron										-	-									-					
Hombsch, Jack										15	8	8	2	2								1			36
Jonas, Tom	4	3	3	5	4	5	1	2	5	5	5	3	4	3	2	5				1	2	3	10	1	76
Lobbe, Matthew	1	4	-	2	6	5		3			2	6	4	5	1	2	2	3	2	3	3	-	3	6	63
Logan, Tom									-	6	-	1	2	2	-							2	1	-	14
Mitchell, Kane	-	-	-			-	2	-	-	-						2	4	-	-		1				9
Monfries, Angus	2	-	1	-	-	1	-	-	2	1	1	1	-	2	-	2	-	-	1	-	1	-	1	-	16
Moore, Andrew	4						-	4	-			1	1	-	-	1	-	-	-	2	1	-	1	1	16
Neade, Jake	-	-	-	-	-	3	1	-		-	-	2	1	-	1	-					-				8
OShea, Cameron	2	-	3	3	3	4	4	6	2	2	6	1	-	6	4	-	1	5	2	2	4	2	1	4	67
Pittard, Jasper	3	3	2	1								1	7	6	6	3	3	7	2	4	4	-	1	5	58
Redden, Jarrad	1	2					-	-	1	-															4
Renouf, Brent			2	2	1	4																4			13
Schulz, Jay	1	1	-	-	1	1	2	1	1	-	-	7	-	1	2	2	1	3	-	2	1	-	-	1	28
Stevenson, Lewis	-	2	4	1	3	1	2	2														1			16
Stewart, Daniel							1																		1
Stewart, Paul	1	-	-		1	-		-			1			-	2	2	1	-							8
Thomas, Matt									2		1	-			-										3
Trengove, Jackson	13	6	6	6	3								1	3	3	5	7	6	4	-	4	3	6	1	77
Westhoff, Justin	-	2	-	1	2	2	1	-	1	7	6	3	3	1		4	1	1	1	1	3	5	3	1	49
Wines, Ollie	1	-	-	1	2	1	3	1	1	1	1	-	2	1	1	1	1	2	-	-	-	-	-	2	22
Wingard, Chad	1	2	1	1	1	1	1	2	1	2	3	2	-	4	-	1	1	-	1	1	1	3	2	1	33
Young, Aaron																				-	-	-	2	-	2
Totals	39	39	34	47	42	47	30	33	31	64	45	49	42	50	42	43	40	39	28	19	42	29	46	39	959
Opponent	ME	GW	AD	GC	WC	NM	RI	CA	GE	WB	GW	SY	CW	ES	HW	SK	BL	AD	GE	GC	FR	CA	CW	GE	
