Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	SF	Tot
Blee, Nathan																			-	-					
Boak, Travis	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	
Broadbent, Matthew	-	-	-	-	-	-	-	-	On	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1/0
Butcher, John									-	Off	-				-	-	-	-	Off						0/2
Carlile, Alipate		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	
Cassisi, Domenic				-	-	-		-				-	Off				Off	-	-			-	-	-	0/2
Colquhoun, Sam							-		-							-	On	On	-		-	Off	Off	Off	2/3
Cornes, Kane	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	
Ebert, Brad	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Gray, Robbie				On	On	-	-	-	-	-	On	-	-	-	-	-	-	-	-	-	-		-	-	3/0
Hartlett, Hamish	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			-	-	
Heath, Campbell	-	-	-	-	-	-	Off		-	-		-								-	-				0/1
Hitchcock, Cameron										-	Off									Off					0/2
Hombsch, Jack										-	-	-	-	Off								-			0/1
Jonas, Tom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				-	-	-	-	-	
Lobbe, Matthew	-	-	-	-	-	-		-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Logan, Tom									-	-	-	-	-	-	Off							-	-	-	0/1
Mitchell, Kane	On	On	On			-	On	On	-	On						On	-	-	On		-				8/0
Monfries, Angus	Off	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0/1
Moore, Andrew	-						-	-	Off			-	-	-	-	-	-	-	-	-	-	-	-	-	0/1
Neade, Jake	-	-	-	Off	-	-	-	-		-	-	-	-	-	On	Off					-				1/2
OShea, Cameron	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Pittard, Jasper	-	-	-	-								On	-	-	-	-	-	-	-	-	-	-	-	-	1/0
Redden, Jarrad	-	-					-	-	-	-															
Renouf, Brent			-	-	-	Off																-			0/1
Schulz, Jay	-	Off	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0/1
Stevenson, Lewis	-	-	-	-	-	-	-	-														On			1/0
Stewart, Daniel							-																		
Stewart, Paul	-	-	Off		-	On		Off			-			On	-	-	-	Off							2/3
Thomas, Matt									-		-	Off			-										0/1
Trengove, Jackson	-	-	-	-	Off								-	-	-	-	-	-	-	-	-	-	-	-	0/1
Westhoff, Justin	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	
Wines, Ollie	-	-	-	-	-	-	-	-	-	-	-	-	On	-	-	-	-	-	-	On	-	-	-	-	2/0
Wingard, Chad	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Off	-	-	-	0/1
Young, Aaron																				-	On	-	On	On	3/0
Totals																									
Opponent	ME	GW	AD	GC	WC	NM	RI	CA	GE	WB	GW	SY	CW	ES	HW	SK	BL	AD	GE	GC	FR	CA	CW	GE	
