Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Ballantyne, Hayden	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				-			
Barlow, Michael	1	1	-	-	-	-	1	-	-		-	1	-	-											4
Bollenhagen, Justin																		-	-		-				
Bradley, Kepler							6		10	2	4	10	10	2	2	-			9	11	7				73
Broughton, Greg	-	-	-	-	-	-	-	-								-	-	-	1	-	-	-	-	-	1
Clarke, Zac												1								12	12				25
Crichton, Jesse																	-	-	-	-	-		-		
Crowley, Ryan	-	-	-	-	1	1	1	1	1	1	-	-	-	-	-	-							-	-	6
Dodd, Steven			-								-										-				
Duffield, Paul	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Fyfe, Nat					-	-	-	-	-	-	-	-	-	-		-	-	-	1	-		-	-	-	1
Grover, Antoni									-	-	-	-	-	-			-	-	-	-	-	-	-	-	
Hasleby, Paul	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-		-			
Hayden, Roger	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	
Headland, Des	-	-	-	-																				-	
Hill, Stephen	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	1
Hinkley, Clayton																					-				
Ibbotson, Garrick	-	-						-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Johnson, Michael	2	5	5	2	-	3	-	-						-	-	1	2	1	7	1	4	3	10	8	54
Mayne, Chris	-	-	-	-	-	-	-	-	-	-	-											-	-	-	
McPharlin, Luke	-	-	-	-	-	-	-	-								-	-	-	-	-	-	-	-	-	
McPhee, Adam	-	1	-	-	-	-	1	-	-	-	-	2	-	-	-	-	-	-	-	1		-	1	-	6
Morabito, Anthony	3	1	-	-	-	2	-	-	-	-	-	-	-	1	-	-	1	-	-	-		-	-	1	9
Mundy, David	1	-	-	-	1	1	1	1	-	1	-	-	-	-	-	-		-	-	1		1	-	-	8
Murphy, Ryan																					-				
Palmer, Rhys						-	-	-	-	-	-		-	-	-	1	-		-		-				1
Pavlich, Matthew	-	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	2
Pearce, Clancee				-	-					-					-		-				-				
Roberton, Dylan						-	-						1	-	-	-	-		1	-	2	-	-	-	4
Ruffles, Tim															-						-				
Sandilands, Aaron	33	39	37	36	42	33	27	43	35	36	37	42	49	22	39	34	29	33				40	18	28	732
Schammer, Byron												-								-	-				
Silvagni, Alex	1	-	1	-	2	-		-	-			-	-	-	-	1							4	-	9
Suban, Nick	-	-	-						-	-	-	-			-		-	-	-	-	-	-	1	-	1
Tarrant, Chris	1	-		-	-	-	2	-	-	-	3	-	-					-							6
Walters, Michael																				-	-	-	-	-	
de Boer, Matthew			-	-	-	-	1	-		-	-		-	-	-	-	-	-	-	-	-	-	-	-	1
van Berlo, Jay	-	-	-	-	-				-	-	-	-	-	-	-	-	-	-	-		-	-			
Totals	42	48	43	39	46	40	40	46	46	40	44	56	60	25	41	37	32	34	19	26	25	44	34	37	944
Opponent	AD	ES	GE	SK	RI	WC	BL	CW	SY	NM	AD	SK	CA	PA	RI	ME	WB	WC	NM	SY	HW	CA	HW	GE	
