Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	QF	PF	Tot
Ballantyne, Hayden	2	3			2	-	5	2	1	4	1	5	1	-	1								1	3	31
Ballard, Jacob																						1			1
Barlow, Michael	5	3	2	1	3	2	1	-	4	2	1	3	3	2	2	2	2	1	1	5	3	5	1	1	55
Blakely, Connor																						-			
Clarke, Zac	3	2	2	3	2	3	4	2	-	-			3	-								-	-		24
Crozier, Hayden			-							2	1	-			2	2	2	2	2	2		-			15
Dawson, Zac																	-			-	-		-	-	
Duffield, Paul	1	3	5	1	4	-	-	1	-	2			3	3							2	1			26
Duffy, Max																						3			3
Fyfe, Nat	7	7	5	6	3	5	8	1	10	5	4	1	4	2	2	1			4	4			5	3	87
Grey, Brady																						1			1
Griffin, Jonathon															2	3	-	1	-	1	1			3	11
Hannath, Jack											1	-										-			1
Hill, Stephen	4	10	4	2	4	3	3	4	3	5	3	3	2	1	9	7	6	4	5	6	5		8	3	104
Hughes, Ethan																						2			2
Ibbotson, Garrick	1	-	-	2	1	3	1	2	3	1	2	2	-	3	3	1	1	2	3	4	5	1	1	2	44
Johnson, Michael	1	1	2	2	2	-	1	1	1	-									2	4	1		1	-	19
Langdon, Ed																					4	1			5
Mayne, Chris	-	1	1	2	1	-	2	2	2	-		3	2	1	1	-	-	2	2	5	1		-	1	29
McPharlin, Luke	-	-	-	-	-			-	-	-	1	1	1	-	-	-	1	-		-	-				4
Mundy, David	2	3	1	3	9	-	8	5	3	4	4	6	4	3	7	1	4	3	4	3	6		1	2	86
Mzungu, Tendai				1							2			5			2	-	-	1	3	4	-	-	18
Neale, Lachie	3	3	3	2	4	7	2	4	3	1	5	2	4	3	4	2	3	4	1	3	1	-	-	2	66
Pavlich, Matthew	5	3	2	1	-	4	2	2	2	2	5	3	1	6	4	4	1	3	6		1		2	3	62
Pearce, Alex						-	1				1	1	-	-	-	-	2	1	1	1		-			8
Pearce, Clancee	3	1	4	1	3	1	5	3	2	2	6	2	4	-		-					1	2	-		40
Pearce, Danyle	5	6	10	3	9	7	5	5	7	3	4	4	4	3	6	6	8	6	4	1	5		8	3	122
Sandilands, Aaron	-	-	2	-	1	1	1	-	3	2	1	-	1	2	-	-	3	2	1	2	-		4	-	26
Sheridan, Tom	2						1	-	2	1	3	1	-	-	6	2	5	2	2	1	1	2	2	2	35
Silvagni, Alex																		1	-						1
Smith, Tanner																						-			
Spurr, Lee	2	2	-	3	-	2	-	-	2		3	1	5	-	2	-	3	3	2	2	1		-	2	35
Suban, Nick	6	3	1	4	4	1	4	5	5	3	1	2	7	1	2	4	1	1	4	1	4	2	-	2	68
Sutcliffe, Cameron	-	1	1	-	1	-	2	2	1	1	1	-			2	-	-	-	1	2	3		-	-	18
Taberner, Matthew		2	2	1	2	2	3	1	-	3	1		-		3	1						3		3	27
Walters, Michael	5	1	4	1	1	1	4	3	2	2	2	2	3	3	3	5	7	3	5	5			4	1	67
Weller, Lachie																	3	1				-			4
de Boer, Matthew	1	-	1	-	3	1						1	1	-	-	-	2	2	-	-	1	3	3	5	24
Totals	58	55	52	39	59	43	63	45	56	45	53	43	53	38	61	41	56	44	50	53	49	31	41	41	1169
Opponent	PA	GE	WC	SY	ME	ES	WB	NM	AD	RI	GC	CW	BL	HW	CA	RI	GW	SK	WC	NM	ME	PA	SY	HW	
