Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	QF	PF	Tot
Ballantyne, Hayden	-	-			-	-	-	-	-	-	-	-	-	-	-								-	-	
Ballard, Jacob																						-			
Barlow, Michael	-	1	-	-	1	-	-	-	-	2	-	-	-	1	-	-	1	-	-	-	-	1	-	1	8
Blakely, Connor																						1			1
Clarke, Zac	11	7	8	7	16	8	14	10	12	13			19	10								16	11		162
Crozier, Hayden			-							-	-	-			-	-	-	-	-	-		-			
Dawson, Zac																	-			-	-		1	-	1
Duffield, Paul	-	-	-	-	-	-	-	-	-	-			-	-							-	-			
Duffy, Max																						-			
Fyfe, Nat	2	1	1	2	1	3	-	3	3	3	2	4	6	1	1	-			-	3			3	3	42
Grey, Brady																						-			
Griffin, Jonathon															12	10	21	8	16	5	11			7	90
Hannath, Jack											7	10										13			30
Hill, Stephen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	
Hughes, Ethan																						-			
Ibbotson, Garrick	1	-	-	-	-	-	-	-	1	-	1	-	-	-	-	1	-	-	-	-	-	-	-	-	4
Johnson, Michael	2	-	1	-	-	-	1	-	-	-									-	-	-		-	-	4
Langdon, Ed																					-	-			
Mayne, Chris	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	1	-	-	-	1		-	-	2
McPharlin, Luke	-	1	-	1	-			-	-	-	1	-	-	-	2	-	-	-		-	-				5
Mundy, David	-	-	4	2	2	3	3	4	1	7	3	1	3	1	3	1	2	-	1	3	2		1	-	47
Mzungu, Tendai				-							-			-			-	-	-	-	-	-	-	-	
Neale, Lachie	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Pavlich, Matthew	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-		-	-	
Pearce, Alex						-	1				-	1	-	-	1	-	-	-	-	-		-			3
Pearce, Clancee	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-					-	-	-		
Pearce, Danyle	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	
Sandilands, Aaron	35	51	33	32	19	33	50	30	69	47	70	50	53	45	46	34	43	38	51	43	43		43	40	998
Sheridan, Tom	-						-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	1
Silvagni, Alex																		-	-						
Smith, Tanner																						-			
Spurr, Lee	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-		-	-	
Suban, Nick	-	-	-	-	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	1	-	3
Sutcliffe, Cameron	-	-	-	-	-	-	-	-	-	-	-	-			-	-	-	-	-	-	-		-	-	
Taberner, Matthew		-	-	-	-	-	-	-	-	-	-		-		-	2						-		-	2
Walters, Michael	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			-	-	
Weller, Lachie																	-	-				-			
de Boer, Matthew	-	-	-	-	-	-						1	-	-	-	-	-	-	-	-	-	1	-	-	2
Totals	51	61	47	44	40	47	69	47	86	72	84	67	81	58	66	49	68	46	68	54	57	32	60	51	1405
Opponent	PA	GE	WC	SY	ME	ES	WB	NM	AD	RI	GC	CW	BL	HW	CA	RI	GW	SK	WC	NM	ME	PA	SY	HW	
