Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	QF	PF	Tot
Ballantyne, Hayden	-	-			-	-	-	-	-	-	-	-	-	-	Off								-	-	0/1
Ballard, Jacob																						On			1/0
Barlow, Michael	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Off	-	-	-	-	-	0/1
Blakely, Connor																						-			
Clarke, Zac	-	-	-	-	-	-	-	-	-	-			-	-								-	-		
Crozier, Hayden			On							On	-	Off			On	-	-	-	On	-		-			4/1
Dawson, Zac																	-			-	-		-	-	
Duffield, Paul	-	-	-	-	-	-	On	-	-	-			-	-							On	-			2/0
Duffy, Max																						-			
Fyfe, Nat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			-	-			-	-	
Grey, Brady																						-			
Griffin, Jonathon															-	-	-	-	-	-	-			-	
Hannath, Jack											-	-										-			
Hill, Stephen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	
Hughes, Ethan																						-			
Ibbotson, Garrick	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Johnson, Michael	-	-	-	-	-	-	-	-	-	Off									-	-	-		-	-	0/1
Langdon, Ed																					-	-			
Mayne, Chris	Off	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-		-	-	0/1
McPharlin, Luke	-	-	-	-	-			-	-	-	-	-	-	-	-	-	-	Off		-	-				0/1
Mundy, David	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	
Mzungu, Tendai				On							-			-			-	-	-	-	-	-	-	-	1/0
Neale, Lachie	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Off	-	-	0/1
Pavlich, Matthew	-	-	-	-	-	-	-	Off	-	-	-	-	-	-	-	-	-	-	-		Off		-	-	0/2
Pearce, Alex						-	-				-	-	-	-	-	-	Off	-	-	-		-			0/1
Pearce, Clancee	-	-	-	-	-	-	-	-	-	-	-	-	-	Off		-					-	-	On		1/1
Pearce, Danyle	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	
Sandilands, Aaron	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	
Sheridan, Tom	-						-	On	On	-	-	-	-	-	-	-	-	-	-	Off	-	-	-	-	2/1
Silvagni, Alex																		-	-						
Smith, Tanner																						-			
Spurr, Lee	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-		-	-	
Suban, Nick	-	-	-	-	-	-	Off	-	-	-	On	On	-	On	-	-	-	-	-	-	-	-	Off	On	4/2
Sutcliffe, Cameron	-	-	-	-	-	-	-	-	-	-	-	-			-	-	-	-	-	-	-		-	-	
Taberner, Matthew		Off	-	Off	-	Off	-	-	Off	-	Off		Off		-	Off						-		Off	0/8
Walters, Michael	-	-	-	-	Off	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			-	-	0/1
Weller, Lachie																	On	On				-			2/0
de Boer, Matthew	On	On	Off	-	On	On						-	On	-	-	On	-	-	-	On	-	-	-	-	7/1
Totals																									
Opponent	PA	GE	WC	SY	ME	ES	WB	NM	AD	RI	GC	CW	BL	HW	CA	RI	GW	SK	WC	NM	ME	PA	SY	HW	
