Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	PF	Tot
Bryan, Chris					-	-	-	-			-				-				-	-	-	-		-	-	
Buckley, Nathan																					-	-	-	-	-	
Burns, Scott	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Clarke, Martin												-	-	-	-	-	-	-			-	-	-	-	-	
Clement, James	-	-		-	-	-												1	-	-	-	-	-	-	-	1
Cloke, Travis	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	3
Cook, Ryan																		-	-	-						
Cox, Shannon			-	-	-	-						-	-	-				-								
Davis, Leon	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Dick, Brad			-	-	-	-	-	-																		
Didak, Alan					-		-	-	-	-	-	-	-	-	-	-	-	-		-	-		-	-	-	
Egan, Chris						-																				
Fraser, Josh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				-			
Goldsack, Tyson								-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	
Holland, Brodie							-	-	-	-	-	-	-													
Iles, Sam							-							-	-											
Johnson, Ben	-	-		1	-	-	-	-	1	-	1	-	-	-	-	-	-	-	-	-						3
Licuria, Paul	-	-	-	-								-	-	-	-	-	-		-							
Lockyer, Tarkyn	-	-	2	-	-	-	2	-	2	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-	-	9
Lonie, Ryan	-															-	-	-								
Lumumba, Heritier	-	-	-	-	-	-	-	-	-	-	-			-	-	-	-	-	-	-	-	-	-	-	-	
Maxwell, Nick	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Medhurst, Paul	-	-	-						-	-	-		-	-	-			-	-	-	-	-	-	-	-	
Nicholls, Daniel		-																								
OBree, Shane	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	
Pendlebury, Scott	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			-	1	-	-	-	-	1
Prestigiacomo, Simon	-	-	-	-	-	-	-	-	-	-						-	-	-	-							
Reid, Ben													-	-								-				
Richards, Guy	-	-	-	-					-	-		-	-			-	-			-	-	-	-	-	-	
Rocca, Anthony	-	-	-	-	-	-	-	-	-	1	-	-			-	-	-	-	-	-	-	-	-	-	-	1
Rusling, Sean																				-	-		-	-	-	
Shaw, Heath	2	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	7
Shaw, Rhyce	-	-	-	2	-	3	-	-	-	-								-	-	-		-				5
Stanley, Danny											-	-														
Swan, Dane	-	-	3	-	-	2	3	-	-	3	-	-	3	2	-	-	-	-	-	2	2	-	-	-	-	20
Thomas, Dale	-	-	-	-	-	-	-	-	-	-	-	3	-	1	-	-	-	-	-	-	-	-	-	-	-	4
Toovey, Alan			-	-	-	-	-	-	-	-	-								-							
Wakelin, Shane	-	-	-				-				-	-	-	-	-	-	-			-	-	-	-	-	-	
Totals	2	0	5	3	4	5	5	0	3	4	1	4	3	3	0	5	0	1	0	2	3	2	0	0	0	55
Opponent	KA	WC	RI	PA	ES	AD	CA	WB	BL	FR	ME	SY	HW	SK	GE	ES	BL	CA	RI	ME	SY	AD	SY	WC	GE	
