Player	R1	R2	R3	R4	R5	R6	R7	R8	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	SF	PF	Tot
Boak, Travis	5	6	2	8	2	9	6	2	10	6		3	1	10	2	8	3	2	6	8	4	10	12	2	6	133
Broadbent, Matthew	1	-	2	-	2	1	-	-	3	3	1	2	-	4	-	1	-	-	-	1	-	-	-	-	1	22
Butcher, John	1	-	-																							1
Carlile, Alipate		-	-	-	-	-		-	-	1	-	-	-	-				-	-	-	-	-	-	2	-	3
Cassisi, Domenic	1	5	5	1	2	1	2	-	-		1	1			1		-									20
Clurey, Tom	-																									
Cornes, Kane	5	-	1	2	1	3	2	2	3	3	1	1	1	3	2	1	1	4	3	2	4	1	2	1	2	51
Ebert, Brad	-	3	4	5	2	7	5	2	4	2	5	9	2	4	1	3	4	5	7	3	-	1	2	4	2	86
Gray, Robbie	2	2	7	3	5	-	7	6	7	5	4	10	9	8	4	1	8	3	12	9	7	9	4	5	8	145
Gray, Sam				1	2	2					1		1	-		-										7
Hartlett, Hamish	-	4	2	1	2	5		4	2		1	-		2	8	3	3	5	2	2	3	4	3	8	2	66
Hombsch, Jack	-	-	1	-		-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	3
Impey, Jarman	-	1	-	-	2	2	-	-	-	-	-	-		1	1	1	-	-				1				9
Jonas, Tom	1	-	1	1	-	1	-				-	2	-	1	2	-	-	-	-	-	-	-	-	-	-	9
Lobbe, Matthew	5	3	1	2	2	4	2		3	4	2	7	2	1	4	4	2	1	1	7	4	4	2	2	1	70
Logan, Tom													1			2				1						4
Mitchell, Kane								1	-	1	3	2	4	-	-	2			1							14
Monfries, Angus	1	2	-				1	3	1			-	-	-	2			-	1		2	-	1	-	-	14
Moore, Andrew										2								3	1	1	2	-	1	3	1	14
Neade, Jake										-									-	2	-	3	-	-	-	5
Newton, Ben							1				-						1	-								2
OShea, Cameron				-	-										-	1	1	1	-	-	1		1	1	-	6
Pittard, Jasper	-	1	1	-	-	-	2	1	-	-	1	-	1	-	1	-	-	-	-	2	-	1	-	-	-	11
Polec, Jared	5	1	3	3	1	2	4	6	-	1	2		1	2	5	2	3	2	1	-	3	5	1	1	1	55
Renouf, Brent								-																		
Schulz, Jay	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	2
Stewart, Paul							-			-							1	1								2
Trengove, Jackson	-	1	-	1	2	1	1	5	1	-	2	-	4	-					-		3	2	-	-	1	24
Westhoff, Justin	-	-	-	-	1	-	-	-	-	1	1	1	1	2	1	1	-	2	-	2	-	1	3	-	1	18
White, Matt	-	1	1	-	3	-	2	1	1	1		1	-	3	1	1	1			4	-	-	-	2	1	24
Wines, Ollie	11	2	4	7	3	2	6	6	3	5	5	5	11	2	3	6	7	4	4	2	3	3	4	7	5	120
Wingard, Chad	3	-	-		1	-	2	-	1	-	4	2	6	1	3	3	-	-	2	4	-	-	1	3	2	38
Young, Aaron				-	1	2	5	2	2	2	3	5	-		1	1	4			1						29
Totals	42	32	35	35	34	42	48	42	41	37	37	51	46	44	42	41	39	33	41	51	36	45	37	42	34	1007
Opponent	CA	AD	NM	BL	WC	GE	GW	FR	HW	ME	SK	SY	WB	AD	ES	RI	ME	CW	SY	GC	CA	FR	RI	FR	HW	
