Player	R1	R2	R3	R4	R5	R6	R7	R8	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	SF	PF	Tot
Boak, Travis	-	-	1	1	-	-	1	-	-	1		-	1	-	-	-	-	-	-	-	-	-	-	1	-	6
Broadbent, Matthew	1	-	-	-	-	1	-	-	-	-	-	1	-	-	-	-	-	-	-	1	-	-	1	2	-	7
Butcher, John	2	-	1																							3
Carlile, Alipate		-	-	-	-	-		-	-	-	-	-	-	-				-	-	-	-	-	-	-	-	
Cassisi, Domenic	-	-	-	1	1	-	-	-	-		1	-			-		-									3
Clurey, Tom	-																									
Cornes, Kane	-	-	-	-	-	-	1	-	1	-	-	-	1	-	-	-	1	1	-	-	-	-	-	-	-	5
Ebert, Brad	-	1	1	-	1	-	1	-	-	-	-	1	-	-	-	-	1	-	2	1	-	-	-	-	1	10
Gray, Robbie	1	2	-	4	-	2	2	-	-	1	1	2	1	2	1	1	1	1	2	1	2	3	2	1	-	33
Gray, Sam				-	-	-					-		2	1		-										3
Hartlett, Hamish	-	1	-	1	1	1		-	1		1	-		-	2	1	1	-	-	2	1	2	1	1	-	17
Hombsch, Jack	-	-	-	-		-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	2
Impey, Jarman	-	-	1	-	-	-	1	-	-	-	-	-		-	-	-	-	-				-				2
Jonas, Tom	-	-	-	-	-	-	-				-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Lobbe, Matthew	-	-	-	-	1	-	-		-	-	-	1	-	-	1	-	-	-	-	-	-	-	-	-	1	4
Logan, Tom													-			-				-						
Mitchell, Kane								1	-	-	2	3	-	-	1	-			-							7
Monfries, Angus	-	1	2				1	-	1			-	-	1	-			-	-		2	-	2	1	-	11
Moore, Andrew										-								-	1	-	1	1	-	1	-	4
Neade, Jake										1									2	-	2	1	-	1	-	7
Newton, Ben							1				1						-	-								2
OShea, Cameron				-	-										-	-	-	-	-	-	-		-	-	-	
Pittard, Jasper	-	-	-	1	-	-	-	1	-	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	1	5
Polec, Jared	1	1	1	-	1	1	-	2	-	-	2		1	-	-	-	-	-	-	1	3	1	-	2	2	19
Renouf, Brent								1																		1
Schulz, Jay	1	1	-	1	1	-	-	1	-	-	2	1	2	1	-	2	2	-	3	1	2	1	1	1	2	26
Stewart, Paul							-			-							-	-								
Trengove, Jackson	-	-	-	-	-	1	-	-	-	-	1	-	-	-					1		-	-	-	-	-	3
Westhoff, Justin	-	-	1	1	-	1	1	1	1	2	-	2	1	2	2	-	1	1	1	1	-	1	1	1	1	23
White, Matt	2	1	-	2	1	1	-	1	-	1		1	-	1	1	2	-			1	-	-	-	-	1	16
Wines, Ollie	2	1	1	-	-	-	1	2	-	-	-	-	-	1	-	1	-	1	1	-	-	-	-	-	2	13
Wingard, Chad	-	2	2		1	1	-	2	3	-	2	-	1	2	3	1	1	-	2	1	2	2	2	-	1	31
Young, Aaron				-	-	1	-	-	-	-	-	-	1		-	-	-			-						2
Totals	10	11	11	12	8	10	10	12	8	7	13	12	11	11	11	8	8	4	15	10	16	12	10	13	12	265
Opponent	CA	AD	NM	BL	WC	GE	GW	FR	HW	ME	SK	SY	WB	AD	ES	RI	ME	CW	SY	GC	CA	FR	RI	FR	HW	
