Player	R1	R2	R3	R4	R5	R6	R7	R8	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	SF	PF	Tot
Boak, Travis	10	-	1	3	3	-	4	1	3	1		2	3	2	1	2	2	4	2	4	3	-	-	3	3	57
Broadbent, Matthew	1	2	2	3	-	-	3	3	-	1	1	2	3	1	1	1	-	6	-	1	1	-	1	-	2	35
Butcher, John	1	2	5																							8
Carlile, Alipate		-	1	2	-	1		1	2	2	2	2	4	1				-	1	4	1	-	1	2	-	27
Cassisi, Domenic	-	1	1	1	4	4	3	1	4		1	5			3		2									30
Clurey, Tom	1																									1
Cornes, Kane	4	2	-	3	4	1	1	4	4	3	1	2	-	1	2	1	2	6	2	-	2	2	2	3	1	53
Ebert, Brad	-	3	3	3	3	5	2	2	1	3	-	3	3	7	3	4	3	2	7	1	2	2	4	6	5	77
Gray, Robbie	3	-	1	4	-	4	5	1	1	2	1	3	3	1	1	1	5	1	1	3	3	3	4	2	6	59
Gray, Sam				-	2	2					2		1	3		3										13
Hartlett, Hamish	1	4	1	1	4	5		2	2		4	1		2	2	4	2	1	4	5	-	1	1	5	2	54
Hombsch, Jack	2	2	3	1		2	3	-	-	2	1	4	4	-	3	2	1	2	2	-	1	-	3	2	1	41
Impey, Jarman	2	3	1	3	4	2	2	2	2	2	-	2		5	4	1	5	4				1				45
Jonas, Tom	2	1	4	2	-	-	1				2	4	2	4	3	2	1	1	-	3	3	1	3	1	2	42
Lobbe, Matthew	1	3	2	4	4	5	1		3	2	2	3	5	4	5	6	3	1	2	4	4	3	2	1	3	73
Logan, Tom													1			3				4						8
Mitchell, Kane								3	3	-	4	4	1	-	-	1			4							20
Monfries, Angus	1	3	-				-	1	2			-	2	1	2			1	-		1	-	1	3	-	18
Moore, Andrew										1								4	4	-	-	3	2	1	1	16
Neade, Jake										-									1	3	-	-	-	-	1	5
Newton, Ben							1				1						1	-								3
OShea, Cameron				1	6										4	-	3	2	2	2	3		-	3	-	26
Pittard, Jasper	1	2	1	4	-	2	1	3	3	2	4	3	1	1	5	1	4	2	2	4	1	3	3	2	-	55
Polec, Jared	6	1	4	5	3	3	1	2	7	4	1		1	5	-	4	-	2	3	-	2	2	2	3	2	63
Renouf, Brent								3																		3
Schulz, Jay	2	6	1	1	2	1	1	4	-	3	1	1	3	3	1	4	1	2	1	5	3	1	2	3	-	52
Stewart, Paul							2			4							-	-								6
Trengove, Jackson	5	4	-	4	2	1	1	2	2	2	2	1	1	1					4		2	1	3	4	1	43
Westhoff, Justin	2	1	3	1	4	3	3	1	4	2	2	3	-	1	2	-	1	2	4	3	-	4	5	4	2	57
White, Matt	-	-	-	2	2	1	1	1	3	1		3	1	2	1	1	3			6	-	-	2	3	-	33
Wines, Ollie	1	2	2	5	2	2	4	-	5	5	3	3	-	3	2	3	3	2	3	4	2	3	4	5	5	73
Wingard, Chad	1	4	-		2	2	2	3	1	1	2	1	2	-	-	-	2	4	2	1	3	-	2	2	1	38
Young, Aaron				-	2	2	1	-	1	1	4	-	2		-	2	2			-						17
Totals	47	46	36	53	53	48	43	40	53	44	41	52	43	48	45	46	46	49	51	57	37	30	47	58	38	1151
Opponent	CA	AD	NM	BL	WC	GE	GW	FR	HW	ME	SK	SY	WB	AD	ES	RI	ME	CW	SY	GC	CA	FR	RI	FR	HW	
